player,position,team,opponent,salary
Jonathan Taylor,RB,IND,LAC,8800
Puka Nacua,WR,LAR,JAX,8700
Christian McCaffrey,RB,SF,ATL,8500
Bijan Robinson,RB,ATL,SF,8300
Amon-Ra St Brown,WR,DET,TB,8200
DeVon Achane,RB,MIA,CLE,8100
JaMarr Chase,WR,CIN,PIT,8000
Jaxon Smith-Njigba,WR,SEA,HOU,7900
Josh Jacobs,RB,GB,ARI,7800
Saquon Barkley,RB,PHI,MIN,7700
Justin Jefferson,WR,MIN,PHI,7600
Jahmyr Gibbs,RB,DET,TB,7500
CeeDee Lamb,WR,DAL,WAS,7500
George Pickens,WR,DAL,WAS,7300
Davante Adams,WR,LAR,JAX,7200
Nico Collins,WR,HOU,SEA,7100
Emeka Egbuka,WR,TB,DET,7000
Ashton Jeanty,RB,LV,KC,7000
Patrick Mahomes,QB,KC,LV,7000
Jayden Daniels,QB,WAS,DAL,6900
Bucky Irving,RB,TB,DET,6900
Rico Dowdle,RB,CAR,NYJ,6800
Javonte Williams,RB,DAL,WAS,6700
Jalen Hurts,QB,PHI,MIN,6700
Baker Mayfield,QB,TB,DET,6600
Rome Odunze,WR,CHI,NO,6600
Kyren Williams,RB,LAR,JAX,6600
Cam Skattebo,RB,NYG,DEN,6500
Garrett Wilson,WR,NYJ,CAR,6500
Mike Evans,WR,TB,DET,6500
Dak Prescott,QB,DAL,WAS,6500
Tetairoa McMillan,WR,CAR,NYJ,6400
Brian Thomas,WR,JAX,LAR,6400
Rachaad White,RB,TB,DET,6400
Justin Herbert,QB,LAC,IND,6400
Drake Maye,QB,NE,TEN,6300
Breece Hall,RB,NYJ,CAR,6300
Jaylen Waddle,WR,MIA,CLE,6300
Drake London,WR,ATL,SF,6200
Deebo Samuel,WR,WAS,DAL,6200
Jordan Love,QB,GB,ARI,6200
Jordan Mason,RB,MIN,PHI,6200
Matthew Stafford,QB,LAR,JAX,6100
Jacory Croskey-Merritt,RB,WAS,DAL,6100
Xavier Worthy,WR,KC,LV,6100
Quinshon Judkins,RB,CLE,MIA,6000
Tee Higgins,WR,CIN,PIT,6000
Jared Goff,QB,DET,TB,6000
Ladd McConkey,WR,LAC,IND,6000
Daniel Jones,QB,IND,LAC,6000
Alvin Kamara,RB,NO,CHI,5900
Kenneth Gainwell,RB,PIT,CIN,5900
Brock Purdy,QB,SF,ATL,5900
Quentin Johnston,WR,LAC,IND,5900
Courtland Sutton,WR,DEN,NYG,5900
Caleb Williams,QB,CHI,NO,5800
Terry McLaurin,WR,WAS,DAL,5800
Chuba Hubbard,RB,CAR,NYJ,5800
AJ Brown,WR,PHI,MIN,5800
DK Metcalf,WR,PIT,CIN,5700
Trey McBride,TE,ARI,GB,5700
Travis Etienne,RB,JAX,LAR,5700
