player,position,team,opponent,salary
Saquon Barkley,RB,PHI,CAR,9000
JaMarr Chase,WR,CIN,DAL,8500
DeVon Achane,RB,MIA,NYJ,8200
AJ Brown,WR,PHI,CAR,8100
Alvin Kamara,RB,NO,NYG,8000
Josh Allen,QB,BUF,LAR,8000
Christian McCaffrey,RB,SF,CHI,7900
Jalen Hurts,QB,PHI,CAR,7800
Justin Jefferson,WR,MIN,ATL,7800
Puka Nacua,WR,LAR,BUF,7700
Amon-Ra St Brown,WR,DET,GB,7600
Bijan Robinson,RB,ATL,MIN,7500
James Cook,RB,BUF,LAR,7400
Kyren Williams,RB,LAR,BUF,7300
CeeDee Lamb,WR,DAL,CIN,7300
Joe Burrow,QB,CIN,DAL,7300
Josh Jacobs,RB,GB,DET,7200
Mike Evans,WR,TB,LV,7200
Jahmyr Gibbs,RB,DET,GB,7100
Tyreek Hill,WR,MIA,NYJ,7100
Cooper Kupp,WR,LAR,BUF,7000
Breece Hall,RB,NYJ,MIA,7000
Malik Nabers,WR,NYG,NO,6900
Jordan Mason,RB,SF,CHI,6900
Patrick Mahomes,QB,KC,LAC,6800
Kenneth Walker,RB,SEA,ARI,6800
George Pickens,WR,PIT,CLE,6800
David Montgomery,RB,DET,GB,6800
Chase Brown,RB,CIN,DAL,6700
James Conner,RB,ARI,SEA,6700
Davante Adams,WR,NYJ,MIA,6700
Garrett Wilson,WR,NYJ,MIA,6600
Bucky Irving,RB,TB,LV,6600
Tee Higgins,WR,CIN,DAL,6500
Brock Bowers,TE,LV,TB,6500
Aaron Jones,RB,MIN,ATL,6500
Jared Goff,QB,DET,GB,6500
Tony Pollard,RB,TEN,JAX,6400
Baker Mayfield,QB,TB,LV,6400
Drake London,WR,ATL,MIN,6400
Tua Tagovailoa,QB,MIA,NYJ,6300
Jordan Love,QB,GB,DET,6300
Ladd McConkey,WR,LAC,KC,6300
JK Dobbins,RB,LAC,KC,6300
Jaxon Smith-Njigba,WR,SEA,ARI,6300
Jayden Reed,WR,GB,DET,6200
Brock Purdy,QB,SF,CHI,6200
DK Metcalf,WR,SEA,ARI,6200
Chuba Hubbard,RB,CAR,PHI,6200
Trey McBride,TE,ARI,SEA,6100
Sam Darnold,QB,MIN,ATL,6100
Isiah Pacheco,RB,KC,LAC,6100
DJ Moore,WR,CHI,SF,6100
Kyler Murray,QB,ARI,SEA,6000
Najee Harris,RB,PIT,CLE,6000
Rico Dowdle,RB,DAL,CIN,6000
Marvin Harrison,WR,ARI,SEA,6000
Nick Chubb,RB,CLE,PIT,5900
Russell Wilson,QB,PIT,CLE,5900
Jameson Williams,WR,DET,GB,5900
Deebo Samuel,WR,SF,CHI,5900
Khalil Shakir,WR,BUF,LAR,5900
DeVonta Smith,WR,PHI,CAR,5800
Justin Herbert,QB,LAC,KC,5800
Tyrone Tracy,RB,NYG,NO,5800
George Kittle,TE,SF,CHI,5800
Geno Smith,QB,SEA,ARI,5800
Brian Thomas,WR,JAX,TEN,5800
Jerry Jeudy,WR,CLE,PIT,5700
DAndre Swift,RB,CHI,SF,5700
Matthew Stafford,QB,LAR,BUF,5700
Calvin Ridley,WR,TEN,JAX,5700
Travis Etienne,RB,JAX,TEN,5600
Jakobi Meyers,WR,LV,TB,5600
Keenan Allen,WR,CHI,SF,5600
Caleb Williams,QB,CHI,SF,5600
Travis Kelce,TE,KC,LAC,5500
Darnell Mooney,WR,ATL,MIN,5500
Kareem Hunt,RB,KC,LAC,5500
Kirk Cousins,QB,ATL,MIN,5500
Trevor Lawrence,QB,JAX,TEN,5500
Jaylen Warren,RB,PIT,CLE,5500
Chris Olave,WR,NO,NYG,5500
DeAndre Hopkins,WR,KC,LAC,5400
Isaac Guerendo,RB,SF,CHI,5400
Jameis Winston,QB,CLE,PIT,5400
Jaylen Waddle,WR,MIA,NYJ,5400
Rachaad White,RB,TB,LV,5300
Adam Thielen,WR,CAR,PHI,5300
Jordan Addison,WR,MIN,ATL,5300
Jonnu Smith,TE,MIA,NYJ,5300
Gus Edwards,RB,LAC,KC,5300
Aaron Rodgers,QB,NYJ,MIA,5300
Jauan Jennings,WR,SF,CHI,5200
Ray Davis,RB,BUF,LAR,5200
Bryce Young,QB,CAR,PHI,5200
Alexander Mattison,RB,LV,TB,5100
David Njoku,TE,CLE,PIT,5100
Cedric Tillman,WR,CLE,PIT,5100
Amari Cooper,WR,BUF,LAR,5100
Derek Carr,QB,NO,NYG,5100
Tank Bigsby,RB,JAX,TEN,5100
Christian Watson,WR,GB,DET,5100
Mac Jones,QB,JAX,TEN,5000
Kenneth Gainwell,RB,PHI,CAR,5000
Rome Odunze,WR,CHI,SF,5000
Braelon Allen,RB,NYJ,MIA,5000
Keon Coleman,WR,BUF,LAR,5000
Will Levis,QB,TEN,JAX,5000
Xavier Worthy,WR,KC,LAC,4900
Raheem Mostert,RB,MIA,NYJ,4900
Dalton Kincaid,TE,BUF,LAR,4900
Jerome Ford,RB,CLE,PIT,4900
Justin Fields,QB,PIT,CLE,4900
Cooper Rush,QB,DAL,CIN,4900
Xavier Legette,WR,CAR,PHI,4900
Zach Charbonnet,RB,SEA,ARI,4800
WanDale Robinson,WR,NYG,NO,4800
Evan Engram,TE,JAX,TEN,4800
Devin Singletary,RB,NYG,NO,4800
Desmond Ridder,QB,LV,TB,4800
Tyrod Taylor,QB,NYJ,MIA,4800
Aidan OConnell,QB,LV,TB,4800
Elijah Moore,WR,CLE,PIT,4800
Jonathon Brooks,RB,CAR,PHI,4700
Andy Dalton,QB,CAR,PHI,4700
Brandin Cooks,WR,DAL,CIN,4700
Taysom Hill,TE,NO,NYG,4700
Nick Westbrook-Ikhine,WR,TEN,JAX,4700
Drew Lock,QB,NYG,NO,4700
Ameer Abdullah,RB,LV,TB,4700
Cam Akers,RB,MIN,ATL,4600
Romeo Doubs,WR,GB,DET,4600
Tre Tucker,WR,LV,TB,4600
Sincere McCormick,RB,LV,TB,4600
Marquez Valdes-Scantling,WR,NO,NYG,4600
Tyler Allgeier,RB,ATL,MIN,4500
Trey Benson,RB,ARI,SEA,4500
Michael Penix,QB,ATL,MIN,4500
Mason Rudolph,QB,TEN,JAX,4500
Quentin Johnston,WR,LAC,KC,4500
Dallas Goedert,TE,PHI,CAR,4500
Kimani Vidal,RB,LAC,KC,4500
Ray-Ray McCloud,WR,ATL,MIN,4500
Ricky Pearsall,WR,SF,CHI,4500
Jamaal Williams,RB,NO,NYG,4400
Parker Washington,WR,JAX,TEN,4400
Allen Lazard,WR,NYJ,MIA,4400
Tyjae Spears,RB,TEN,JAX,4400
Cade Otton,TE,TB,LV,4400
Kyle Trask,QB,TB,LV,4400
Trey Lance,QB,DAL,CIN,4400
Sean Tucker,RB,TB,LV,4300
Hassan Haskins,RB,LAC,KC,4300
Darius Slayton,WR,NYG,NO,4300
Carson Wentz,QB,KC,LAC,4300
TJ Hockenson,TE,MIN,ATL,4300
Roschon Johnson,RB,CHI,SF,4300
Dontayvion Wicks,WR,GB,DET,4300
Tyler Lockett,WR,SEA,ARI,4300
Jake Browning,QB,CIN,DAL,4300
Brandon Allen,QB,SF,CHI,4200
Sam Howell,QB,SEA,ARI,4200
Joshua Dobbs,QB,SF,CHI,4200
Zamir White,RB,LV,TB,4200
Demarcus Robinson,WR,LAR,BUF,4200
Tommy DeVito,QB,NYG,NO,4200
Blake Corum,RB,LAR,BUF,4200
Sam LaPorta,TE,DET,GB,4200
Ezekiel Elliott,RB,DAL,CIN,4200
Jimmy Garoppolo,QB,LAR,BUF,4200
Ty Johnson,RB,BUF,LAR,4100
Jake Haener,QB,NO,NYG,4100
Mitchell Trubisky,QB,BUF,LAR,4100
Kyle Pitts,TE,ATL,MIN,4100
Michael Wilson,WR,ARI,SEA,4100
Emanuel Wilson,RB,GB,DET,4100
Cordarrelle Patterson,RB,PIT,CLE,4100
Mason Tipton,WR,NO,NYG,4100
Emari Demercado,RB,ARI,SEA,4000
Avery Williams,RB,ATL,MIN,4000
Kyle Juszczyk,RB,SF,CHI,4000
Tanner McKee,QB,PHI,CAR,4000
Dak Prescott,QB,DAL,CIN,4000
DOnta Foreman,RB,CLE,PIT,4000
Jordan Travis,QB,NYJ,MIA,4000
Keilan Robinson,RB,JAX,TEN,4000
Brett Rypien,QB,MIN,ATL,4000
Ronnie Rivers,RB,LAR,BUF,4000
Eric Gray,RB,NYG,NO,4000
Easton Stick,QB,LAC,KC,4000
David Moore,WR,CAR,PHI,4000
MarShawn Lloyd,RB,GB,DET,4000
Trayveon Williams,RB,CIN,DAL,4000
Chase Edmonds,RB,TB,LV,4000
Kene Nwangwu,RB,NYJ,MIA,4000
Kenny McIntosh,RB,SEA,ARI,4000
Jase McClellan,RB,ATL,MIN,4000
Elijah Mitchell,RB,SF,CHI,4000
Kenny Pickett,QB,PHI,CAR,4000
Joshua Palmer,WR,LAC,KC,4000
Jonathan Ward,RB,PIT,CLE,4000
Tucker Kraft,TE,GB,DET,4000
DErnest Johnson,RB,JAX,TEN,4000
Nick Mullens,QB,MIN,ATL,4000
Shane Buechele,QB,BUF,LAR,4000
Spencer Rattler,QB,NO,NYG,4000
Taylor Heinicke,QB,LAC,KC,4000
Will Shipley,RB,PHI,CAR,4000
Chris Brooks,RB,GB,DET,4000
Khalil Herbert,RB,CIN,DAL,4000
Gardner Minshew,QB,LV,TB,4000
Isaiah Davis,RB,NYJ,MIA,4000
Clayton Tune,QB,ARI,SEA,4000
CJ Ham,RB,MIN,ATL,4000
Tyson Bagent,QB,CHI,SF,4000
Adam Prentice,RB,NO,NYG,4000
Clyde Edwards-Helaire,RB,KC,LAC,4000
Deshaun Watson,QB,CLE,PIT,4000
