player,position,team,opponent,salary
Jonathan Taylor,RB,IND,JAX,9300
Jaxon Smith-Njigba,WR,SEA,ATL,9000
DeVon Achane,RB,MIA,NYJ,8800
Puka Nacua,WR,LAR,ARI,8700
Jahmyr Gibbs,RB,DET,DAL,8600
Bijan Robinson,RB,ATL,SEA,8500
JaMarr Chase,WR,CIN,BUF,8200
Trey McBride,TE,ARI,LAR,8000
Rashee Rice,WR,KC,HOU,7900
James Cook,RB,BUF,CIN,7800
Amon-Ra St Brown,WR,DET,DAL,7800
Josh Allen,QB,BUF,CIN,7700
Davante Adams,WR,LAR,ARI,7700
Derrick Henry,RB,BAL,PIT,7500
CeeDee Lamb,WR,DAL,DET,7500
George Pickens,WR,DAL,DET,7400
Drake London,WR,ATL,SEA,7300
Bucky Irving,RB,TB,NO,7000
Matthew Stafford,QB,LAR,ARI,6900
Justin Jefferson,WR,MIN,WAS,6900
Saquon Barkley,RB,PHI,LAC,6900
Patrick Mahomes,QB,KC,HOU,6800
Jaylen Waddle,WR,MIA,NYJ,6800
Josh Jacobs,RB,GB,CHI,6800
Lamar Jackson,QB,BAL,PIT,6700
Nico Collins,WR,HOU,KC,6700
Chase Brown,RB,CIN,BUF,6700
AJ Brown,WR,PHI,LAC,6600
Jalen Hurts,QB,PHI,LAC,6600
Kyren Williams,RB,LAR,ARI,6600
Joe Burrow,QB,CIN,BUF,6500
Chris Olave,WR,NO,TB,6500
Breece Hall,RB,NYJ,MIA,6500
Javonte Williams,RB,DAL,DET,6500
Ladd McConkey,WR,LAC,PHI,6400
Justin Herbert,QB,LAC,PHI,6400
Quinshon Judkins,RB,CLE,TEN,6400
Travis Etienne,RB,JAX,IND,6300
Dak Prescott,QB,DAL,DET,6300
Emeka Egbuka,WR,TB,NO,6300
Tee Higgins,WR,CIN,BUF,6200
Daniel Jones,QB,IND,JAX,6200
Zay Flowers,WR,BAL,PIT,6100
Ashton Jeanty,RB,LV,DEN,6100
Bo Nix,QB,DEN,LV,6100
Mike Evans,WR,TB,NO,6000
Jayden Daniels,QB,WAS,MIN,6000
Jaylen Warren,RB,PIT,BAL,6000
Brock Bowers,TE,LV,DEN,6000
Brian Thomas,WR,JAX,IND,5900
DAndre Swift,RB,CHI,GB,5900
Jordan Love,QB,GB,CHI,5900
DeVonta Smith,WR,PHI,LAC,5900
Omarion Hampton,RB,LAC,PHI,5900
Jordan Mason,RB,MIN,WAS,5800
Jameson Williams,WR,DET,DAL,5800
Kimani Vidal,RB,LAC,PHI,5800
Jared Goff,QB,DET,DAL,5800
Marvin Harrison,WR,ARI,LAR,5800
Baker Mayfield,QB,TB,NO,5800
Jakobi Meyers,WR,JAX,IND,5700
Rome Odunze,WR,CHI,GB,5700
Jacoby Brissett,QB,ARI,LAR,5700
RJ Harvey,RB,DEN,LV,5700
Caleb Williams,QB,CHI,GB,5600
Kenneth Walker,RB,SEA,ATL,5600
Woody Marks,RB,HOU,KC,5600
Michael Wilson,WR,ARI,LAR,5600
Courtland Sutton,WR,DEN,LV,5600
Deebo Samuel,WR,WAS,MIN,5500
Sam Darnold,QB,SEA,ATL,5500
Troy Franklin,WR,DEN,LV,5500
Alvin Kamara,RB,NO,TB,5500
Kyle Monangai,RB,CHI,GB,5400
Travis Kelce,TE,KC,HOU,5400
DK Metcalf,WR,PIT,BAL,5400
Trey Benson,RB,ARI,LAR,5400
Michael Pittman,WR,IND,JAX,5400
Trevor Lawrence,QB,JAX,IND,5400
Aaron Jones,RB,MIN,WAS,5300
Kareem Hunt,RB,KC,HOU,5300
CJ Stroud,QB,HOU,KC,5300
Khalil Shakir,WR,BUF,CIN,5300
Chris Godwin,WR,TB,NO,5300
Zonovan Knight,RB,ARI,LAR,5200
Tua Tagovailoa,QB,MIA,NYJ,5200
Terry McLaurin,WR,WAS,MIN,5200
Christian Watson,WR,GB,CHI,5200
Zach Charbonnet,RB,SEA,ATL,5100
Quentin Johnston,WR,LAC,PHI,5100
Devin Neal,RB,NO,TB,5100
Alec Pierce,WR,IND,JAX,5100
Aaron Rodgers,QB,PIT,BAL,5100
David Montgomery,RB,DET,DAL,5000
Marcus Mariota,QB,WAS,MIN,5000
Tyler Warren,TE,IND,JAX,5000
Parker Washington,WR,JAX,IND,5000
Keenan Allen,WR,LAC,PHI,5000
Kenneth Gainwell,RB,PIT,BAL,5000
Rachaad White,RB,TB,NO,5000
Tony Pollard,RB,TEN,CLE,4900
Joe Mixon,RB,HOU,KC,4900
Tyjae Spears,RB,TEN,CLE,4900
Romeo Doubs,WR,GB,CHI,4900
Jake Ferguson,TE,DAL,DET,4900
Jordan Addison,WR,MIN,WAS,4900
Tyrod Taylor,QB,NYJ,MIA,4900
Bhayshul Tuten,RB,JAX,IND,4800
DJ Moore,WR,CHI,GB,4800
Emanuel Wilson,RB,GB,CHI,4800
Cam Ward,QB,TEN,CLE,4800
Isiah Pacheco,RB,KC,HOU,4800
Darnell Mooney,WR,ATL,SEA,4800
Jacory Croskey-Merritt,RB,WAS,MIN,4700
Chris Rodriguez,RB,WAS,MIN,4700
JJ McCarthy,QB,MIN,WAS,4700
Xavier Worthy,WR,KC,HOU,4700
Tre Tucker,WR,LV,DEN,4700
Blake Corum,RB,LAR,ARI,4600
Tyler Shough,QB,NO,TB,4600
Adonai Mitchell,WR,NYJ,MIA,4600
Nick Chubb,RB,HOU,KC,4600
Andrei Iosivas,WR,CIN,BUF,4600
Keaton Mitchell,RB,BAL,PIT,4500
Sean Tucker,RB,TB,NO,4500
Tyler Allgeier,RB,ATL,SEA,4500
John Metchie,WR,NYJ,MIA,4500
Kirk Cousins,QB,ATL,SEA,4500
Zach Ertz,TE,WAS,MIN,4500
Chimere Dike,WR,TEN,CLE,4500
Emari Demercado,RB,ARI,LAR,4400
Oronde Gadsden,TE,LAC,PHI,4400
