player,position,team,opponent,salary
Jonathan Taylor,RB,IND,ATL,9500
Christian McCaffrey,RB,SF,LAR,9000
Puka Nacua,WR,LAR,SF,8700
Jaxon Smith-Njigba,WR,SEA,ARI,8600
Bijan Robinson,RB,ATL,IND,8500
Amon-Ra St Brown,WR,DET,WAS,8400
Jahmyr Gibbs,RB,DET,WAS,8000
Justin Jefferson,WR,MIN,BAL,7900
Saquon Barkley,RB,PHI,GB,7800
Davante Adams,WR,LAR,SF,7700
Josh Jacobs,RB,GB,PHI,7600
James Cook,RB,BUF,MIA,7500
DeVon Achane,RB,MIA,BUF,7400
Emeka Egbuka,WR,TB,NE,7000
Josh Allen,QB,BUF,MIA,7000
Bucky Irving,RB,TB,NE,6900
Drake London,WR,ATL,IND,6900
Lamar Jackson,QB,BAL,MIN,6800
Derrick Henry,RB,BAL,MIN,6800
Nico Collins,WR,HOU,JAX,6700
Jalen Hurts,QB,PHI,GB,6700
Kyren Williams,RB,LAR,SF,6600
Justin Herbert,QB,LAC,PIT,6600
Matthew Stafford,QB,LAR,SF,6500
Quinshon Judkins,RB,CLE,NYJ,6500
Brian Thomas,WR,JAX,HOU,6500
Ashton Jeanty,RB,LV,DEN,6500
Jaylen Waddle,WR,MIA,BUF,6400
Rachaad White,RB,TB,NE,6400
Drake Maye,QB,NE,TB,6400
Rico Dowdle,RB,CAR,NO,6300
Ladd McConkey,WR,LAC,PIT,6300
Michael Pittman,WR,IND,ATL,6300
Jayden Daniels,QB,WAS,DET,6300
Chris Olave,WR,NO,CAR,6200
Bo Nix,QB,DEN,LV,6200
Baker Mayfield,QB,TB,NE,6200
Courtland Sutton,WR,DEN,LV,6200
Jordan Mason,RB,MIN,BAL,6200
DAndre Swift,RB,CHI,NYG,6100
AJ Brown,WR,PHI,GB,6100
Daniel Jones,QB,IND,ATL,6100
Garrett Wilson,WR,NYJ,CLE,6100
Rome Odunze,WR,CHI,NYG,6000
Caleb Williams,QB,CHI,NYG,6000
DeVonta Smith,WR,PHI,GB,6000
Trey McBride,TE,ARI,SEA,6000
Breece Hall,RB,NYJ,CLE,6000
Jared Goff,QB,DET,WAS,5900
Zay Flowers,WR,BAL,MIN,5900
Brock Bowers,TE,LV,DEN,5900
Omarion Hampton,RB,LAC,PIT,5900
Kimani Vidal,RB,LAC,PIT,5900
Tyrone Tracy,RB,NYG,CHI,5800
Jordan Love,QB,GB,PHI,5800
Jaylen Warren,RB,PIT,LAC,5800
Sam Darnold,QB,SEA,ARI,5800
Stefon Diggs,WR,NE,TB,5800
Tetairoa McMillan,WR,CAR,NO,5700
JK Dobbins,RB,DEN,LV,5700
Travis Etienne,RB,JAX,HOU,5700
Jaxson Dart,QB,NYG,CHI,5700
TreVeyon Henderson,RB,NE,TB,5600
Kyle Monangai,RB,CHI,NYG,5600
Deebo Samuel,WR,WAS,DET,5600
Kyler Murray,QB,ARI,SEA,5600
Zonovan Knight,RB,ARI,SEA,5500
Keenan Allen,WR,LAC,PIT,5500
Chris Godwin,WR,TB,NE,5500
Aaron Rodgers,QB,PIT,LAC,5500
DJ Moore,WR,CHI,NYG,5500
Brock Purdy,QB,SF,LAR,5500
Trey Benson,RB,ARI,SEA,5500
