player,position,team,opponent,salary
Jonathan Taylor,RB,IND,TEN,9500
Christian McCaffrey,RB,SF,HOU,9000
Bijan Robinson,RB,ATL,MIA,8800
JaMarr Chase,WR,CIN,NYJ,8100
CeeDee Lamb,WR,DAL,DEN,7800
Justin Jefferson,WR,MIN,LAC,7700
Saquon Barkley,RB,PHI,NYG,7600
Josh Jacobs,RB,GB,PIT,7500
Josh Allen,QB,BUF,CAR,7500
DeVon Achane,RB,MIA,ATL,7300
Nico Collins,WR,HOU,SF,7200
George Pickens,WR,DAL,DEN,7100
Patrick Mahomes,QB,KC,WAS,7000
Emeka Egbuka,WR,TB,NO,7000
Bucky Irving,RB,TB,NO,6900
Javonte Williams,RB,DAL,DEN,6800
Lamar Jackson,QB,BAL,CHI,6800
James Cook,RB,BUF,CAR,6700
Jayden Daniels,QB,WAS,KC,6700
Rashee Rice,WR,KC,WAS,6600
Cam Skattebo,RB,NYG,PHI,6600
Jalen Hurts,QB,PHI,NYG,6600
Quinshon Judkins,RB,CLE,NE,6500
Dak Prescott,QB,DAL,DEN,6500
Mike Evans,WR,TB,NO,6500
Rachaad White,RB,TB,NO,6400
Baker Mayfield,QB,TB,NO,6400
Drake London,WR,ATL,MIA,6400
Rico Dowdle,RB,CAR,BUF,6300
Rome Odunze,WR,CHI,BAL,6300
Justin Herbert,QB,LAC,MIN,6300
Jordan Mason,RB,MIN,LAC,6200
Courtland Sutton,WR,DEN,DAL,6200
Drake Maye,QB,NE,CLE,6200
Daniel Jones,QB,IND,TEN,6100
AJ Brown,WR,PHI,NYG,6100
Breece Hall,RB,NYJ,CIN,6100
Jake Ferguson,TE,DAL,DEN,6000
Bo Nix,QB,DEN,DAL,6000
Garrett Wilson,WR,NYJ,CIN,6000
Derrick Henry,RB,BAL,CHI,6000
Deebo Samuel,WR,WAS,KC,6000
Jordan Love,QB,GB,PIT,5900
DeVonta Smith,WR,PHI,NYG,5900
DAndre Swift,RB,CHI,BAL,5900
Quentin Johnston,WR,LAC,MIN,5900
Chris Olave,WR,NO,TB,5800
Stefon Diggs,WR,NE,CLE,5800
Brock Purdy,QB,SF,HOU,5800
Keenan Allen,WR,LAC,MIN,5800
JK Dobbins,RB,DEN,DAL,5800
Alvin Kamara,RB,NO,TB,5700
Tetairoa McMillan,WR,CAR,BUF,5700
Jaylen Waddle,WR,MIA,ATL,5700
Ladd McConkey,WR,LAC,MIN,5700
Aaron Rodgers,QB,PIT,GB,5700
Jacory Croskey-Merritt,RB,WAS,KC,5600
Michael Pittman,WR,IND,TEN,5600
Tee Higgins,WR,CIN,NYJ,5600
Caleb Williams,QB,CHI,BAL,5600
Xavier Worthy,WR,KC,WAS,5600
Jaxson Dart,QB,NYG,PHI,5500
Terry McLaurin,WR,WAS,KC,5500
Rhamondre Stevenson,RB,NE,CLE,5500
Jaylen Warren,RB,PIT,GB,5500
Jordan Addison,WR,MIN,LAC,5500
Tyler Warren,TE,IND,TEN,5500
Chris Godwin,WR,TB,NO,5500
Zay Flowers,WR,BAL,CHI,5400
Tucker Kraft,TE,GB,PIT,5400
Ricky Pearsall,WR,SF,HOU,5400
Chase Brown,RB,CIN,NYJ,5400
Joe Flacco,QB,CIN,NYJ,5400
DK Metcalf,WR,PIT,GB,5300
Mac Jones,QB,SF,HOU,5300
Chuba Hubbard,RB,CAR,BUF,5300
DJ Moore,WR,CHI,BAL,5300
Kimani Vidal,RB,LAC,MIN,5300
Tony Pollard,RB,TEN,IND,5200
WanDale Robinson,WR,NYG,PHI,5200
Bryce Young,QB,CAR,BUF,5200
Marcus Mariota,QB,WAS,KC,5200
Aaron Jones,RB,MIN,LAC,5200
Romeo Doubs,WR,GB,PIT,5200
CJ Stroud,QB,HOU,SF,5100
Khalil Shakir,WR,BUF,CAR,5100
Isiah Pacheco,RB,KC,WAS,5100
JJ McCarthy,QB,MIN,LAC,5100
Kendrick Bourne,WR,SF,HOU,5100
Woody Marks,RB,HOU,SF,5100
