player,position,team,opponent,salary
CeeDee Lamb,WR,DAL,ATL,8800
Justin Jefferson,WR,MIN,IND,8700
JaMarr Chase,WR,CIN,LV,8600
Derrick Henry,RB,BAL,DEN,8300
Saquon Barkley,RB,PHI,JAX,8200
AJ Brown,WR,PHI,JAX,8100
Lamar Jackson,QB,BAL,DEN,8000
Kyren Williams,RB,LAR,SEA,8000
Amon-Ra St Brown,WR,DET,GB,7900
Nico Collins,WR,HOU,NYJ,7900
Joe Mixon,RB,HOU,NYJ,7900
Jalen Hurts,QB,PHI,JAX,7800
Alvin Kamara,RB,NO,CAR,7800
Cooper Kupp,WR,LAR,SEA,7700
Jonathan Taylor,RB,IND,MIN,7700
Josh Allen,QB,BUF,MIA,7700
Jahmyr Gibbs,RB,DET,GB,7600
Malik Nabers,WR,NYG,WAS,7500
Jayden Daniels,QB,WAS,NYG,7500
Breece Hall,RB,NYJ,HOU,7500
Stefon Diggs,WR,HOU,NYJ,7400
Bijan Robinson,RB,ATL,DAL,7400
Kenneth Walker,RB,SEA,LAR,7300
Tyreek Hill,WR,MIA,BUF,7300
Tank Dell,WR,HOU,NYJ,7300
Puka Nacua,WR,LAR,SEA,7200
James Cook,RB,BUF,MIA,7200
Mike Evans,WR,TB,KC,7100
Terry McLaurin,WR,WAS,NYG,7100
Zay Flowers,WR,BAL,DEN,7000
Jordan Love,QB,GB,DET,7000
JK Dobbins,RB,LAC,CLE,7000
Marvin Harrison,WR,ARI,CHI,6900
Joe Burrow,QB,CIN,LV,6900
Josh Jacobs,RB,GB,DET,6900
DeVonta Smith,WR,PHI,JAX,6800
Tony Pollard,RB,TEN,NE,6800
Davante Adams,WR,NYJ,HOU,6800
CJ Stroud,QB,HOU,NYJ,6800
Isiah Pacheco,RB,KC,TB,6800
DeVon Achane,RB,MIA,BUF,6700
Drake London,WR,ATL,DAL,6700
Garrett Wilson,WR,NYJ,HOU,6700
Patrick Mahomes,QB,KC,TB,6700
Brian Thomas,WR,JAX,PHI,6600
James Conner,RB,ARI,CHI,6600
Kyler Murray,QB,ARI,CHI,6600
Aaron Jones,RB,MIN,IND,6600
DK Metcalf,WR,SEA,LAR,6500
David Montgomery,RB,DET,GB,6500
Jared Goff,QB,DET,GB,6500
DJ Moore,WR,CHI,ARI,6500
Baker Mayfield,QB,TB,KC,6500
Chuba Hubbard,RB,CAR,NO,6500
DAndre Swift,RB,CHI,ARI,6400
Tee Higgins,WR,CIN,LV,6400
Kirk Cousins,QB,ATL,DAL,6400
Kareem Hunt,RB,KC,TB,6400
Jayden Reed,WR,GB,DET,6400
Rhamondre Stevenson,RB,NE,TEN,6300
Brian Robinson,RB,WAS,NYG,6300
Dak Prescott,QB,DAL,ATL,6300
Travis Kelce,TE,KC,TB,6300
Xavier Worthy,WR,KC,TB,6300
Tua Tagovailoa,QB,MIA,BUF,6200
Javonte Williams,RB,DEN,BAL,6200
Tank Bigsby,RB,JAX,PHI,6200
Jaxon Smith-Njigba,WR,SEA,LAR,6200
Caleb Williams,QB,CHI,ARI,6100
Devin Singletary,RB,NYG,WAS,6100
Chris Olave,WR,NO,CAR,6100
Brock Bowers,TE,LV,CIN,6000
Raheem Mostert,RB,MIA,BUF,6000
Darnell Mooney,WR,ATL,DAL,6000
Josh Downs,WR,IND,MIN,6000
Rico Dowdle,RB,DAL,ATL,6000
Sam Darnold,QB,MIN,IND,6000
Chase Brown,RB,CIN,LV,5900
Khalil Shakir,WR,BUF,MIA,5900
Travis Etienne,RB,JAX,PHI,5900
Bo Nix,QB,DEN,BAL,5900
Jameson Williams,WR,DET,GB,5900
Michael Pittman,WR,IND,MIN,5900
Nick Chubb,RB,CLE,LAC,5800
Rachaad White,RB,TB,KC,5800
Amari Cooper,WR,BUF,MIA,5800
Geno Smith,QB,SEA,LAR,5800
Trey McBride,TE,ARI,CHI,5800
WanDale Robinson,WR,NYG,WAS,5800
Romeo Doubs,WR,GB,DET,5700
Calvin Ridley,WR,TEN,NE,5700
Joe Flacco,QB,IND,MIN,5700
Bucky Irving,RB,TB,KC,5700
Alexander Mattison,RB,LV,CIN,5700
Matthew Stafford,QB,LAR,SEA,5700
Aaron Rodgers,QB,NYJ,HOU,5700
Zack Moss,RB,CIN,LV,5600
Trevor Lawrence,QB,JAX,PHI,5600
Derek Carr,QB,NO,CAR,5600
Tyler Lockett,WR,SEA,LAR,5600
Anthony Richardson,QB,IND,MIN,5600
Ladd McConkey,WR,LAC,CLE,5600
Braelon Allen,RB,NYJ,HOU,5500
Drake Maye,QB,NE,TEN,5500
Tyrone Tracy,RB,NYG,WAS,5500
David Njoku,TE,CLE,LAC,5500
Malik Willis,QB,GB,DET,5500
Jaylen Waddle,WR,MIA,BUF,5500
Keenan Allen,WR,CHI,ARI,5500
Courtland Sutton,WR,DEN,BAL,5400
Ezekiel Elliott,RB,DAL,ATL,5400
Zach Charbonnet,RB,SEA,LAR,5400
Michael Penix,QB,ATL,DAL,5400
Jameis Winston,QB,CLE,LAC,5400
Keon Coleman,WR,BUF,MIA,5400
Jakobi Meyers,WR,LV,CIN,5300
Sam Howell,QB,SEA,LAR,5300
Xavier Legette,WR,CAR,NO,5300
Austin Ekeler,RB,WAS,NYG,5300
Kimani Vidal,RB,LAC,CLE,5300
Justin Herbert,QB,LAC,CLE,5300
Evan Engram,TE,JAX,PHI,5300
Mitchell Trubisky,QB,BUF,MIA,5200
TJ Hockenson,TE,MIN,IND,5200
Tyler Huntley,QB,MIA,BUF,5200
Jordan Addison,WR,MIN,IND,5200
Justice Hill,RB,BAL,DEN,5200
Christian Kirk,WR,JAX,PHI,5200
Tyler Goodson,RB,IND,MIN,5200
Tyrod Taylor,QB,NYJ,HOU,5200
Dontayvion Wicks,WR,GB,DET,5200
Ray Davis,RB,BUF,MIA,5200
Daniel Jones,QB,NYG,WAS,5200
Jake Ferguson,TE,DAL,ATL,5100
Antonio Gibson,RB,NE,TEN,5100
Jalen Tolbert,WR,DAL,ATL,5100
Jerry Jeudy,WR,CLE,LAC,5100
Jake Haener,QB,NO,CAR,5100
Spencer Rattler,QB,NO,CAR,5100
Mac Jones,QB,JAX,PHI,5100
Gabe Davis,WR,JAX,PHI,5000
Dalton Kincaid,TE,BUF,MIA,5000
Christian Watson,WR,GB,DET,5000
Ty Johnson,RB,BUF,MIA,5000
Jacoby Brissett,QB,NE,TEN,5000
Josh Johnson,QB,BAL,DEN,5000
DeAndre Hopkins,WR,KC,TB,5000
Marcus Mariota,QB,WAS,NYG,5000
Brandin Cooks,WR,DAL,ATL,5000
Clyde Edwards-Helaire,RB,KC,TB,5000
Jonathon Brooks,RB,CAR,NO,5000
Samaje Perine,RB,KC,TB,4900
Kyle Pitts,TE,ATL,DAL,4900
Rome Odunze,WR,CHI,ARI,4900
Tyler Allgeier,RB,ATL,DAL,4900
Michael Wilson,WR,ARI,CHI,4900
Roschon Johnson,RB,CHI,ARI,4900
Jake Browning,QB,CIN,LV,4900
Darius Slayton,WR,NYG,WAS,4800
Kenny Pickett,QB,PHI,JAX,4800
Jerome Ford,RB,CLE,LAC,4800
Demarcus Robinson,WR,LAR,SEA,4800
Dalvin Cook,RB,DAL,ATL,4800
Sam LaPorta,TE,DET,GB,4800
Allen Lazard,WR,NYJ,HOU,4800
MarShawn Lloyd,RB,GB,DET,4800
Davis Mills,QB,HOU,NYJ,4700
DErnest Johnson,RB,JAX,PHI,4700
Trey Sermon,RB,IND,MIN,4700
Tutu Atwell,WR,LAR,SEA,4700
Adam Thielen,WR,CAR,NO,4700
Sean Tucker,RB,TB,KC,4700
Tyjae Spears,RB,TEN,NE,4700
Jaleel McLaughlin,RB,DEN,BAL,4700
Carson Wentz,QB,KC,TB,4700
Drew Lock,QB,NYG,WAS,4700
Dameon Pierce,RB,HOU,NYJ,4700
Dallas Goedert,TE,PHI,JAX,4700
Alec Pierce,WR,IND,MIN,4700
Joshua Palmer,WR,LAC,CLE,4600
Clayton Tune,QB,ARI,CHI,4600
Kendre Miller,RB,NO,CAR,4600
Mason Rudolph,QB,TEN,NE,4600
Will Levis,QB,TEN,NE,4600
Tucker Kraft,TE,GB,DET,4600
Ty Chandler,RB,MIN,IND,4600
Trey Benson,RB,ARI,CHI,4600
Gardner Minshew,QB,LV,CIN,4500
Jimmy Garoppolo,QB,LAR,SEA,4500
Miles Sanders,RB,CAR,NO,4500
Cade Otton,TE,TB,KC,4500
Cam Akers,RB,MIN,IND,4500
Jaylen Wright,RB,MIA,BUF,4500
JuJu Smith-Schuster,WR,KC,TB,4500
Pierre Strong,RB,CLE,LAC,4500
Kyle Trask,QB,TB,KC,4500
Desmond Ridder,QB,LV,CIN,4500
Jordan Whittington,WR,LAR,SEA,4500
Jeff Wilson,RB,MIA,BUF,4400
Blake Corum,RB,LAR,SEA,4400
Zamir White,RB,LV,CIN,4400
Cole Kmet,TE,CHI,ARI,4400
Aidan OConnell,QB,LV,CIN,4400
DeMario Douglas,WR,NE,TEN,4400
Bryce Young,QB,CAR,NO,4400
Quentin Johnston,WR,LAC,CLE,4400
Andy Dalton,QB,CAR,NO,4400
Dorian Thompson-Robinson,QB,CLE,LAC,4400
DOnta Foreman,RB,CLE,LAC,4300
Emanuel Wilson,RB,GB,DET,4300
Taylor Heinicke,QB,LAC,CLE,4300
Zach Ertz,TE,WAS,NYG,4300
Tre Tucker,WR,LV,CIN,4300
Jalen Nailor,WR,MIN,IND,4300
Jarrett Stidham,QB,DEN,BAL,4300
Cedric Tillman,WR,CLE,LAC,4300
Cooper Rush,QB,DAL,ATL,4300
Ameer Abdullah,RB,LV,CIN,4200
Skylar Thompson,QB,MIA,BUF,4200
Jalen McMillan,WR,TB,KC,4200
Mark Andrews,TE,BAL,DEN,4200
Kenneth Gainwell,RB,PHI,JAX,4200
Rashod Bateman,WR,BAL,DEN,4200
Elijah Moore,WR,CLE,LAC,4200
Robert Woods,WR,HOU,NYJ,4200
Zay Jones,WR,ARI,CHI,4100
Mike Williams,WR,NYJ,HOU,4100
Emari Demercado,RB,ARI,CHI,4100
Cedrick Wilson,WR,NO,CAR,4100
Audric Estime,RB,DEN,BAL,4100
Sterling Shepard,WR,TB,KC,4100
Dalton Schultz,TE,HOU,NYJ,4100
Sam Ehlinger,QB,IND,MIN,4000
Robert Burns,RB,ATL,DAL,4000
Julius Chestnut,RB,TEN,NE,4000
Nelson Agholor,WR,BAL,DEN,4000
Craig Reynolds,RB,DET,GB,4000
Mason Tipton,WR,NO,CAR,4000
Nyheim Hines,RB,CLE,LAC,4000
Trey Lance,QB,DAL,ATL,4000
Chase Edmonds,RB,TB,KC,4000
Jeremy McNichols,RB,WAS,NYG,4000
Keaton Mitchell,RB,BAL,DEN,4000
Khalil Herbert,RB,CHI,ARI,4000
Alec Ingold,RB,MIA,BUF,4000
Ronnie Rivers,RB,LAR,SEA,4000
Easton Stick,QB,LAC,CLE,4000
Isaiah Davis,RB,NYJ,HOU,4000
JJ McCarthy,QB,MIN,IND,4000
Avery Williams,RB,ATL,DAL,4000
JaMycal Hasty,RB,NE,TEN,4000
Michael Burton,RB,DEN,BAL,4000
AJ Dillon,RB,GB,DET,4000
Adam Prentice,RB,NO,CAR,4000
Gus Edwards,RB,LAC,CLE,4000
John Metchie,WR,HOU,NYJ,4000
Will Shipley,RB,PHI,JAX,4000
Tommy DeVito,QB,NYG,WAS,4000
Chris Collier,RB,BAL,DEN,4000
Travis Homer,RB,CHI,ARI,4000
Shane Buechele,QB,BUF,MIA,4000
Kenny McIntosh,RB,SEA,LAR,4000
Chris Evans,RB,CIN,LV,4000
Case Keenum,QB,HOU,NYJ,4000
Brett Rypien,QB,MIN,IND,4000
Jase McClellan,RB,ATL,DAL,4000
Joe Milton,QB,NE,TEN,4000
Tyler Badie,RB,DEN,BAL,4000
Chris Brooks,RB,GB,DET,4000
Jamaal Williams,RB,NO,CAR,4000
Hassan Haskins,RB,LAC,CLE,4000
British Brooks,RB,HOU,NYJ,4000
Keilan Robinson,RB,JAX,PHI,4000
Jeff Driskel,QB,WAS,NYG,4000
Rasheen Ali,RB,BAL,DEN,4000
DeeJay Dallas,RB,ARI,CHI,4000
Isaiah Likely,TE,BAL,DEN,4000
Stetson Bennett,QB,LAR,SEA,4000
Trayveon Williams,RB,CIN,LV,4000
Jordan Travis,QB,NYJ,HOU,4000
Nick Mullens,QB,MIN,IND,4000
Hunter Luepke,RB,DAL,ATL,4000
Trey Palmer,WR,TB,KC,4000
Noah Brown,WR,WAS,NYG,4000
Patrick Ricard,RB,BAL,DEN,4000
Hendon Hooker,QB,DET,GB,4000
Raheem Blackshear,RB,CAR,NO,4000
Deshaun Watson,QB,CLE,LAC,4000
Dare Ogunbowale,RB,HOU,NYJ,4000
Tanner McKee,QB,PHI,JAX,4000
CJ Ham,RB,MIN,IND,4000
Zach Wilson,QB,DEN,BAL,4000
Tyson Bagent,QB,CHI,ARI,4000
Troy Franklin,WR,DEN,BAL,4000
Sione Vaki,RB,DET,GB,4000
Dylan Laube,RB,LV,CIN,4000
DJ Chark,WR,LAC,CLE,4000
Deuce Vaughn,RB,DAL,ATL,4000
Carson Steele,RB,KC,TB,4000
Eric Gray,RB,NYG,WAS,4000
Owen Wright,RB,BAL,DEN,4000
Ian Wheeler,RB,CHI,ARI,4000
Reggie Gilliam,RB,BUF,MIA,4000
Cody Schrader,RB,LAR,SEA,4000
