player,position,team,opponent,salary
Christian McCaffrey,RB,SF,ARI,8200
JaMarr Chase,WR,CIN,MIN,8100
CeeDee Lamb,WR,DAL,CHI,8000
Bijan Robinson,RB,ATL,CAR,7900
Saquon Barkley,RB,PHI,LAR,7800
Puka Nacua,WR,LAR,PHI,7700
Jahmyr Gibbs,RB,DET,BAL,7600
Justin Jefferson,WR,MIN,CIN,7500
Derrick Henry,RB,BAL,DET,7500
Amon-Ra St Brown,WR,DET,BAL,7400
Josh Allen,QB,BUF,MIA,7400
Lamar Jackson,QB,BAL,DET,7300
Nico Collins,WR,HOU,JAX,7300
Malik Nabers,WR,NYG,KC,7200
Jonathan Taylor,RB,IND,TEN,7200
Bucky Irving,RB,TB,NYJ,7100
Josh Jacobs,RB,GB,CLE,7000
Jayden Daniels,QB,WAS,LV,7000
Chase Brown,RB,CIN,MIN,6900
Ladd McConkey,WR,LAC,DEN,6800
Jalen Hurts,QB,PHI,LAR,6800
DeVon Achane,RB,MIA,BUF,6800
Ashton Jeanty,RB,LV,WAS,6700
Tyreek Hill,WR,MIA,BUF,6700
Baker Mayfield,QB,TB,NYJ,6600
James Cook,RB,BUF,MIA,6600
Mike Evans,WR,TB,NYJ,6600
Patrick Mahomes,QB,KC,NYG,6500
James Conner,RB,ARI,SF,6500
Jaxon Smith-Njigba,WR,SEA,NO,6500
Joe Burrow,QB,CIN,MIN,6500
Zay Flowers,WR,BAL,DET,6400
Jared Goff,QB,DET,BAL,6400
Kyren Williams,RB,LAR,PHI,6400
Brian Thomas,WR,JAX,HOU,6400
Alvin Kamara,RB,NO,SEA,6300
Emeka Egbuka,WR,TB,NYJ,6300
AJ Brown,WR,PHI,LAR,6300
Jordan Love,QB,GB,CLE,6300
Chuba Hubbard,RB,CAR,ATL,6200
Justin Herbert,QB,LAC,DEN,6200
Garrett Wilson,WR,NYJ,TB,6200
Davante Adams,WR,LAR,PHI,6200
Deebo Samuel,WR,WAS,LV,6100
Tee Higgins,WR,CIN,MIN,6100
Kyler Murray,QB,ARI,SF,6100
Javonte Williams,RB,DAL,CHI,6100
Breece Hall,RB,NYJ,TB,6000
Drake London,WR,ATL,CAR,6000
Brock Purdy,QB,SF,ARI,6000
Courtland Sutton,WR,DEN,LAC,6000
Brock Bowers,TE,LV,WAS,6000
Travis Etienne,RB,JAX,HOU,5900
Tetairoa McMillan,WR,CAR,ATL,5900
Jameson Williams,WR,DET,BAL,5900
George Pickens,WR,DAL,CHI,5900
Dak Prescott,QB,DAL,CHI,5900
Terry McLaurin,WR,WAS,LV,5800
Xavier Worthy,WR,KC,NYG,5800
Kenneth Walker,RB,SEA,NO,5800
Bo Nix,QB,DEN,LAC,5800
DK Metcalf,WR,PIT,NE,5700
Trey McBride,TE,ARI,SF,5700
Jaylen Waddle,WR,MIA,BUF,5700
JK Dobbins,RB,DEN,LAC,5700
Tony Pollard,RB,TEN,IND,5700
Matthew Stafford,QB,LAR,PHI,5700
DAndre Swift,RB,CHI,DAL,5600
Caleb Williams,QB,CHI,DAL,5600
Omarion Hampton,RB,LAC,DEN,5600
David Montgomery,RB,DET,BAL,5600
Jakobi Meyers,WR,LV,WAS,5600
Marvin Harrison,WR,ARI,SF,5600
Michael Penix,QB,ATL,CAR,5600
Jaylen Warren,RB,PIT,NE,5500
Hollywood Brown,WR,KC,NYG,5500
Jake Browning,QB,CIN,MIN,5500
Ricky Pearsall,WR,SF,ARI,5500
CJ Stroud,QB,HOU,JAX,5500
Jacory Croskey-Merritt,RB,WAS,LV,5500
Chris Godwin,WR,TB,NYJ,5500
TreVeyon Henderson,RB,NE,PIT,5400
Jordan Mason,RB,MIN,CIN,5400
DJ Moore,WR,CHI,DAL,5400
Trevor Lawrence,QB,JAX,HOU,5400
Quentin Johnston,WR,LAC,DEN,5400
Khalil Shakir,WR,BUF,MIA,5400
Daniel Jones,QB,IND,TEN,5400
Tua Tagovailoa,QB,MIA,BUF,5400
Justin Fields,QB,NYJ,TB,5300
Keon Coleman,WR,BUF,MIA,5300
DeVonta Smith,WR,PHI,LAR,5300
Rhamondre Stevenson,RB,NE,PIT,5300
Russell Wilson,QB,NYG,KC,5300
Drake Maye,QB,NE,PIT,5300
Rome Odunze,WR,CHI,DAL,5300
Aaron Jones,RB,MIN,CIN,5300
Isiah Pacheco,RB,KC,NYG,5200
Jerry Jeudy,WR,CLE,GB,5200
Chris Olave,WR,NO,SEA,5200
Dylan Sampson,RB,CLE,GB,5200
Geno Smith,QB,LV,WAS,5200
Aaron Rodgers,QB,PIT,NE,5200
Nick Chubb,RB,HOU,JAX,5200
Najee Harris,RB,LAC,DEN,5100
Calvin Ridley,WR,TEN,IND,5100
Rachaad White,RB,TB,NYJ,5100
Tyrone Tracy,RB,NYG,KC,5100
JJ McCarthy,QB,MIN,CIN,5100
Sam Darnold,QB,SEA,NO,5100
Matthew Golden,WR,GB,CLE,5100
Cam Skattebo,RB,NYG,KC,5000
Quinshon Judkins,RB,CLE,GB,5000
Jauan Jennings,WR,SF,ARI,5000
Bryce Young,QB,CAR,ATL,5000
Mac Jones,QB,SF,ARI,5000
Cooper Kupp,WR,SEA,NO,5000
Travis Kelce,TE,KC,NYG,5000
Braelon Allen,RB,NYJ,TB,5000
Cam Ward,QB,TEN,IND,4900
Travis Hunter,WR,JAX,HOU,4900
Spencer Rattler,QB,NO,SEA,4900
Bhayshul Tuten,RB,JAX,HOU,4900
Raheem Mostert,RB,LV,WAS,4900
Michael Pittman,WR,IND,TEN,4900
Joe Flacco,QB,CLE,GB,4800
Zach Charbonnet,RB,SEA,NO,4800
Jaylen Wright,RB,MIA,BUF,4800
Tyrod Taylor,QB,NYJ,TB,4800
Stefon Diggs,WR,NE,PIT,4800
Romeo Doubs,WR,GB,CLE,4800
Brian Robinson,RB,SF,ARI,4800
Kareem Hunt,RB,KC,NYG,4700
Christian Kirk,WR,HOU,JAX,4700
Keenan Allen,WR,LAC,DEN,4700
Tucker Kraft,TE,GB,CLE,4700
RJ Harvey,RB,DEN,LAC,4700
Tyler Allgeier,RB,ATL,CAR,4700
Trey Lance,QB,LAC,DEN,4700
Rico Dowdle,RB,CAR,ATL,4700
WanDale Robinson,WR,NYG,KC,4700
Kenny Pickett,QB,LV,WAS,4700
Dameon Pierce,RB,HOU,JAX,4600
Rashid Shaheed,WR,NO,SEA,4600
Jerome Ford,RB,CLE,GB,4600
Teddy Bridgewater,QB,TB,NYJ,4600
Kirk Cousins,QB,ATL,CAR,4600
Kayshon Boutte,WR,NE,PIT,4600
Antonio Gibson,RB,NE,PIT,4600
Andy Dalton,QB,CAR,ATL,4500
Sam LaPorta,TE,DET,BAL,4500
Kenneth Gainwell,RB,PIT,NE,4500
Rashod Bateman,WR,BAL,DET,4500
Davis Mills,QB,HOU,JAX,4500
Justice Hill,RB,BAL,DET,4500
Cedric Tillman,WR,CLE,GB,4500
Trey Benson,RB,ARI,SF,4500
Darnell Mooney,WR,ATL,CAR,4500
Miles Sanders,RB,DAL,CHI,4500
Tyler Shough,QB,NO,SEA,4400
Kaleb Johnson,RB,PIT,NE,4400
Jeremy McNichols,RB,WAS,LV,4400
Dyami Brown,WR,JAX,HOU,4400
Tyler Warren,TE,IND,TEN,4400
Woody Marks,RB,HOU,JAX,4400
Josh Downs,WR,IND,TEN,4400
Joshua Palmer,WR,BUF,MIA,4400
Anthony Richardson,QB,IND,TEN,4400
Will Shipley,RB,PHI,LAR,4300
Jameis Winston,QB,NYG,KC,4300
Adam Thielen,WR,MIN,CIN,4300
Jaydon Blue,RB,DAL,CHI,4300
Shedeur Sanders,QB,CLE,GB,4300
Mark Andrews,TE,BAL,DET,4300
Alec Pierce,WR,IND,TEN,4300
Dillon Gabriel,QB,CLE,GB,4300
DeAndre Hopkins,WR,BAL,DET,4300
Tank Bigsby,RB,PHI,LAR,4300
Ollie Gordon,RB,MIA,BUF,4300
Jaxson Dart,QB,NYG,KC,4300
Jimmy Garoppolo,QB,LAR,PHI,4200
Zach Ertz,TE,WAS,LV,4200
Jayden Higgins,WR,HOU,JAX,4200
Zamir White,RB,LV,WAS,4200
DJ Giddens,RB,IND,TEN,4200
Blake Corum,RB,LAR,PHI,4200
