player,position,team,opponent,salary
Saquon Barkley,RB,PHI,PIT,8600
Josh Allen,QB,BUF,DET,8500
JaMarr Chase,WR,CIN,TEN,8400
Derrick Henry,RB,BAL,NYG,8300
Lamar Jackson,QB,BAL,NYG,8300
Justin Jefferson,WR,MIN,CHI,8200
Nico Collins,WR,HOU,MIA,8100
Jalen Hurts,QB,PHI,PIT,8000
Puka Nacua,WR,LAR,SF,8000
AJ Brown,WR,PHI,PIT,8000
DeVon Achane,RB,MIA,HOU,7900
Joe Mixon,RB,HOU,MIA,7800
Alvin Kamara,RB,NO,WAS,7700
Amon-Ra St Brown,WR,DET,BUF,7600
Bijan Robinson,RB,ATL,LV,7600
Jahmyr Gibbs,RB,DET,BUF,7500
Jayden Daniels,QB,WAS,NO,7500
Tyreek Hill,WR,MIA,HOU,7400
Josh Jacobs,RB,GB,SEA,7400
Joe Burrow,QB,CIN,TEN,7300
CeeDee Lamb,WR,DAL,CAR,7300
Kyren Williams,RB,LAR,SF,7300
Terry McLaurin,WR,WAS,NO,7200
Chase Brown,RB,CIN,TEN,7200
Mike Evans,WR,TB,LAC,7100
David Montgomery,RB,DET,BUF,7000
Cooper Kupp,WR,LAR,SF,7000
Jonathan Taylor,RB,IND,DEN,6900
Davante Adams,WR,NYJ,JAX,6900
James Cook,RB,BUF,DET,6800
Tee Higgins,WR,CIN,TEN,6800
Tony Pollard,RB,TEN,CIN,6700
Patrick Mahomes,QB,KC,CLE,6700
George Pickens,WR,PIT,PHI,6700
Sam Darnold,QB,MIN,CHI,6600
Courtland Sutton,WR,DEN,IND,6600
James Conner,RB,ARI,NE,6600
Brock Bowers,TE,LV,ATL,6600
Jared Goff,QB,DET,BUF,6500
Garrett Wilson,WR,NYJ,JAX,6500
Chuba Hubbard,RB,CAR,DAL,6500
Aaron Jones,RB,MIN,CHI,6500
Baker Mayfield,QB,TB,LAC,6400
Malik Nabers,WR,NYG,BAL,6400
Breece Hall,RB,NYJ,JAX,6400
Isaac Guerendo,RB,SF,LAR,6400
Drake London,WR,ATL,LV,6400
Bucky Irving,RB,TB,LAC,6300
Bo Nix,QB,DEN,IND,6300
Jaxon Smith-Njigba,WR,SEA,GB,6300
Brock Purdy,QB,SF,LAR,6300
Kenneth Walker,RB,SEA,GB,6300
Ladd McConkey,WR,LAC,TB,6300
Jerry Jeudy,WR,CLE,KC,6200
Jauan Jennings,WR,SF,LAR,6200
Jordan Love,QB,GB,SEA,6200
Brian Robinson,RB,WAS,NO,6200
CJ Stroud,QB,HOU,MIA,6200
Rico Dowdle,RB,DAL,CAR,6100
George Kittle,TE,SF,LAR,6100
Jayden Reed,WR,GB,SEA,6100
Khalil Shakir,WR,BUF,DET,6100
Tua Tagovailoa,QB,MIA,HOU,6100
Zach Charbonnet,RB,SEA,GB,6000
Matthew Stafford,QB,LAR,SF,6000
Trey McBride,TE,ARI,NE,6000
Kyler Murray,QB,ARI,NE,6000
Zay Flowers,WR,BAL,NYG,6000
DK Metcalf,WR,SEA,GB,6000
Isiah Pacheco,RB,KC,CLE,6000
Rhamondre Stevenson,RB,NE,ARI,5900
Calvin Ridley,WR,TEN,CIN,5900
Jordan Addison,WR,MIN,CHI,5900
Patrick Taylor,RB,SF,LAR,5900
Najee Harris,RB,PIT,PHI,5900
Justin Herbert,QB,LAC,TB,5900
Anthony Richardson,QB,IND,DEN,5800
DJ Moore,WR,CHI,MIN,5800
Brian Thomas,WR,JAX,NYJ,5800
Geno Smith,QB,SEA,GB,5800
JK Dobbins,RB,LAC,TB,5800
Rachaad White,RB,TB,LAC,5800
Russell Wilson,QB,PIT,PHI,5700
Tyrone Tracy,RB,NYG,BAL,5700
Jaylen Waddle,WR,MIA,HOU,5700
Jakobi Meyers,WR,LV,ATL,5700
Travis Kelce,TE,KC,CLE,5700
Caleb Williams,QB,CHI,MIN,5700
Deebo Samuel,WR,SF,LAR,5700
Jameson Williams,WR,DET,BUF,5600
Drake Maye,QB,NE,ARI,5600
Travis Etienne,RB,JAX,NYJ,5600
Darnell Mooney,WR,ATL,LV,5600
DAndre Swift,RB,CHI,MIN,5600
