player,position,team,opponent,salary
Christian McCaffrey,RB,SF,ARI,9000
Jaxon Smith-Njigba,WR,SEA,LAR,8900
Puka Nacua,WR,LAR,SEA,8700
JaMarr Chase,WR,CIN,PIT,8500
Amon-Ra St Brown,WR,DET,PHI,8400
Bijan Robinson,RB,ATL,CAR,8300
Jahmyr Gibbs,RB,DET,PHI,8200
DeVon Achane,RB,MIA,WAS,8100
CeeDee Lamb,WR,DAL,LV,8000
Rashee Rice,WR,KC,DEN,7900
Josh Jacobs,RB,GB,NYG,7800
Davante Adams,WR,LAR,SEA,7700
Saquon Barkley,RB,PHI,DET,7600
Justin Jefferson,WR,MIN,CHI,7500
Drake London,WR,ATL,CAR,7400
James Cook,RB,BUF,TB,7300
Emeka Egbuka,WR,TB,BUF,7200
George Pickens,WR,DAL,LV,7000
Bucky Irving,RB,TB,BUF,7000
Josh Allen,QB,BUF,TB,7000
Kyren Williams,RB,LAR,SEA,6900
Lamar Jackson,QB,BAL,CLE,6900
Patrick Mahomes,QB,KC,DEN,6800
Rico Dowdle,RB,CAR,ATL,6800
Jalen Hurts,QB,PHI,DET,6700
Nico Collins,WR,HOU,TEN,6700
Javonte Williams,RB,DAL,LV,6700
Derrick Henry,RB,BAL,CLE,6600
Matthew Stafford,QB,LAR,SEA,6600
Jaylen Waddle,WR,MIA,WAS,6600
Ashton Jeanty,RB,LV,DAL,6500
Dak Prescott,QB,DAL,LV,6500
Ladd McConkey,WR,LAC,JAX,6500
Drake Maye,QB,NE,NYJ,6500
Baker Mayfield,QB,TB,BUF,6400
Zay Flowers,WR,BAL,CLE,6400
Quinshon Judkins,RB,CLE,BAL,6400
Stefon Diggs,WR,NE,NYJ,6300
TreVeyon Henderson,RB,NE,NYJ,6300
Trey McBride,TE,ARI,SF,6300
Justin Herbert,QB,LAC,JAX,6300
Rome Odunze,WR,CHI,MIN,6200
Rachaad White,RB,TB,BUF,6200
Breece Hall,RB,NYJ,NE,6200
Jared Goff,QB,DET,PHI,6200
Bo Nix,QB,DEN,KC,6100
Jaylen Warren,RB,PIT,CIN,6100
Brian Thomas,WR,JAX,LAC,6100
Brock Bowers,TE,LV,DAL,6000
AJ Brown,WR,PHI,DET,6000
Tee Higgins,WR,CIN,PIT,6000
Jordan Love,QB,GB,NYG,6000
Jordan Mason,RB,MIN,CHI,6000
DeVonta Smith,WR,PHI,DET,5900
Courtland Sutton,WR,DEN,KC,5900
Caleb Williams,QB,CHI,MIN,5900
Omarion Hampton,RB,LAC,JAX,5900
Kimani Vidal,RB,LAC,JAX,5900
Marvin Harrison,WR,ARI,SF,5800
Brock Purdy,QB,SF,ARI,5800
DAndre Swift,RB,CHI,MIN,5800
Garrett Wilson,WR,NYJ,NE,5800
JK Dobbins,RB,DEN,KC,5700
Sam Darnold,QB,SEA,LAR,5700
DK Metcalf,WR,PIT,CIN,5700
Chase Brown,RB,CIN,PIT,5700
Deebo Samuel,WR,WAS,MIA,5700
Tyrone Tracy,RB,NYG,GB,5600
Jaxson Dart,QB,NYG,GB,5600
Travis Etienne,RB,JAX,LAC,5600
Tetairoa McMillan,WR,CAR,ATL,5600
Jameson Williams,WR,DET,PHI,5600
Joe Flacco,QB,CIN,PIT,5500
WanDale Robinson,WR,NYG,GB,5500
Jordan Addison,WR,MIN,CHI,5500
Aaron Jones,RB,MIN,CHI,5500
Trey Benson,RB,ARI,SF,5500
Ricky Pearsall,WR,SF,ARI,5400
Woody Marks,RB,HOU,TEN,5400
Aaron Rodgers,QB,PIT,CIN,5400
Troy Franklin,WR,DEN,KC,5400
RJ Harvey,RB,DEN,KC,5400
Keenan Allen,WR,LAC,JAX,5300
Jake Ferguson,TE,DAL,LV,5300
Kyle Monangai,RB,CHI,MIN,5300
Khalil Shakir,WR,BUF,TB,5300
Tony Pollard,RB,TEN,HOU,5300
Rhamondre Stevenson,RB,NE,NYJ,5300
Mac Jones,QB,SF,ARI,5300
JJ McCarthy,QB,MIN,CHI,5200
DJ Moore,WR,CHI,MIN,5200
Isiah Pacheco,RB,KC,DEN,5200
Kareem Hunt,RB,KC,DEN,5200
Chris Godwin,WR,TB,BUF,5200
Terry McLaurin,WR,WAS,MIA,5200
David Montgomery,RB,DET,PHI,5200
Trevor Lawrence,QB,JAX,LAC,5100
Tre Tucker,WR,LV,DAL,5100
Parker Washington,WR,JAX,LAC,5100
Jauan Jennings,WR,SF,ARI,5100
Kenneth Walker,RB,SEA,LAR,5100
Zach Charbonnet,RB,SEA,LAR,5100
Sean Tucker,RB,TB,BUF,5000
George Kittle,TE,SF,ARI,5000
Quentin Johnston,WR,LAC,JAX,5000
Jacory Croskey-Merritt,RB,WAS,MIA,5000
Romeo Doubs,WR,GB,NYG,5000
Justin Fields,QB,NYJ,NE,5000
CJ Stroud,QB,HOU,TEN,5000
Kayshon Boutte,WR,NE,NYJ,5000
