player,position,team,opponent,salary
Christian McCaffrey,RB,SF,TEN,9000
DeVon Achane,RB,MIA,PIT,8900
Jahmyr Gibbs,RB,DET,LAR,8800
Puka Nacua,WR,LAR,DET,8700
Jaxon Smith-Njigba,WR,SEA,IND,8600
Jonathan Taylor,RB,IND,SEA,8500
Bijan Robinson,RB,ATL,TB,8200
JaMarr Chase,WR,CIN,BAL,8100
James Cook,RB,BUF,NE,8000
Amon-Ra St Brown,WR,DET,LAR,7900
Rashee Rice,WR,KC,LAC,7700
CeeDee Lamb,WR,DAL,MIN,7600
Josh Allen,QB,BUF,NE,7500
Trey McBride,TE,ARI,HOU,7400
George Pickens,WR,DAL,MIN,7300
Derrick Henry,RB,BAL,CIN,7300
Davante Adams,WR,LAR,DET,7200
Bucky Irving,RB,TB,ATL,7200
Saquon Barkley,RB,PHI,LV,7100
Matthew Stafford,QB,LAR,DET,7000
Drake London,WR,ATL,TB,7000
Jaylen Waddle,WR,MIA,PIT,6900
Dak Prescott,QB,DAL,MIN,6900
Josh Jacobs,RB,GB,DEN,6900
Jalen Hurts,QB,PHI,LV,6800
Kyren Williams,RB,LAR,DET,6800
AJ Brown,WR,PHI,LV,6800
Drake Maye,QB,NE,BUF,6700
Nico Collins,WR,HOU,ARI,6700
Chase Brown,RB,CIN,BAL,6700
Rico Dowdle,RB,CAR,NO,6600
Michael Wilson,WR,ARI,HOU,6600
Joe Burrow,QB,CIN,BAL,6600
Travis Etienne,RB,JAX,NYJ,6500
Tee Higgins,WR,CIN,BAL,6500
Patrick Mahomes,QB,KC,LAC,6500
Javonte Williams,RB,DAL,MIN,6400
Ladd McConkey,WR,LAC,KC,6400
Lamar Jackson,QB,BAL,CIN,6400
Justin Jefferson,WR,MIN,DAL,6300
Justin Herbert,QB,LAC,KC,6300
Zay Flowers,WR,BAL,CIN,6300
Quinshon Judkins,RB,CLE,CHI,6300
Emeka Egbuka,WR,TB,ATL,6200
Brock Purdy,QB,SF,TEN,6200
Chris Olave,WR,NO,CAR,6200
Breece Hall,RB,NYJ,JAX,6200
TreVeyon Henderson,RB,NE,BUF,6100
Jameson Williams,WR,DET,LAR,6100
Jared Goff,QB,DET,LAR,6100
Jayden Daniels,QB,WAS,NYG,6000
Stefon Diggs,WR,NE,BUF,6000
Jaylen Warren,RB,PIT,MIA,6000
Baker Mayfield,QB,TB,ATL,6000
Tetairoa McMillan,WR,CAR,NO,6000
RJ Harvey,RB,DEN,GB,6000
Mike Evans,WR,TB,ATL,5900
Bo Nix,QB,DEN,GB,5900
Brock Bowers,TE,LV,PHI,5900
WanDale Robinson,WR,NYG,WAS,5900
Omarion Hampton,RB,LAC,KC,5900
Rome Odunze,WR,CHI,CLE,5800
