player,position,team,opponent,salary
Jonathan Taylor,RB,IND,PIT,9800
Christian McCaffrey,RB,SF,NYG,8800
Bijan Robinson,RB,ATL,NE,8700
Puka Nacua,WR,LAR,NO,8500
JaMarr Chase,WR,CIN,CHI,8400
Amon-Ra St Brown,WR,DET,MIN,8300
Jaxon Smith-Njigba,WR,SEA,WAS,8100
Jahmyr Gibbs,RB,DET,MIN,8000
CeeDee Lamb,WR,DAL,ARI,7900
Justin Jefferson,WR,MIN,DET,7800
Josh Jacobs,RB,GB,CAR,7700
Rashee Rice,WR,KC,BUF,7600
Davante Adams,WR,LAR,NO,7500
DeVon Achane,RB,MIA,BAL,7400
Josh Allen,QB,BUF,KC,7300
James Cook,RB,BUF,KC,7200
Patrick Mahomes,QB,KC,BUF,7100
Nico Collins,WR,HOU,DEN,7100
Javonte Williams,RB,DAL,ARI,7000
George Pickens,WR,DAL,ARI,6900
Lamar Jackson,QB,BAL,MIA,6900
Justin Herbert,QB,LAC,TEN,6800
Kyren Williams,RB,LAR,NO,6800
Dak Prescott,QB,DAL,ARI,6700
Ashton Jeanty,RB,LV,JAX,6700
Jayden Daniels,QB,WAS,SEA,6600
Rome Odunze,WR,CHI,CIN,6600
Derrick Henry,RB,BAL,MIA,6500
Drake Maye,QB,NE,ATL,6500
Courtland Sutton,WR,DEN,HOU,6500
Drake London,WR,ATL,NE,6400
Bo Nix,QB,DEN,HOU,6400
Matthew Stafford,QB,LAR,NO,6300
Kimani Vidal,RB,LAC,TEN,6300
Brian Thomas,WR,JAX,LV,6200
Daniel Jones,QB,IND,PIT,6200
DAndre Swift,RB,CHI,CIN,6100
Chris Olave,WR,NO,LAR,6100
Jordan Love,QB,GB,CAR,6100
JK Dobbins,RB,DEN,HOU,6000
Jared Goff,QB,DET,MIN,6000
Trey McBride,TE,ARI,DAL,6000
Ladd McConkey,WR,LAC,TEN,6000
Tee Higgins,WR,CIN,CHI,5900
Chase Brown,RB,CIN,CHI,5900
Jaylen Waddle,WR,MIA,BAL,5900
Michael Pittman,WR,IND,PIT,5900
Tetairoa McMillan,WR,CAR,GB,5800
Rico Dowdle,RB,CAR,GB,5800
Jordan Addison,WR,MIN,DET,5800
Aaron Rodgers,QB,PIT,IND,5800
Stefon Diggs,WR,NE,ATL,5700
Tucker Kraft,TE,GB,CAR,5700
Jordan Mason,RB,MIN,DET,5700
Kyler Murray,QB,ARI,DAL,5700
Caleb Williams,QB,CHI,CIN,5700
Deebo Samuel,WR,WAS,SEA,5700
Travis Etienne,RB,JAX,LV,5600
Keenan Allen,WR,LAC,TEN,5600
Joe Flacco,QB,CIN,CHI,5600
Kenneth Walker,RB,SEA,WAS,5600
Xavier Worthy,WR,KC,BUF,5600
Tyler Warren,TE,IND,PIT,5500
Brock Purdy,QB,SF,NYG,5500
Alvin Kamara,RB,NO,LAR,5500
Jaylen Warren,RB,PIT,IND,5500
Sam Darnold,QB,SEA,WAS,5500
Marvin Harrison,WR,ARI,DAL,5500
DK Metcalf,WR,PIT,IND,5500
Ricky Pearsall,WR,SF,NYG,5400
