player,position,team,opponent,salary
CeeDee Lamb,WR,DAL,DET,8600
JaMarr Chase,WR,CIN,NYG,8400
Saquon Barkley,RB,PHI,CLE,8200
Amon-Ra St Brown,WR,DET,DAL,8100
Derrick Henry,RB,BAL,WAS,8000
Nico Collins,WR,HOU,NE,7900
AJ Brown,WR,PHI,CLE,7800
Lamar Jackson,QB,BAL,WAS,7800
Alvin Kamara,RB,NO,TB,7700
Jordan Mason,RB,SF,SEA,7600
Jonathan Taylor,RB,IND,TEN,7500
Josh Allen,QB,BUF,NYJ,7500
Malik Nabers,WR,NYG,CIN,7500
Stefon Diggs,WR,HOU,NE,7400
Christian McCaffrey,RB,SF,SEA,7300
Mike Evans,WR,TB,NO,7300
Jayden Daniels,QB,WAS,BAL,7300
James Cook,RB,BUF,NYJ,7200
Jalen Hurts,QB,PHI,CLE,7200
Marvin Harrison,WR,ARI,GB,7200
Garrett Wilson,WR,NYJ,BUF,7100
Davante Adams,WR,LV,PIT,7100
Kenneth Walker,RB,SEA,SF,7100
DK Metcalf,WR,SEA,SF,7000
Jahmyr Gibbs,RB,DET,DAL,7000
CJ Stroud,QB,HOU,NE,7000
Jayden Reed,WR,GB,ARI,7000
Chris Godwin,WR,TB,NO,6900
Joe Mixon,RB,HOU,NE,6900
Joe Burrow,QB,CIN,NYG,6900
DeVonta Smith,WR,PHI,CLE,6800
James Conner,RB,ARI,GB,6800
Kyler Murray,QB,ARI,GB,6800
Deebo Samuel,WR,SF,SEA,6800
Breece Hall,RB,NYJ,BUF,6800
Drake London,WR,ATL,CAR,6700
Josh Jacobs,RB,GB,ARI,6700
DJ Moore,WR,CHI,JAX,6700
Dak Prescott,QB,DAL,DET,6700
Bijan Robinson,RB,ATL,CAR,6600
Chris Olave,WR,NO,TB,6600
Jordan Love,QB,GB,ARI,6600
Zay Flowers,WR,BAL,WAS,6500
David Montgomery,RB,DET,DAL,6500
Baker Mayfield,QB,TB,NO,6500
Brian Thomas,WR,JAX,CHI,6400
Jared Goff,QB,DET,DAL,6400
Travis Etienne,RB,JAX,CHI,6400
Terry McLaurin,WR,WAS,BAL,6400
Brian Robinson,RB,WAS,BAL,6400
Brandon Aiyuk,WR,SF,SEA,6400
Brock Purdy,QB,SF,SEA,6300
Tee Higgins,WR,CIN,NYG,6300
Devin Singletary,RB,NYG,CIN,6300
Chuba Hubbard,RB,CAR,ATL,6300
Michael Pittman,WR,IND,TEN,6300
Kirk Cousins,QB,ATL,CAR,6200
JK Dobbins,RB,LAC,DEN,6200
Tank Dell,WR,HOU,NE,6200
DAndre Swift,RB,CHI,JAX,6200
Geno Smith,QB,SEA,SF,6100
WanDale Robinson,WR,NYG,CIN,6100
Chase Brown,RB,CIN,NYG,6100
Diontae Johnson,WR,CAR,ATL,6100
Rhamondre Stevenson,RB,NE,HOU,6100
Tank Bigsby,RB,JAX,CHI,6000
Joe Flacco,QB,IND,TEN,6000
Anthony Richardson,QB,IND,TEN,6000
Brock Bowers,TE,LV,PIT,6000
Amari Cooper,WR,CLE,PHI,6000
Tony Pollard,RB,TEN,IND,6000
Jaxon Smith-Njigba,WR,SEA,SF,6000
Trey Sermon,RB,IND,TEN,6000
George Pickens,WR,PIT,LV,5900
Derek Carr,QB,NO,TB,5900
Khalil Shakir,WR,BUF,NYJ,5900
Zack Moss,RB,CIN,NYG,5900
Rico Dowdle,RB,DAL,DET,5900
Jameson Williams,WR,DET,DAL,5800
Christian Kirk,WR,JAX,CHI,5800
Najee Harris,RB,PIT,LV,5800
Justin Fields,QB,PIT,LV,5800
Nick Chubb,RB,CLE,PHI,5800
Aaron Rodgers,QB,NYJ,BUF,5800
George Kittle,TE,SF,SEA,5800
Trey McBride,TE,ARI,GB,5700
Keenan Allen,WR,CHI,JAX,5700
Tyrone Tracy,RB,NYG,CIN,5700
Caleb Williams,QB,CHI,JAX,5700
Calvin Ridley,WR,TEN,IND,5700
Rachaad White,RB,TB,NO,5700
Austin Ekeler,RB,WAS,BAL,5600
Trevor Lawrence,QB,JAX,CHI,5600
Jerome Ford,RB,CLE,PHI,5600
Rashid Shaheed,WR,NO,TB,5600
Josh Downs,WR,IND,TEN,5500
Mitchell Trubisky,QB,BUF,NYJ,5500
