player,position,team,opponent,salary
Jonathan Taylor,RB,IND,HOU,9800
Jaxon Smith-Njigba,WR,SEA,MIN,9500
Christian McCaffrey,RB,SF,CLE,9300
Puka Nacua,WR,LAR,CAR,9000
Bijan Robinson,RB,ATL,NYJ,8500
DeVon Achane,RB,MIA,NO,8300
Trey McBride,TE,ARI,TB,7800
James Cook,RB,BUF,PIT,7600
Josh Allen,QB,BUF,PIT,7500
Davante Adams,WR,LAR,CAR,7500
Drake London,WR,ATL,NYJ,7300
Saquon Barkley,RB,PHI,CHI,7200
Justin Jefferson,WR,MIN,SEA,7100
Bucky Irving,RB,TB,ARI,7000
Matthew Stafford,QB,LAR,CAR,7000
Rico Dowdle,RB,CAR,LAR,6900
Jaylen Waddle,WR,MIA,NO,6800
Drake Maye,QB,NE,NYG,6800
Nico Collins,WR,HOU,IND,6700
Kyren Williams,RB,LAR,CAR,6600
Jalen Hurts,QB,PHI,CHI,6600
Emeka Egbuka,WR,TB,ARI,6500
Justin Herbert,QB,LAC,LV,6500
Travis Etienne,RB,JAX,TEN,6500
Ashton Jeanty,RB,LV,LAC,6400
Chris Olave,WR,NO,MIA,6400
Daniel Jones,QB,IND,HOU,6300
Jaylen Warren,RB,PIT,BUF,6300
Ladd McConkey,WR,LAC,LV,6300
Brian Thomas,WR,JAX,TEN,6200
Quinshon Judkins,RB,CLE,SF,6200
Stefon Diggs,WR,NE,NYG,6200
Jayden Daniels,QB,WAS,DEN,6200
Bo Nix,QB,DEN,WAS,6100
Tetairoa McMillan,WR,CAR,LAR,6100
AJ Brown,WR,PHI,CHI,6100
TreVeyon Henderson,RB,NE,NYG,6100
Marvin Harrison,WR,ARI,TB,6000
Breece Hall,RB,NYJ,ATL,6000
Brock Purdy,QB,SF,CLE,6000
WanDale Robinson,WR,NYG,NE,6000
Omarion Hampton,RB,LAC,LV,5900
Michael Wilson,WR,ARI,TB,5900
Baker Mayfield,QB,TB,ARI,5900
Rome Odunze,WR,CHI,PHI,5900
Brock Bowers,TE,LV,LAC,5800
Jacoby Brissett,QB,ARI,TB,5800
Michael Pittman,WR,IND,HOU,5800
Woody Marks,RB,HOU,IND,5800
