player,position,team,opponent,salary
Christian McCaffrey,RB,SF,JAX,8500
Bijan Robinson,RB,ATL,WAS,8200
JaMarr Chase,WR,CIN,DEN,8000
Puka Nacua,WR,LAR,IND,7900
CeeDee Lamb,WR,DAL,GB,7800
Jahmyr Gibbs,RB,DET,CLE,7700
Josh Allen,QB,BUF,NO,7700
Saquon Barkley,RB,PHI,TB,7600
Justin Jefferson,WR,MIN,PIT,7500
Lamar Jackson,QB,BAL,KC,7500
Jonathan Taylor,RB,IND,LAR,7500
Nico Collins,WR,HOU,TEN,7400
Amon-Ra St Brown,WR,DET,CLE,7300
Derrick Henry,RB,BAL,KC,7200
James Cook,RB,BUF,NO,7100
DeVon Achane,RB,MIA,NYJ,7000
Malik Nabers,WR,NYG,LAC,7000
Jayden Daniels,QB,WAS,ATL,7000
Bucky Irving,RB,TB,PHI,6900
Josh Jacobs,RB,GB,DAL,6800
Emeka Egbuka,WR,TB,PHI,6800
Zay Flowers,WR,BAL,KC,6700
Jalen Hurts,QB,PHI,TB,6700
Chase Brown,RB,CIN,DEN,6600
Mike Evans,WR,TB,PHI,6600
Jaxon Smith-Njigba,WR,SEA,ARI,6600
Kenneth Walker,RB,SEA,ARI,6500
Tyreek Hill,WR,MIA,NYJ,6500
Baker Mayfield,QB,TB,PHI,6500
Ladd McConkey,WR,LAC,NYG,6500
Jared Goff,QB,DET,CLE,6400
Jordan Mason,RB,MIN,PIT,6400
AJ Brown,WR,PHI,TB,6400
Rome Odunze,WR,CHI,LV,6300
Kyren Williams,RB,LAR,IND,6300
Justin Herbert,QB,LAC,NYG,6300
George Pickens,WR,DAL,GB,6300
Garrett Wilson,WR,NYJ,MIA,6200
Jordan Love,QB,GB,DAL,6200
Ashton Jeanty,RB,LV,CHI,6200
Davante Adams,WR,LAR,IND,6200
Courtland Sutton,WR,DEN,CIN,6100
Brian Thomas,WR,JAX,SF,6100
Brock Purdy,QB,SF,JAX,6100
Alvin Kamara,RB,NO,BUF,6100
Deebo Samuel,WR,WAS,ATL,6000
Patrick Mahomes,QB,KC,BAL,6000
Chris Godwin,WR,TB,PHI,6000
Chuba Hubbard,RB,CAR,NE,6000
Jameson Williams,WR,DET,CLE,5900
Javonte Williams,RB,DAL,GB,5900
Matthew Stafford,QB,LAR,IND,5900
Omarion Hampton,RB,LAC,NYG,5900
