player,position,team,opponent,salary
Justin Jefferson,WR,MIN,JAX,8800
CeeDee Lamb,WR,DAL,PHI,8600
JaMarr Chase,WR,CIN,BAL,8400
Saquon Barkley,RB,PHI,DAL,8300
AJ Brown,WR,PHI,DAL,8200
Derrick Henry,RB,BAL,CIN,8200
Alvin Kamara,RB,NO,ATL,8100
Amon-Ra St Brown,WR,DET,HOU,8100
Lamar Jackson,QB,BAL,CIN,8000
Christian McCaffrey,RB,SF,TB,8000
Nico Collins,WR,HOU,DET,7900
Joe Mixon,RB,HOU,DET,7900
DeVonta Smith,WR,PHI,DAL,7800
Jalen Hurts,QB,PHI,DAL,7800
Kyren Williams,RB,LAR,MIA,7800
Bijan Robinson,RB,ATL,NO,7700
Josh Allen,QB,BUF,IND,7700
Cooper Kupp,WR,LAR,MIA,7700
Malik Nabers,WR,NYG,CAR,7600
Breece Hall,RB,NYJ,ARI,7600
Jonathan Taylor,RB,IND,BUF,7500
Tyreek Hill,WR,MIA,LAR,7500
Jayden Daniels,QB,WAS,PIT,7500
Jordan Mason,RB,SF,TB,7400
Tank Dell,WR,HOU,DET,7400
Terry McLaurin,WR,WAS,PIT,7300
Jahmyr Gibbs,RB,DET,HOU,7300
JK Dobbins,RB,LAC,TEN,7200
Zay Flowers,WR,BAL,CIN,7200
Garrett Wilson,WR,NYJ,ARI,7200
DeVon Achane,RB,MIA,LAR,7100
Mike Evans,WR,TB,SF,7100
Puka Nacua,WR,LAR,MIA,7100
James Cook,RB,BUF,IND,7000
Joe Burrow,QB,CIN,BAL,7000
Davante Adams,WR,NYJ,ARI,7000
Deebo Samuel,WR,SF,TB,6900
Tony Pollard,RB,TEN,LAC,6900
CJ Stroud,QB,HOU,DET,6800
George Pickens,WR,PIT,WAS,6800
Isiah Pacheco,RB,KC,DEN,6800
Aaron Jones,RB,MIN,JAX,6700
Drake London,WR,ATL,NO,6700
Chuba Hubbard,RB,CAR,NYG,6700
Kirk Cousins,QB,ATL,NO,6700
David Montgomery,RB,DET,HOU,6600
