player,position,team,opponent,salary
Emanuel Wilson,RB,GB,SF,4400
Davis Mills,QB,HOU,TEN,4400
Jake Ferguson,TE,DAL,WAS,4400
Cam Akers,RB,MIN,CHI,4400
Blake Corum,RB,LAR,PHI,4400
Sam LaPorta,TE,DET,IND,4300
Kenny Pickett,QB,PHI,LAR,4300
JuJu Smith-Schuster,WR,KC,CAR,4300
Zach Charbonnet,RB,SEA,ARI,4300
Samaje Perine,RB,KC,CAR,4300
Dontayvion Wicks,WR,GB,SF,4300
Carson Wentz,QB,KC,CAR,4300
Rashod Bateman,WR,BAL,LAC,4300
Ameer Abdullah,RB,LV,DEN,4300
Gus Edwards,RB,LAC,BAL,4300
Dare Ogunbowale,RB,HOU,TEN,4200
Zamir White,RB,LV,DEN,4200
TJ Hockenson,TE,MIN,CHI,4200
Noah Brown,WR,WAS,DAL,4200
Mike Williams,WR,PIT,CLE,4200
Dalvin Cook,RB,DAL,WAS,4200
Joshua Palmer,WR,LAC,BAL,4200
Sterling Shepard,WR,TB,NYG,4200
Sam Howell,QB,SEA,ARI,4200
Kenneth Gainwell,RB,PHI,LAR,4100
Tyler Goodson,RB,IND,DET,4100
Emari Demercado,RB,ARI,SEA,4100
Nick Westbrook-Ikhine,WR,TEN,HOU,4100
Jalen Tolbert,WR,DAL,WAS,4100
Tyson Bagent,QB,CHI,MIN,4100
Mark Andrews,TE,BAL,LAC,4100
Jeremy McNichols,RB,WAS,DAL,4100
Demarcus Robinson,WR,LAR,PHI,4100
Jonnu Smith,TE,MIA,NE,4100
Kenny McIntosh,RB,SEA,ARI,4000
Joe Milton,QB,NE,MIA,4000
Kimani Vidal,RB,LAC,BAL,4000
Chase Edmonds,RB,TB,NYG,4000
Pierre Strong,RB,CLE,PIT,4000
Jarrett Stidham,QB,DEN,LV,4000
JJ McCarthy,QB,MIN,CHI,4000
Elijah Mitchell,RB,SF,GB,4000
Sam Ehlinger,QB,IND,DET,4000
Will Shipley,RB,PHI,LAR,4000
Jeff Wilson,RB,MIA,NE,4000
Dorian Thompson-Robinson,QB,CLE,PIT,4000
Patrick Ricard,RB,BAL,LAC,4000
Dak Prescott,QB,DAL,WAS,4000
Raheem Blackshear,RB,CAR,KC,4000
Michael Burton,RB,DEN,LV,4000
Ian Wheeler,RB,CHI,MIN,4000
Clayton Tune,QB,ARI,SEA,4000
Sione Vaki,RB,DET,IND,4000
Easton Stick,QB,LAC,BAL,4000
Tommy DeVito,QB,NYG,TB,4000
Jonathan Ward,RB,PIT,CLE,4000
Aidan OConnell,QB,LV,DEN,4000
Brett Rypien,QB,MIN,CHI,4000
Isaac Guerendo,RB,SF,GB,4000
British Brooks,RB,HOU,TEN,4000
Stetson Bennett,QB,LAR,PHI,4000
JaMycal Hasty,RB,NE,MIA,4000
Kyle Allen,QB,PIT,CLE,4000
Owen Wright,RB,BAL,LAC,4000
Jeff Driskel,QB,WAS,DAL,4000
Miles Sanders,RB,CAR,KC,4000
Tyler Badie,RB,DEN,LV,4000
Travis Homer,RB,CHI,MIN,4000
AJ Dillon,RB,GB,SF,4000
Craig Reynolds,RB,DET,IND,4000
Taylor Heinicke,QB,LAC,BAL,4000
Kyle Trask,QB,TB,NYG,4000
Cordarrelle Patterson,RB,PIT,CLE,4000
Hunter Luepke,RB,DAL,WAS,4000
Nick Mullens,QB,MIN,CHI,4000
Joshua Dobbs,QB,SF,GB,4000
Joshua Kelley,RB,TEN,HOU,4000
Tanner McKee,QB,PHI,LAR,4000
Tyler Huntley,QB,MIA,NE,4000
Rasheen Ali,RB,BAL,LAC,4000
Jalen McMillan,WR,TB,NYG,4000
Nyheim Miller-Hines,RB,CLE,PIT,4000
Dylan Laube,RB,LV,DEN,4000
CJ Ham,RB,MIN,CHI,4000
Chris Brooks,RB,GB,SF,4000
Trey Sermon,RB,IND,DET,4000
Cody Schrader,RB,LAR,PHI,4000
Hunter Henry,TE,NE,MIA,4000
Deshaun Watson,QB,CLE,PIT,4000
Deuce Vaughn,RB,DAL,WAS,4000
Clyde Edwards-Helaire,RB,KC,CAR,4000
Brandon Allen,QB,SF,GB,4000
Julius Chestnut,RB,TEN,HOU,4000
DeeJay Dallas,RB,ARI,SEA,4000
Skylar Thompson,QB,MIA,NE,4000
Keaton Mitchell,RB,BAL,LAC,4000
Eric Gray,RB,NYG,TB,4000
DOnta Foreman,RB,CLE,PIT,4000
Zach Wilson,QB,DEN,LV,4000
Ty Chandler,RB,MIN,CHI,4000
Kyle Juszczyk,RB,SF,GB,4000
Hendon Hooker,QB,DET,IND,4000
Ronnie Rivers,RB,LAR,PHI,4000
Alec Ingold,RB,MIA,NE,4000
Bailey Zappe,QB,CLE,PIT,4000
Hassan Haskins,RB,LAC,BAL,4000
Chris Rodriguez,RB,WAS,DAL,4000
Carson Steele,RB,KC,CAR,4000
Tre Tucker,WR,LV,DEN,4000
Case Keenum,QB,HOU,TEN,4000
Tucker Kraft,TE,GB,SF,3900
Devaughn Vele,WR,DEN,LV,3900
Adonai Mitchell,WR,IND,DET,3900
