player,position,team,opponent,salary
Christian McCaffrey,RB,SF,LAR,8600
Puka Nacua,WR,LAR,SF,8400
Josh Allen,QB,BUF,NE,8000
Jonathan Taylor,RB,IND,LV,8000
Amon-Ra St Brown,WR,DET,CIN,7900
JaMarr Chase,WR,CIN,DET,7800
Jahmyr Gibbs,RB,DET,CIN,7700
CeeDee Lamb,WR,DAL,NYJ,7600
Saquon Barkley,RB,PHI,DEN,7500
James Cook,RB,BUF,NE,7400
DeVon Achane,RB,MIA,CAR,7300
Lamar Jackson,QB,BAL,HOU,7300
Justin Jefferson,WR,MIN,CLE,7300
Bucky Irving,RB,TB,SEA,7200
Jaxon Smith-Njigba,WR,SEA,TB,7100
Jayden Daniels,QB,WAS,LAC,7000
Derrick Henry,RB,BAL,HOU,7000
Emeka Egbuka,WR,TB,SEA,6900
Nico Collins,WR,HOU,BAL,6800
Jalen Hurts,QB,PHI,DEN,6800
Ashton Jeanty,RB,LV,IND,6700
Patrick Mahomes,QB,KC,JAX,6600
George Pickens,WR,DAL,NYJ,6600
Omarion Hampton,RB,LAC,WAS,6500
Jared Goff,QB,DET,CIN,6500
Mike Evans,WR,TB,SEA,6500
Matthew Stafford,QB,LAR,SF,6400
Jordan Mason,RB,MIN,CLE,6400
Tyreek Hill,WR,MIA,CAR,6400
Deebo Samuel,WR,WAS,LAC,6300
Kenneth Walker,RB,SEA,TB,6300
Baker Mayfield,QB,TB,SEA,6300
Javonte Williams,RB,DAL,NYJ,6200
Zay Flowers,WR,BAL,HOU,6200
Davante Adams,WR,LAR,SF,6200
Brock Purdy,QB,SF,LAR,6200
Garrett Wilson,WR,NYJ,DAL,6100
Brian Thomas,WR,JAX,KC,6100
Justin Herbert,QB,LAC,WAS,6100
Chase Brown,RB,CIN,DET,6100
Drake Maye,QB,NE,BUF,6000
Kyren Williams,RB,LAR,SF,6000
Courtland Sutton,WR,DEN,PHI,6000
AJ Brown,WR,PHI,DEN,6000
Dak Prescott,QB,DAL,NYJ,6000
Cam Skattebo,RB,NYG,NO,6000
Tee Higgins,WR,CIN,DET,5900
Chris Godwin,WR,TB,SEA,5900
Kyler Murray,QB,ARI,TEN,5900
Alvin Kamara,RB,NO,NYG,5900
Travis Etienne,RB,JAX,KC,5900
Trey McBride,TE,ARI,TEN,5800
Quinshon Judkins,RB,CLE,MIN,5800
Chuba Hubbard,RB,CAR,MIA,5800
Daniel Jones,QB,IND,LV,5800
Xavier Worthy,WR,KC,JAX,5800
Terry McLaurin,WR,WAS,LAC,5800
Trey Benson,RB,ARI,TEN,5700
Bo Nix,QB,DEN,PHI,5700
Tetairoa McMillan,WR,CAR,MIA,5700
Quentin Johnston,WR,LAC,WAS,5700
Breece Hall,RB,NYJ,DAL,5600
