player,position,team,opponent,salary
JaMarr Chase,WR,CIN,PIT,8600
Saquon Barkley,RB,PHI,BAL,8500
AJ Brown,WR,PHI,BAL,8300
Christian McCaffrey,RB,SF,BUF,8200
Justin Jefferson,WR,MIN,ARI,8100
Lamar Jackson,QB,BAL,PHI,8000
Joe Mixon,RB,HOU,JAX,8000
Nico Collins,WR,HOU,JAX,7900
Josh Allen,QB,BUF,SF,7800
Derrick Henry,RB,BAL,PHI,7800
Jalen Hurts,QB,PHI,BAL,7700
Alvin Kamara,RB,NO,LAR,7700
Puka Nacua,WR,LAR,NO,7600
Breece Hall,RB,NYJ,SEA,7500
Cooper Kupp,WR,LAR,NO,7400
Bijan Robinson,RB,ATL,LAC,7300
Kyren Williams,RB,LAR,NO,7200
Jayden Daniels,QB,WAS,TEN,7200
Terry McLaurin,WR,WAS,TEN,7100
James Cook,RB,BUF,SF,7100
Davante Adams,WR,NYJ,SEA,7000
Kenneth Walker,RB,SEA,NYJ,7000
Joe Burrow,QB,CIN,PIT,7000
Jonathan Taylor,RB,IND,NE,6900
Garrett Wilson,WR,NYJ,SEA,6900
George Pickens,WR,PIT,CIN,6800
JK Dobbins,RB,LAC,ATL,6800
Patrick Mahomes,QB,KC,LV,6800
Mike Evans,WR,TB,CAR,6700
Chuba Hubbard,RB,CAR,TB,6700
Baker Mayfield,QB,TB,CAR,6600
James Conner,RB,ARI,MIN,6600
Tee Higgins,WR,CIN,PIT,6600
Aaron Jones,RB,MIN,ARI,6500
Drake London,WR,ATL,LAC,6500
DK Metcalf,WR,SEA,NYJ,6400
CJ Stroud,QB,HOU,JAX,6400
Nick Chubb,RB,CLE,DEN,6400
Courtland Sutton,WR,DEN,CLE,6300
Bo Nix,QB,DEN,CLE,6300
Tony Pollard,RB,TEN,WAS,6300
Jaxon Smith-Njigba,WR,SEA,NYJ,6300
Brock Purdy,QB,SF,BUF,6200
Zay Flowers,WR,BAL,PHI,6200
Chase Brown,RB,CIN,PIT,6200
George Kittle,TE,SF,BUF,6200
Isiah Pacheco,RB,KC,LV,6200
Deebo Samuel,WR,SF,BUF,6200
Brian Robinson,RB,WAS,TEN,6100
Kyler Murray,QB,ARI,MIN,6100
Ladd McConkey,WR,LAC,ATL,6100
Khalil Shakir,WR,BUF,SF,6100
Najee Harris,RB,PIT,CIN,6000
Kirk Cousins,QB,ATL,LAC,6000
Brock Bowers,TE,LV,KC,6000
Chris Olave,WR,NO,LAR,6000
Kareem Hunt,RB,KC,LV,6000
Marvin Harrison,WR,ARI,MIN,6000
Sam Darnold,QB,MIN,ARI,5900
Tank Dell,WR,HOU,JAX,5900
Jerry Jeudy,WR,CLE,DEN,5900
Rhamondre Stevenson,RB,NE,IND,5900
Matthew Stafford,QB,LAR,NO,5800
Bucky Irving,RB,TB,CAR,5800
Trey McBride,TE,ARI,MIN,5800
DeVonta Smith,WR,PHI,BAL,5800
Calvin Ridley,WR,TEN,WAS,5700
Travis Etienne,RB,JAX,HOU,5700
Russell Wilson,QB,PIT,CIN,5700
Jameis Winston,QB,CLE,DEN,5700
Drake Maye,QB,NE,IND,5600
Darnell Mooney,WR,ATL,LAC,5600
Justin Herbert,QB,LAC,ATL,5600
Travis Kelce,TE,KC,LV,5600
Austin Ekeler,RB,WAS,TEN,5600
Brian Thomas,WR,JAX,HOU,5500
Jaylen Warren,RB,PIT,CIN,5500
DeAndre Hopkins,WR,KC,LV,5500
Geno Smith,QB,SEA,NYJ,5500
Anthony Richardson,QB,IND,NE,5500
Jeremy McNichols,RB,WAS,TEN,5400
Josh Downs,WR,IND,NE,5400
Trevor Lawrence,QB,JAX,HOU,5400
David Njoku,TE,CLE,DEN,5400
Jauan Jennings,WR,SF,BUF,5400
Aaron Rodgers,QB,NYJ,SEA,5300
Jordan Addison,WR,MIN,ARI,5300
Jakobi Meyers,WR,LV,KC,5300
Rachaad White,RB,TB,CAR,5300
Michael Pittman,WR,IND,NE,5200
Tank Bigsby,RB,JAX,HOU,5200
Amari Cooper,WR,BUF,SF,5200
Justin Fields,QB,PIT,CIN,5200
Joshua Dobbs,QB,SF,BUF,5200
Brandon Allen,QB,SF,BUF,5200
Xavier Legette,WR,CAR,TB,5100
Alexander Mattison,RB,LV,KC,5100
Cedric Tillman,WR,CLE,DEN,5100
Kenneth Gainwell,RB,PHI,BAL,5100
Derek Carr,QB,NO,LAR,5100
Taysom Hill,TE,NO,LAR,5000
Tyler Allgeier,RB,ATL,LAC,5000
Mason Rudolph,QB,TEN,WAS,5000
Will Levis,QB,TEN,WAS,5000
Braelon Allen,RB,NYJ,SEA,5000
Keon Coleman,WR,BUF,SF,5000
Quentin Johnston,WR,LAC,ATL,5000
Antonio Gibson,RB,NE,IND,4900
Mac Jones,QB,JAX,HOU,4900
Dalton Kincaid,TE,BUF,SF,4900
Xavier Worthy,WR,KC,LV,4900
Ray Davis,RB,BUF,SF,4900
Alec Pierce,WR,IND,NE,4900
Justice Hill,RB,BAL,PHI,4800
Aidan OConnell,QB,LV,KC,4800
Adam Thielen,WR,CAR,TB,4800
Desmond Ridder,QB,LV,KC,4800
Tyrod Taylor,QB,NYJ,SEA,4800
Elijah Moore,WR,CLE,DEN,4800
Evan Engram,TE,JAX,HOU,4800
Keaton Mitchell,RB,BAL,PHI,4800
Ameer Abdullah,RB,LV,KC,4800
Bryce Young,QB,CAR,TB,4700
Javonte Williams,RB,DEN,CLE,4700
DeMario Douglas,WR,NE,IND,4700
Ricky Pearsall,WR,SF,BUF,4700
Jonathon Brooks,RB,CAR,TB,4700
Andy Dalton,QB,CAR,TB,4700
Kyle Pitts,TE,ATL,LAC,4600
Allen Lazard,WR,NYJ,SEA,4600
Jacoby Brissett,QB,NE,IND,4600
Dameon Pierce,RB,HOU,JAX,4600
Davis Mills,QB,HOU,JAX,4600
Cade Otton,TE,TB,CAR,4500
Jordan Mason,RB,SF,BUF,4500
Tyler Lockett,WR,SEA,NYJ,4500
Josh Johnson,QB,BAL,PHI,4500
Cam Akers,RB,MIN,ARI,4500
Marquez Valdes-Scantling,WR,NO,LAR,4500
