player,position,team,opponent,salary
Josh Allen,QB,BUF,NE,8700
JaMarr Chase,WR,CIN,CLE,8500
Saquon Barkley,RB,PHI,WAS,8300
Justin Jefferson,WR,MIN,SEA,8200
Lamar Jackson,QB,BAL,PIT,8200
Nico Collins,WR,HOU,KC,8100
Bijan Robinson,RB,ATL,NYG,8100
Puka Nacua,WR,LAR,NYJ,8000
Derrick Henry,RB,BAL,PIT,8000
Amon-Ra St Brown,WR,DET,CHI,7900
AJ Brown,WR,PHI,WAS,7800
Jalen Hurts,QB,PHI,WAS,7800
Joe Mixon,RB,HOU,KC,7800
Chase Brown,RB,CIN,CLE,7700
Mike Evans,WR,TB,DAL,7600
Josh Jacobs,RB,GB,NO,7600
CeeDee Lamb,WR,DAL,TB,7500
Jahmyr Gibbs,RB,DET,CHI,7500
Joe Burrow,QB,CIN,CLE,7500
DeVon Achane,RB,MIA,SF,7400
Terry McLaurin,WR,WAS,PHI,7300
Alvin Kamara,RB,NO,GB,7300
Jayden Daniels,QB,WAS,PHI,7300
Kyren Williams,RB,LAR,NYJ,7200
James Conner,RB,ARI,CAR,7100
Davante Adams,WR,NYJ,LAR,7100
James Cook,RB,BUF,NE,7000
Tyreek Hill,WR,MIA,SF,6900
Jonathan Taylor,RB,IND,TEN,6900
Jared Goff,QB,DET,CHI,6800
Chuba Hubbard,RB,CAR,ARI,6800
Tee Higgins,WR,CIN,CLE,6800
Jerry Jeudy,WR,CLE,CIN,6700
Isaac Guerendo,RB,SF,MIA,6700
Baker Mayfield,QB,TB,DAL,6600
Garrett Wilson,WR,NYJ,LAR,6600
Tony Pollard,RB,TEN,IND,6600
George Pickens,WR,PIT,BAL,6600
Sam Darnold,QB,MIN,SEA,6500
Courtland Sutton,WR,DEN,LAC,6500
Cooper Kupp,WR,LAR,NYJ,6500
David Montgomery,RB,DET,CHI,6500
Brock Bowers,TE,LV,JAX,6500
Aaron Jones,RB,MIN,SEA,6400
Ladd McConkey,WR,LAC,DEN,6400
Drake London,WR,ATL,NYG,6400
Patrick Mahomes,QB,KC,HOU,6400
Bucky Irving,RB,TB,DAL,6400
Brock Purdy,QB,SF,MIA,6300
Brian Thomas,WR,JAX,LV,6300
Kenneth Walker,RB,SEA,MIN,6300
Rico Dowdle,RB,DAL,TB,6300
Jordan Love,QB,GB,NO,6200
Jordan Addison,WR,MIN,SEA,6200
Brian Robinson,RB,WAS,PHI,6200
Trey McBride,TE,ARI,CAR,6200
Bo Nix,QB,DEN,LAC,6100
Breece Hall,RB,NYJ,LAR,6100
Kyler Murray,QB,ARI,CAR,6100
Malik Nabers,WR,NYG,ATL,6100
CJ Stroud,QB,HOU,KC,6000
Tua Tagovailoa,QB,MIA,SF,6000
Jaxon Smith-Njigba,WR,SEA,MIN,6000
Zach Charbonnet,RB,SEA,MIN,6000
Jayden Reed,WR,GB,NO,6000
Isiah Pacheco,RB,KC,HOU,6000
George Kittle,TE,SF,MIA,6000
Khalil Shakir,WR,BUF,NE,5900
Rhamondre Stevenson,RB,NE,BUF,5900
Rachaad White,RB,TB,DAL,5900
Zay Flowers,WR,BAL,PIT,5900
Jauan Jennings,WR,SF,MIA,5900
Matthew Stafford,QB,LAR,NYJ,5900
Jakobi Meyers,WR,LV,JAX,5800
Drake Maye,QB,NE,BUF,5800
Travis Etienne,RB,JAX,LV,5800
JK Dobbins,RB,LAC,DEN,5800
Justin Herbert,QB,LAC,DEN,5800
DeVonta Smith,WR,PHI,WAS,5800
Calvin Ridley,WR,TEN,IND,5700
DJ Moore,WR,CHI,DET,5700
Najee Harris,RB,PIT,BAL,5700
Sincere McCormick,RB,LV,JAX,5700
Russell Wilson,QB,PIT,BAL,5700
Geno Smith,QB,SEA,MIN,5700
Adam Thielen,WR,CAR,ARI,5600
Travis Kelce,TE,KC,HOU,5600
Jaylen Waddle,WR,MIA,SF,5600
Jerome Ford,RB,CLE,CIN,5600
Aaron Rodgers,QB,NYJ,LAR,5600
DAndre Swift,RB,CHI,DET,5600
Tyrone Tracy,RB,NYG,ATL,5500
DK Metcalf,WR,SEA,MIN,5500
Kirk Cousins,QB,ATL,NYG,5500
Jameson Williams,WR,DET,CHI,5500
Caleb Williams,QB,CHI,DET,5500
Tyler Allgeier,RB,ATL,NYG,5500
Jonnu Smith,TE,MIA,SF,5500
Anthony Richardson,QB,IND,TEN,5400
Marvin Harrison,WR,ARI,CAR,5400
Darnell Mooney,WR,ATL,NYG,5400
Cam Akers,RB,MIN,SEA,5400
Carson Wentz,QB,KC,HOU,5400
Austin Ekeler,RB,WAS,PHI,5400
Tank Bigsby,RB,JAX,LV,5300
DeAndre Hopkins,WR,KC,HOU,5300
Quentin Johnston,WR,LAC,DEN,5300
Jameis Winston,QB,CLE,CIN,5300
Keenan Allen,WR,CHI,DET,5300
Bryce Young,QB,CAR,ARI,5300
Kendre Miller,RB,NO,GB,5300
Antonio Gibson,RB,NE,BUF,5300
Deebo Samuel,WR,SF,MIA,5200
Ty Johnson,RB,BUF,NE,5200
Patrick Taylor,RB,SF,MIA,5200
Jaylen Warren,RB,PIT,BAL,5200
Mac Jones,QB,JAX,LV,5200
David Njoku,TE,CLE,CIN,5200
Chris Olave,WR,NO,GB,5200
Sam Howell,QB,SEA,MIN,5200
Cooper Rush,QB,DAL,TB,5200
Amari Cooper,WR,BUF,NE,5200
Braelon Allen,RB,NYJ,LAR,5100
Alexander Mattison,RB,LV,JAX,5100
Rome Odunze,WR,CHI,DET,5100
Desmond Ridder,QB,LV,JAX,5100
Tank Dell,WR,HOU,KC,5100
Aidan OConnell,QB,LV,JAX,5100
Romeo Doubs,WR,GB,NO,5100
Gus Edwards,RB,LAC,DEN,5100
Derek Carr,QB,NO,GB,5100
Travis Homer,RB,CHI,DET,5000
Isaiah Davis,RB,NYJ,LAR,5000
Xavier Worthy,WR,KC,HOU,5000
Michael Pittman,WR,IND,TEN,5000
Kareem Hunt,RB,KC,HOU,5000
Mason Rudolph,QB,TEN,IND,5000
Will Levis,QB,TEN,IND,5000
Christian Watson,WR,GB,NO,5000
Joe Flacco,QB,IND,TEN,4900
Raheem Mostert,RB,MIA,SF,4900
Drew Lock,QB,NYG,ATL,4900
Javonte Williams,RB,DEN,LAC,4900
Rashod Bateman,WR,BAL,PIT,4900
Josh Downs,WR,IND,TEN,4900
Cedric Tillman,WR,CLE,CIN,4900
Tyjae Spears,RB,TEN,IND,4900
Alec Pierce,WR,IND,TEN,4800
Ezekiel Elliott,RB,DAL,TB,4800
Roschon Johnson,RB,CHI,DET,4800
TJ Hockenson,TE,MIN,SEA,4800
Justice Hill,RB,BAL,PIT,4800
Kimani Vidal,RB,LAC,DEN,4800
Elijah Moore,WR,CLE,CIN,4800
Kenneth Gainwell,RB,PHI,WAS,4800
Dorian Thompson-Robinson,QB,CLE,CIN,4800
Justin Fields,QB,PIT,BAL,4700
Nick Westbrook-Ikhine,WR,TEN,IND,4700
Sam LaPorta,TE,DET,CHI,4700
Trey Lance,QB,DAL,TB,4700
Keon Coleman,WR,BUF,NE,4700
