player,position,team,opponent,salary
Puka Nacua,WR,LAR,SEA,9000
Christian McCaffrey,RB,SF,IND,8900
DeVon Achane,RB,MIA,CIN,8800
Bijan Robinson,RB,ATL,ARI,8700
JaMarr Chase,WR,CIN,MIA,8600
Jahmyr Gibbs,RB,DET,PIT,8500
Jaxon Smith-Njigba,WR,SEA,LAR,8500
Amon-Ra St Brown,WR,DET,PIT,8400
Jonathan Taylor,RB,IND,SF,8000
CeeDee Lamb,WR,DAL,LAC,7800
James Cook,RB,BUF,CLE,7700
Trey McBride,TE,ARI,ATL,7600
Nico Collins,WR,HOU,LV,7500
Rashee Rice,WR,KC,TEN,7400
George Pickens,WR,DAL,LAC,7300
Josh Jacobs,RB,GB,CHI,7300
Saquon Barkley,RB,PHI,WAS,7200
Josh Allen,QB,BUF,CLE,7200
Derrick Henry,RB,BAL,NE,7100
Davante Adams,WR,LAR,SEA,7000
Matthew Stafford,QB,LAR,SEA,7000
Travis Etienne,RB,JAX,DEN,7000
Drake London,WR,ATL,ARI,7000
Chase Brown,RB,CIN,MIA,6900
Michael Wilson,WR,ARI,ATL,6900
Jalen Hurts,QB,PHI,WAS,6900
Jaylen Waddle,WR,MIA,CIN,6800
Drake Maye,QB,NE,BAL,6800
Kyren Williams,RB,LAR,SEA,6800
AJ Brown,WR,PHI,WAS,6700
Dak Prescott,QB,DAL,LAC,6700
Bucky Irving,RB,TB,CAR,6700
Tee Higgins,WR,CIN,MIA,6600
Woody Marks,RB,HOU,LV,6600
Lamar Jackson,QB,BAL,NE,6600
Joe Burrow,QB,CIN,MIA,6500
Chris Olave,WR,NO,NYJ,6500
TreVeyon Henderson,RB,NE,BAL,6500
Jameson Williams,WR,DET,PIT,6400
Javonte Williams,RB,DAL,LAC,6400
Jared Goff,QB,DET,PIT,6300
Mike Evans,WR,TB,CAR,6300
Rico Dowdle,RB,CAR,TB,6300
WanDale Robinson,WR,NYG,MIN,6200
Brock Purdy,QB,SF,IND,6200
RJ Harvey,RB,DEN,JAX,6200
Jaylen Warren,RB,PIT,DET,6100
Bo Nix,QB,DEN,JAX,6100
Ladd McConkey,WR,LAC,DAL,6100
Justin Herbert,QB,LAC,DAL,6000
Quinshon Judkins,RB,CLE,BUF,6000
Zay Flowers,WR,BAL,NE,6000
Jayden Daniels,QB,WAS,PHI,6000
Justin Jefferson,WR,MIN,NYG,6000
Breece Hall,RB,NYJ,NO,5900
Emeka Egbuka,WR,TB,CAR,5900
DAndre Swift,RB,CHI,GB,5900
Terry McLaurin,WR,WAS,PHI,5900
Trevor Lawrence,QB,JAX,DEN,5900
Omarion Hampton,RB,LAC,DAL,5800
Tetairoa McMillan,WR,CAR,TB,5800
Rome Odunze,WR,CHI,GB,5800
Jaxson Dart,QB,NYG,MIN,5800
Tyrone Tracy,RB,NYG,MIN,5700
Baker Mayfield,QB,TB,CAR,5700
Jordan Love,QB,GB,CHI,5700
DeVonta Smith,WR,PHI,WAS,5700
Courtland Sutton,WR,DEN,JAX,5700
Ashton Jeanty,RB,LV,HOU,5600
Marvin Harrison,WR,ARI,ATL,5600
Stefon Diggs,WR,NE,BAL,5600
Sam Darnold,QB,SEA,LAR,5600
Brock Bowers,TE,LV,HOU,5600
Devin Neal,RB,NO,NYJ,5500
George Kittle,TE,SF,IND,5500
Alvin Kamara,RB,NO,NYJ,5500
CJ Stroud,QB,HOU,LV,5500
Caleb Williams,QB,CHI,GB,5500
Jakobi Meyers,WR,JAX,DEN,5500
Garrett Wilson,WR,NYJ,NO,5500
Chris Rodriguez,RB,WAS,PHI,5400
Brian Thomas,WR,JAX,DEN,5400
Michael Carter,RB,ARI,ATL,5400
Tony Pollard,RB,TEN,KC,5400
Jauan Jennings,WR,SF,IND,5400
Tyler Shough,QB,NO,NYJ,5400
DK Metcalf,WR,PIT,DET,5400
Chris Godwin,WR,TB,CAR,5300
Kenneth Walker,RB,SEA,LAR,5300
Jacoby Brissett,QB,ARI,ATL,5300
DJ Moore,WR,CHI,GB,5300
Kareem Hunt,RB,KC,TEN,5300
Kimani Vidal,RB,LAC,DAL,5300
Tua Tagovailoa,QB,MIA,CIN,5200
Jacory Croskey-Merritt,RB,WAS,PHI,5200
Troy Franklin,WR,DEN,JAX,5200
Jordan Mason,RB,MIN,NYG,5200
Aaron Jones,RB,MIN,NYG,5200
Christian Watson,WR,GB,CHI,5200
Nick Chubb,RB,HOU,LV,5100
Kenneth Gainwell,RB,PIT,DET,5100
Khalil Shakir,WR,BUF,CLE,5100
Bryce Young,QB,CAR,TB,5100
Deebo Samuel,WR,WAS,PHI,5100
Jawhar Jordan,RB,HOU,LV,5000
Audric Estime,RB,NO,NYJ,5000
