player,position,team,opponent,salary
Puka Nacua,WR,LAR,BAL,8700
Jonathan Taylor,RB,IND,ARI,8500
Christian McCaffrey,RB,SF,TB,8400
Bijan Robinson,RB,ATL,BUF,8200
Jahmyr Gibbs,RB,DET,KC,8000
Amon-Ra St Brown,WR,DET,KC,7900
DeVon Achane,RB,MIA,LAC,7800
Josh Allen,QB,BUF,ATL,7700
JaMarr Chase,WR,CIN,GB,7700
Saquon Barkley,RB,PHI,NYG,7600
Jaxon Smith-Njigba,WR,SEA,JAX,7600
CeeDee Lamb,WR,DAL,CAR,7500
Josh Jacobs,RB,GB,CIN,7300
Emeka Egbuka,WR,TB,SF,7200
James Cook,RB,BUF,ATL,7100
Bucky Irving,RB,TB,SF,7000
Lamar Jackson,QB,BAL,LAR,7000
Jayden Daniels,QB,WAS,CHI,6900
Ashton Jeanty,RB,LV,TEN,6900
George Pickens,WR,DAL,CAR,6800
Davante Adams,WR,LAR,BAL,6700
Jalen Hurts,QB,PHI,NYG,6700
Mike Evans,WR,TB,SF,6600
Baker Mayfield,QB,TB,SF,6600
Rome Odunze,WR,CHI,WAS,6500
Patrick Mahomes,QB,KC,DET,6500
Omarion Hampton,RB,LAC,MIA,6500
Dak Prescott,QB,DAL,CAR,6500
Deebo Samuel,WR,WAS,CHI,6400
Javonte Williams,RB,DAL,CAR,6400
Matthew Stafford,QB,LAR,BAL,6400
Cam Skattebo,RB,NYG,PHI,6300
Garrett Wilson,WR,NYJ,DEN,6300
Jared Goff,QB,DET,KC,6300
Justin Herbert,QB,LAC,MIA,6300
Kyren Williams,RB,LAR,BAL,6300
Derrick Henry,RB,BAL,LAR,6200
Drake London,WR,ATL,BUF,6200
Jordan Love,QB,GB,CIN,6200
Brian Thomas,WR,JAX,SEA,6200
Kenneth Walker,RB,SEA,JAX,6100
Courtland Sutton,WR,DEN,NYJ,6100
Brock Purdy,QB,SF,TB,6100
Jaylen Waddle,WR,MIA,LAC,6100
Tetairoa McMillan,WR,CAR,DAL,6000
Breece Hall,RB,NYJ,DEN,6000
Xavier Worthy,WR,KC,DET,6000
Rachaad White,RB,TB,SF,6000
Daniel Jones,QB,IND,ARI,6000
Travis Etienne,RB,JAX,SEA,5900
Zay Flowers,WR,BAL,LAR,5900
Drake Maye,QB,NE,NO,5900
Quinshon Judkins,RB,CLE,PIT,5900
Quentin Johnston,WR,LAC,MIA,5900
Chuba Hubbard,RB,CAR,DAL,5800
Terry McLaurin,WR,WAS,CHI,5800
Bo Nix,QB,DEN,NYJ,5800
Stefon Diggs,WR,NE,NO,5800
Jakobi Meyers,WR,LV,TEN,5800
Rico Dowdle,RB,CAR,DAL,5800
Tee Higgins,WR,CIN,GB,5700
Ladd McConkey,WR,LAC,MIA,5700
Kyler Murray,QB,ARI,IND,5700
AJ Brown,WR,PHI,NYG,5700
Alvin Kamara,RB,NO,NE,5700
JK Dobbins,RB,DEN,NYJ,5700
Mac Jones,QB,SF,TB,5600
Jacory Croskey-Merritt,RB,WAS,CHI,5600
Keenan Allen,WR,LAC,MIA,5600
Caleb Williams,QB,CHI,WAS,5600
DeVonta Smith,WR,PHI,NYG,5600
Chase Brown,RB,CIN,GB,5600
Chris Godwin,WR,TB,SF,5600
Justin Fields,QB,NYJ,DEN,5500
Tony Pollard,RB,TEN,LV,5500
DK Metcalf,WR,PIT,CLE,5500
DJ Moore,WR,CHI,WAS,5500
Tua Tagovailoa,QB,MIA,LAC,5500
DAndre Swift,RB,CHI,WAS,5500
Trey McBride,TE,ARI,IND,5500
David Montgomery,RB,DET,KC,5500
Sam Darnold,QB,SEA,JAX,5400
Michael Pittman,WR,IND,ARI,5400
Ricky Pearsall,WR,SF,TB,5400
Kenneth Gainwell,RB,PIT,CLE,5400
Jaylen Warren,RB,PIT,CLE,5400
Michael Carter,RB,ARI,IND,5300
Keon Coleman,WR,BUF,ATL,5300
Jake Ferguson,TE,DAL,CAR,5300
Rhamondre Stevenson,RB,NE,NO,5300
Aaron Rodgers,QB,PIT,CLE,5300
Marvin Harrison,WR,ARI,IND,5300
Khalil Shakir,WR,BUF,ATL,5200
TreVeyon Henderson,RB,NE,NO,5200
Romeo Doubs,WR,GB,CIN,5200
Geno Smith,QB,LV,TEN,5200
Jaxson Dart,QB,NYG,PHI,5200
Zach Charbonnet,RB,SEA,JAX,5100
Trevor Lawrence,QB,JAX,SEA,5100
Isiah Pacheco,RB,KC,DET,5100
WanDale Robinson,WR,NYG,PHI,5100
Chris Olave,WR,NO,NE,5100
Will Shipley,RB,PHI,NYG,5100
Brock Bowers,TE,LV,TEN,5100
Hassan Haskins,RB,LAC,MIA,5000
Michael Penix,QB,ATL,BUF,5000
Tyrone Tracy,RB,NYG,PHI,5000
Matthew Golden,WR,GB,CIN,5000
Kendrick Bourne,WR,SF,TB,5000
Kimani Vidal,RB,LAC,MIA,5000
Jake Browning,QB,CIN,GB,4900
Calvin Ridley,WR,TEN,LV,4900
Bhayshul Tuten,RB,JAX,SEA,4900
Brandon Aiyuk,WR,SF,TB,4900
Marcus Mariota,QB,WAS,CHI,4900
Tyler Warren,TE,IND,ARI,4900
Jauan Jennings,WR,SF,TB,4800
Emari Demercado,RB,ARI,IND,4800
Bryce Young,QB,CAR,DAL,4800
Hollywood Brown,WR,KC,DET,4800
Blake Corum,RB,LAR,BAL,4800
Tre Tucker,WR,LV,TEN,4800
Kendre Miller,RB,NO,NE,4700
Justice Hill,RB,BAL,LAR,4700
Spencer Rattler,QB,NO,NE,4700
RJ Harvey,RB,DEN,NYJ,4700
Darnell Mooney,WR,ATL,BUF,4700
Tucker Kraft,TE,GB,CIN,4700
Tyler Allgeier,RB,ATL,BUF,4700
Travis Hunter,WR,JAX,SEA,4700
Jameson Williams,WR,DET,KC,4700
Russell Wilson,QB,NYG,PHI,4700
Kareem Hunt,RB,KC,DET,4600
AJ Dillon,RB,PHI,NYG,4600
Rashid Shaheed,WR,NO,NE,4600
Cam Ward,QB,TEN,LV,4600
Ollie Gordon,RB,MIA,LAC,4600
Sam LaPorta,TE,DET,KC,4600
Cooper Kupp,WR,SEA,JAX,4600
Christian Watson,WR,GB,CIN,4500
Cooper Rush,QB,BAL,LAR,4500
Jerry Jeudy,WR,CLE,PIT,4500
Gardner Minshew,QB,KC,DET,4500
Isaiah Davis,RB,NYJ,DEN,4500
Sean Tucker,RB,TB,SF,4500
Kirk Cousins,QB,ATL,BUF,4500
Tyrod Taylor,QB,NYJ,DEN,4500
George Kittle,TE,SF,TB,4500
Luther Burden,WR,CHI,WAS,4500
Tyjae Spears,RB,TEN,LV,4500
Alec Pierce,WR,IND,ARI,4400
Dalton Kincaid,TE,BUF,ATL,4400
Brian Robinson,RB,SF,TB,4400
Kaleb Johnson,RB,PIT,CLE,4400
Dillon Gabriel,QB,CLE,PIT,4400
Rashod Bateman,WR,BAL,LAR,4400
Josh Downs,WR,IND,ARI,4300
Trevor Etienne,RB,CAR,DAL,4300
Andy Dalton,QB,CAR,DAL,4300
Darius Slayton,WR,NYG,PHI,4300
Hunter Henry,TE,NE,NO,4300
Devin Singletary,RB,NYG,PHI,4300
Jacoby Brissett,QB,ARI,IND,4200
Jalen Coker,WR,CAR,DAL,4200
Miles Sanders,RB,DAL,CAR,4200
Raheem Mostert,RB,LV,TEN,4200
Dyami Brown,WR,JAX,SEA,4200
DeAndre Hopkins,WR,BAL,LAR,4100
Emanuel Wilson,RB,GB,CIN,4100
Tank Bigsby,RB,PHI,NYG,4100
Jeremy McNichols,RB,WAS,CHI,4100
Jerome Ford,RB,CLE,PIT,4100
Troy Franklin,WR,DEN,NYJ,4100
Ray Davis,RB,BUF,ATL,4100
Tory Horton,WR,SEA,JAX,4100
Travis Kelce,TE,KC,DET,4100
Nick Mullens,QB,JAX,SEA,4100
Brashard Smith,RB,KC,DET,4100
Jalen McMillan,WR,TB,SF,4000
Jalen Milroe,QB,SEA,JAX,4000
Andrew Beck,RB,NYJ,DEN,4000
Mitchell Trubisky,QB,BUF,ATL,4000
Malik Willis,QB,GB,CIN,4000
Quinn Ewers,QB,MIA,LAC,4000
Eric Gray,RB,NYG,PHI,4000
Kyle Monangai,RB,CHI,WAS,4000
Skylar Thompson,QB,PIT,CLE,4000
DeeJay Dallas,RB,CAR,DAL,4000
Devin Neal,RB,NO,NE,4000
Josh Williams,RB,TB,SF,4000
DJ Giddens,RB,IND,ARI,4000
Jarrett Stidham,QB,DEN,NYJ,4000
Craig Reynolds,RB,DET,KC,4000
Will Levis,QB,TEN,LV,4000
Kenny McIntosh,RB,SEA,JAX,4000
Michael Burton,RB,DEN,NYJ,4000
Nathan Carter,RB,ATL,BUF,4000
Samaje Perine,RB,CIN,GB,4000
Alexander Mattison,RB,MIA,LAC,4000
Rasheen Ali,RB,BAL,LAR,4000
Chris Rodriguez,RB,WAS,CHI,4000
Raheim Sanders,RB,CLE,PIT,4000
Hunter Luepke,RB,DAL,CAR,4000
Brock Lampe,RB,NE,NO,4000
Kyle Juszczyk,RB,SF,TB,4000
Drew Lock,QB,SEA,JAX,4000
Kene Nwangwu,RB,NYJ,DEN,4000
Tyquan Thornton,WR,KC,DET,4000
Kalel Mullings,RB,TEN,LV,4000
Zach Wilson,QB,MIA,LAC,4000
Ben VanSumeren,RB,PHI,NYG,4000
Austin Ekeler,RB,WAS,CHI,4000
Will Howard,QB,PIT,CLE,4000
Joe Milton,QB,DAL,CAR,4000
Tommy DeVito,QB,NE,NO,4000
Kurtis Rourke,QB,SF,TB,4000
James Conner,RB,ARI,IND,4000
Keaontay Ingram,RB,KC,DET,4000
Brandon Allen,QB,TEN,LV,4000
George Holani,RB,SEA,JAX,4000
Adam Prentice,RB,DEN,NYJ,4000
Reggie Gilliam,RB,BUF,ATL,4000
MarShawn Lloyd,RB,GB,CIN,4000
Jaylen Wright,RB,MIA,LAC,4000
Stetson Bennett,QB,LAR,BAL,4000
Deion Hankins,RB,CHI,WAS,4000
Dylan Sampson,RB,CLE,PIT,4000
Phil Mafah,RB,DAL,CAR,4000
Deneric Prince,RB,NE,NO,4000
Patrick Taylor,RB,SF,TB,4000
Salvon Ahmed,RB,IND,ARI,4000
Khalil Herbert,RB,NYJ,DEN,4000
Kye Robichaux,RB,DET,KC,4000
Julius Chestnut,RB,TEN,LV,4000
Trey Lance,QB,LAC,MIA,4000
Jameis Winston,QB,NYG,PHI,4000
Case Keenum,QB,CHI,WAS,4000
Mason Rudolph,QB,PIT,CLE,4000
Jarquez Hunter,RB,LAR,BAL,4000
Joshua Dobbs,QB,NE,NO,4000
Adrian Martinez,QB,SF,TB,4000
Trey Benson,RB,ARI,IND,4000
Elijah Mitchell,RB,KC,DET,4000
Aidan OConnell,QB,LV,TEN,4000
Cody Schrader,RB,JAX,SEA,4000
Jaleel McLaughlin,RB,DEN,NYJ,4000
