player,position,team,opponent,salary
Justin Jefferson,WR,MIN,LAR,8800
CeeDee Lamb,WR,DAL,SF,8600
JaMarr Chase,WR,CIN,PHI,8500
Amon-Ra St Brown,WR,DET,TEN,8400
Saquon Barkley,RB,PHI,CIN,8300
AJ Brown,WR,PHI,CIN,8200
Kyren Williams,RB,LAR,MIN,8200
Derrick Henry,RB,BAL,CLE,8100
Christian McCaffrey,RB,SF,DAL,8000
Cooper Kupp,WR,LAR,MIN,8000
Lamar Jackson,QB,BAL,CLE,8000
Nico Collins,WR,HOU,IND,7900
Jordan Mason,RB,SF,DAL,7900
Kenneth Walker,RB,SEA,BUF,7800
Josh Allen,QB,BUF,SEA,7800
Joe Mixon,RB,HOU,IND,7700
Alvin Kamara,RB,NO,LAC,7600
Chris Godwin,WR,TB,ATL,7600
Jalen Hurts,QB,PHI,CIN,7500
Stefon Diggs,WR,HOU,IND,7500
Jonathan Taylor,RB,IND,HOU,7500
Jahmyr Gibbs,RB,DET,TEN,7400
Jayden Daniels,QB,WAS,CHI,7300
Mike Evans,WR,TB,ATL,7300
Breece Hall,RB,NYJ,NE,7300
Drake London,WR,ATL,TB,7200
Bijan Robinson,RB,ATL,TB,7200
Davante Adams,WR,NYJ,NE,7100
Jordan Love,QB,GB,JAX,7100
Tyreek Hill,WR,MIA,ARI,7000
Malik Nabers,WR,NYG,PIT,7000
Joe Burrow,QB,CIN,PHI,7000
James Cook,RB,BUF,SEA,7000
Terry McLaurin,WR,WAS,CHI,6900
CJ Stroud,QB,HOU,IND,6900
Deebo Samuel,WR,SF,DAL,6900
JK Dobbins,RB,LAC,NO,6900
Marvin Harrison,WR,ARI,MIA,6800
Zay Flowers,WR,BAL,CLE,6800
Isiah Pacheco,RB,KC,LV,6800
Patrick Mahomes,QB,KC,LV,6800
Garrett Wilson,WR,NYJ,NE,6700
Jayden Reed,WR,GB,JAX,6700
Puka Nacua,WR,LAR,MIN,6700
Chuba Hubbard,RB,CAR,DEN,6700
Baker Mayfield,QB,TB,ATL,6700
Jared Goff,QB,DET,TEN,6600
Aaron Jones,RB,MIN,LAR,6600
DeVonta Smith,WR,PHI,CIN,6600
DJ Moore,WR,CHI,WAS,6600
Josh Jacobs,RB,GB,JAX,6600
James Conner,RB,ARI,MIA,6500
Tony Pollard,RB,TEN,DET,6500
Dak Prescott,QB,DAL,SF,6500
Tee Higgins,WR,CIN,PHI,6500
DK Metcalf,WR,SEA,BUF,6500
David Montgomery,RB,DET,TEN,6400
Chris Olave,WR,NO,LAC,6400
Brian Robinson,RB,WAS,CHI,6400
Kyler Murray,QB,ARI,MIA,6400
Brian Thomas,WR,JAX,GB,6400
Brandon Aiyuk,WR,SF,DAL,6300
Tank Dell,WR,HOU,IND,6300
Brock Purdy,QB,SF,DAL,6300
Kareem Hunt,RB,KC,LV,6300
Diontae Johnson,WR,CAR,DEN,6300
George Pickens,WR,PIT,NYG,6300
Tank Bigsby,RB,JAX,GB,6300
Kirk Cousins,QB,ATL,TB,6200
DeVon Achane,RB,MIA,ARI,6200
Sam Darnold,QB,MIN,LAR,6200
Xavier Worthy,WR,KC,LV,6200
DAndre Swift,RB,CHI,WAS,6200
Jaxon Smith-Njigba,WR,SEA,BUF,6100
Tua Tagovailoa,QB,MIA,ARI,6100
Najee Harris,RB,PIT,NYG,6100
Nick Chubb,RB,CLE,BAL,6100
Isaac Guerendo,RB,SF,DAL,6100
Brock Bowers,TE,LV,KC,6100
Travis Kelce,TE,KC,LV,6000
Michael Pittman,WR,IND,HOU,6000
Javonte Williams,RB,DEN,CAR,6000
Amari Cooper,WR,BUF,SEA,6000
Justin Fields,QB,PIT,NYG,6000
Caleb Williams,QB,CHI,WAS,6000
Rico Dowdle,RB,DAL,SF,6000
