player,position,team,opponent,salary
JaMarr Chase,WR,CIN,LAC,8800
Justin Jefferson,WR,MIN,TEN,8600
Christian McCaffrey,RB,SF,SEA,8300
CeeDee Lamb,WR,DAL,HOU,8300
Alvin Kamara,RB,NO,CLE,8200
Saquon Barkley,RB,PHI,WAS,8200
Derrick Henry,RB,BAL,PIT,8100
AJ Brown,WR,PHI,WAS,8100
Amon-Ra St Brown,WR,DET,JAX,8000
Lamar Jackson,QB,BAL,PIT,8000
Jalen Hurts,QB,PHI,WAS,7900
Nico Collins,WR,HOU,DAL,7900
Kyren Williams,RB,LAR,NE,7900
Josh Allen,QB,BUF,KC,7800
Bijan Robinson,RB,ATL,DEN,7800
Joe Mixon,RB,HOU,DAL,7700
Jonathan Taylor,RB,IND,NYJ,7600
Cooper Kupp,WR,LAR,NE,7500
Jayden Daniels,QB,WAS,PHI,7500
Breece Hall,RB,NYJ,IND,7500
Tyreek Hill,WR,MIA,LV,7400
Puka Nacua,WR,LAR,NE,7300
Jahmyr Gibbs,RB,DET,JAX,7300
DeVon Achane,RB,MIA,LV,7200
Davante Adams,WR,NYJ,IND,7200
Joe Burrow,QB,CIN,LAC,7200
Garrett Wilson,WR,NYJ,IND,7100
Josh Jacobs,RB,GB,CHI,7100
Terry McLaurin,WR,WAS,PHI,7000
JK Dobbins,RB,LAC,CIN,7000
Kenneth Walker,RB,SEA,SF,7000
George Pickens,WR,PIT,BAL,7000
Jordan Love,QB,GB,CHI,7000
Tank Dell,WR,HOU,DAL,6900
Aaron Jones,RB,MIN,TEN,6900
Zay Flowers,WR,BAL,PIT,6900
Deebo Samuel,WR,SF,SEA,6800
DeVonta Smith,WR,PHI,WAS,6800
James Cook,RB,BUF,KC,6800
Patrick Mahomes,QB,KC,BUF,6800
Kareem Hunt,RB,KC,BUF,6700
Drake London,WR,ATL,DEN,6700
CJ Stroud,QB,HOU,DAL,6700
Isiah Pacheco,RB,KC,BUF,6700
Brock Purdy,QB,SF,SEA,6600
Darnell Mooney,WR,ATL,DEN,6600
DAndre Swift,RB,CHI,GB,6600
Jaxon Smith-Njigba,WR,SEA,SF,6500
DK Metcalf,WR,SEA,SF,6500
Kirk Cousins,QB,ATL,DEN,6500
David Montgomery,RB,DET,JAX,6500
Chase Brown,RB,CIN,LAC,6500
Josh Downs,WR,IND,NYJ,6400
Tony Pollard,RB,TEN,MIN,6400
Jayden Reed,WR,GB,CHI,6400
Tee Higgins,WR,CIN,LAC,6300
Brian Robinson,RB,WAS,PHI,6300
Travis Kelce,TE,KC,BUF,6300
Khalil Shakir,WR,BUF,KC,6300
Travis Etienne,RB,JAX,DET,6300
Jared Goff,QB,DET,JAX,6300
Ladd McConkey,WR,LAC,CIN,6200
Bo Nix,QB,DEN,ATL,6200
Calvin Ridley,WR,TEN,MIN,6200
Najee Harris,RB,PIT,BAL,6200
Sam Darnold,QB,MIN,TEN,6100
Chris Olave,WR,NO,CLE,6100
Rhamondre Stevenson,RB,NE,LAR,6100
Brian Thomas,WR,JAX,DET,6100
Austin Ekeler,RB,WAS,PHI,6100
George Kittle,TE,SF,SEA,6000
Nick Chubb,RB,CLE,NO,6000
Rico Dowdle,RB,DAL,HOU,6000
Tua Tagovailoa,QB,MIA,LV,6000
Dak Prescott,QB,DAL,HOU,6000
DJ Moore,WR,CHI,GB,6000
Michael Pittman,WR,IND,NYJ,6000
Russell Wilson,QB,PIT,BAL,5900
Jaylen Waddle,WR,MIA,LV,5900
Jordan Mason,RB,SF,SEA,5900
Courtland Sutton,WR,DEN,ATL,5900
Raheem Mostert,RB,MIA,LV,5800
Jameson Williams,WR,DET,JAX,5800
Tyler Lockett,WR,SEA,SF,5800
Matthew Stafford,QB,LAR,NE,5800
Brock Bowers,TE,LV,MIA,5800
Geno Smith,QB,SEA,SF,5700
Javonte Williams,RB,DEN,ATL,5700
Amari Cooper,WR,BUF,KC,5700
DeAndre Hopkins,WR,KC,BUF,5700
Drake Maye,QB,NE,LAR,5600
Jakobi Meyers,WR,LV,MIA,5600
Tank Bigsby,RB,JAX,DET,5600
Xavier Worthy,WR,KC,BUF,5600
Justin Fields,QB,PIT,BAL,5600
Aaron Rodgers,QB,NYJ,IND,5500
Alexander Mattison,RB,LV,MIA,5500
Zack Moss,RB,CIN,LAC,5500
Romeo Doubs,WR,GB,CHI,5500
Keon Coleman,WR,BUF,KC,5500
David Njoku,TE,CLE,NO,5500
Braelon Allen,RB,NYJ,IND,5500
Jameis Winston,QB,CLE,NO,5500
Blake Corum,RB,LAR,NE,5400
Trevor Lawrence,QB,JAX,DET,5400
Alec Pierce,WR,IND,NYJ,5400
Caleb Williams,QB,CHI,GB,5400
Ray Davis,RB,BUF,KC,5400
Jerry Jeudy,WR,CLE,NO,5400
Jaylen Warren,RB,PIT,BAL,5300
Joe Flacco,QB,IND,NYJ,5300
Cedric Tillman,WR,CLE,NO,5300
Justin Herbert,QB,LAC,CIN,5300
Jauan Jennings,WR,SF,SEA,5300
Tyler Allgeier,RB,ATL,DEN,5300
Anthony Richardson,QB,IND,NYJ,5300
Derek Carr,QB,NO,CLE,5200
Evan Engram,TE,JAX,DET,5200
Keenan Allen,WR,CHI,GB,5200
Christian Watson,WR,GB,CHI,5200
Justice Hill,RB,BAL,PIT,5200
Jordan Addison,WR,MIN,TEN,5100
Mason Rudolph,QB,TEN,MIN,5100
Will Levis,QB,TEN,MIN,5100
Demarcus Robinson,WR,LAR,NE,5100
Zach Charbonnet,RB,SEA,SF,5100
Dalton Kincaid,TE,BUF,KC,5000
Rome Odunze,WR,CHI,GB,5000
Clyde Edwards-Helaire,RB,KC,BUF,5000
Dontayvion Wicks,WR,GB,CHI,5000
Isaac Guerendo,RB,SF,SEA,5000
Malik Willis,QB,GB,CHI,5000
Brandin Cooks,WR,DAL,HOU,5000
Desmond Ridder,QB,LV,MIA,5000
Cooper Rush,QB,DAL,HOU,5000
Gardner Minshew,QB,LV,MIA,5000
Jaylen Wright,RB,MIA,LV,4900
Jake Ferguson,TE,DAL,HOU,4900
Mac Jones,QB,JAX,DET,4900
Tyler Goodson,RB,IND,NYJ,4900
Quentin Johnston,WR,LAC,CIN,4900
Ricky Pearsall,WR,SF,SEA,4900
Jeremy McNichols,RB,WAS,PHI,4800
Diontae Johnson,WR,BAL,PIT,4800
Allen Lazard,WR,NYJ,IND,4800
Antonio Gibson,RB,NE,LAR,4800
Mitchell Trubisky,QB,BUF,KC,4800
Jimmy Garoppolo,QB,LAR,NE,4800
Carson Wentz,QB,KC,BUF,4800
MarShawn Lloyd,RB,GB,CHI,4800
Kyle Pitts,TE,ATL,DEN,4800
Jaleel McLaughlin,RB,DEN,ATL,4700
Gabe Davis,WR,JAX,DET,4700
TJ Hockenson,TE,MIN,TEN,4700
Davis Mills,QB,HOU,DAL,4700
Tyjae Spears,RB,TEN,MIN,4700
Joshua Palmer,WR,LAC,CIN,4700
DeMario Douglas,WR,NE,LAR,4700
Kimani Vidal,RB,LAC,CIN,4700
Jacoby Brissett,QB,NE,LAR,4700
Sam Howell,QB,SEA,SF,4600
Roschon Johnson,RB,CHI,GB,4600
Cam Akers,RB,MIN,TEN,4600
Jalen Tolbert,WR,DAL,HOU,4600
Mark Andrews,TE,BAL,PIT,4600
Ezekiel Elliott,RB,DAL,HOU,4600
Rashod Bateman,WR,BAL,PIT,4600
Samaje Perine,RB,KC,BUF,4600
Mason Tipton,WR,NO,CLE,4600
Josh Johnson,QB,BAL,PIT,4500
Kenny Pickett,QB,PHI,WAS,4500
JuJu Smith-Schuster,WR,KC,BUF,4500
Taysom Hill,TE,NO,CLE,4500
Audric Estime,RB,DEN,ATL,4500
Jordan Whittington,WR,LAR,NE,4500
Dalvin Cook,RB,DAL,HOU,4500
Michael Penix,QB,ATL,DEN,4500
Zamir White,RB,LV,MIA,4500
Trey Lance,QB,DAL,HOU,4500
Ty Chandler,RB,MIN,TEN,4500
Emanuel Wilson,RB,GB,CHI,4500
Tyrod Taylor,QB,NYJ,IND,4500
Dorian Thompson-Robinson,QB,CLE,NO,4400
Jahan Dotson,WR,PHI,WAS,4400
Adonai Mitchell,WR,IND,NYJ,4400
Jeff Wilson,RB,MIA,LV,4400
Marcus Mariota,QB,WAS,PHI,4400
Gus Edwards,RB,LAC,CIN,4400
Tucker Kraft,TE,GB,CHI,4400
Marquez Valdes-Scantling,WR,NO,CLE,4400
Tyson Bagent,QB,CHI,GB,4400
John Metchie,WR,HOU,DAL,4400
Jerome Ford,RB,CLE,NO,4400
Dallas Goedert,TE,PHI,WAS,4400
Dameon Pierce,RB,HOU,DAL,4400
Cedrick Wilson,WR,NO,CLE,4300
Trey Sermon,RB,IND,NYJ,4300
Sam LaPorta,TE,DET,JAX,4300
Taylor Heinicke,QB,LAC,CIN,4300
Noah Brown,WR,WAS,PHI,4300
Ty Johnson,RB,BUF,KC,4300
Elijah Moore,WR,CLE,NO,4300
Pat Freiermuth,TE,PIT,BAL,4200
Jamaal Williams,RB,NO,CLE,4200
Jake Browning,QB,CIN,LAC,4200
Spencer Rattler,QB,NO,CLE,4200
Ray-Ray McCloud,WR,ATL,DEN,4200
Jake Haener,QB,NO,CLE,4200
Julius Chestnut,RB,TEN,MIN,4200
Tutu Atwell,WR,LAR,NE,4200
Mike Williams,WR,PIT,BAL,4100
Kenneth Gainwell,RB,PHI,WAS,4100
JaMycal Hasty,RB,NE,LAR,4100
Tre Tucker,WR,LV,MIA,4100
Ameer Abdullah,RB,LV,MIA,4100
Mike Gesicki,TE,CIN,LAC,4100
Cole Kmet,TE,CHI,GB,4100
Sam Ehlinger,QB,IND,NYJ,4000
Owen Wright,RB,BAL,PIT,4000
Will Shipley,RB,PHI,WAS,4000
Dalton Schultz,TE,HOU,DAL,4000
Jalen Nailor,WR,MIN,TEN,4000
Craig Reynolds,RB,DET,JAX,4000
Kenny McIntosh,RB,SEA,SF,4000
Stetson Bennett,QB,LAR,NE,4000
Trayveon Williams,RB,CIN,LAC,4000
DOnta Foreman,RB,CLE,NO,4000
Deuce Vaughn,RB,DAL,HOU,4000
Nick Mullens,QB,MIN,TEN,4000
Ian Wheeler,RB,CHI,GB,4000
Jase McClellan,RB,ATL,DEN,4000
Tyler Huntley,QB,MIA,LV,4000
Carson Steele,RB,KC,BUF,4000
Deshaun Watson,QB,CLE,NO,4000
Jordan Travis,QB,NYJ,IND,4000
Rasheen Ali,RB,BAL,PIT,4000
Chris Rodriguez,RB,WAS,PHI,4000
British Brooks,RB,HOU,DAL,4000
Joshua Kelley,RB,TEN,MIN,4000
Keilan Robinson,RB,JAX,DET,4000
Joshua Dobbs,QB,SF,SEA,4000
Joe Milton,QB,NE,LAR,4000
Khalil Herbert,RB,CIN,LAC,4000
Pierre Strong,RB,CLE,NO,4000
Case Keenum,QB,HOU,DAL,4000
Isaiah Likely,TE,BAL,PIT,4000
Travis Homer,RB,CHI,GB,4000
Tyler Badie,RB,DEN,ATL,4000
Skylar Thompson,QB,MIA,LV,4000
Shane Buechele,QB,BUF,KC,4000
Bailey Zappe,QB,CLE,NO,4000
Andrei Iosivas,WR,CIN,LAC,4000
Keaton Mitchell,RB,BAL,PIT,4000
Tanner McKee,QB,PHI,WAS,4000
JJ Taylor,RB,HOU,DAL,4000
CJ Ham,RB,MIN,TEN,4000
DErnest Johnson,RB,JAX,DET,4000
Brandon Allen,QB,SF,SEA,4000
Dylan Laube,RB,LV,MIA,4000
Hassan Haskins,RB,LAC,CIN,4000
Adam Prentice,RB,NO,CLE,4000
Israel Abanikanda,RB,NYJ,IND,4000
Cordarrelle Patterson,RB,PIT,BAL,4000
AJ Dillon,RB,GB,CHI,4000
Zach Wilson,QB,DEN,ATL,4000
Parker Washington,WR,JAX,DET,4000
Kyle Juszczyk,RB,SF,SEA,4000
Cody Schrader,RB,LAR,NE,4000
Chris Evans,RB,CIN,LAC,4000
Kyle Allen,QB,PIT,BAL,4000
Jeff Driskel,QB,WAS,PHI,4000
Dare Ogunbowale,RB,HOU,DAL,4000
JJ McCarthy,QB,MIN,TEN,4000
Hendon Hooker,QB,DET,JAX,4000
Robert Burns,RB,ATL,DEN,4000
Alec Ingold,RB,MIA,LV,4000
Easton Stick,QB,LAC,CIN,4000
Kendre Miller,RB,NO,CLE,4000
Isaiah Davis,RB,NYJ,IND,4000
Patrick Ricard,RB,BAL,PIT,4000
Chris Brooks,RB,GB,CHI,4000
Jarrett Stidham,QB,DEN,ATL,4000
