player,position,team,opponent,salary
Jonathan Taylor,RB,IND,KC,10000
Christian McCaffrey,RB,SF,CAR,9500
Jaxon Smith-Njigba,WR,SEA,TEN,9000
Puka Nacua,WR,LAR,TB,8800
Bijan Robinson,RB,ATL,NO,8500
Jahmyr Gibbs,RB,DET,NYG,8300
JaMarr Chase,WR,CIN,NE,8100
Amon-Ra St Brown,WR,DET,NYG,8000
CeeDee Lamb,WR,DAL,PHI,7900
Josh Jacobs,RB,GB,MIN,7800
Rashee Rice,WR,KC,IND,7700
Derrick Henry,RB,BAL,NYJ,7600
Saquon Barkley,RB,PHI,DAL,7500
Josh Allen,QB,BUF,HOU,7400
Justin Jefferson,WR,MIN,GB,7400
Drake London,WR,ATL,NO,7300
Nico Collins,WR,HOU,BUF,7200
James Cook,RB,BUF,HOU,7200
Tee Higgins,WR,CIN,NE,7100
Rico Dowdle,RB,CAR,SF,7100
Davante Adams,WR,LAR,TB,7000
Bucky Irving,RB,TB,LAR,7000
Drake Maye,QB,NE,CIN,6900
George Pickens,WR,DAL,PHI,6900
Kyren Williams,RB,LAR,TB,6800
Trey McBride,TE,ARI,JAX,6800
Patrick Mahomes,QB,KC,IND,6800
Lamar Jackson,QB,BAL,NYJ,6700
Emeka Egbuka,WR,TB,LAR,6700
TreVeyon Henderson,RB,NE,CIN,6700
Jalen Hurts,QB,PHI,DAL,6600
Jaylen Warren,RB,PIT,CHI,6600
Javonte Williams,RB,DAL,PHI,6500
Stefon Diggs,WR,NE,CIN,6500
Joe Burrow,QB,CIN,NE,6500
Chris Olave,WR,NO,ATL,6400
Dak Prescott,QB,DAL,PHI,6400
Matthew Stafford,QB,LAR,TB,6300
Ashton Jeanty,RB,LV,CLE,6300
Zay Flowers,WR,BAL,NYJ,6300
Chase Brown,RB,CIN,NE,6200
Brian Thomas,WR,JAX,ARI,6200
Daniel Jones,QB,IND,KC,6200
Baker Mayfield,QB,TB,LAR,6100
Rome Odunze,WR,CHI,PIT,6100
Breece Hall,RB,NYJ,BAL,6100
Brock Bowers,TE,LV,CLE,6000
Quinshon Judkins,RB,CLE,LV,6000
Michael Pittman,WR,IND,KC,6000
Jared Goff,QB,DET,NYG,6000
Travis Etienne,RB,JAX,ARI,5900
Tetairoa McMillan,WR,CAR,SF,5900
Brock Purdy,QB,SF,CAR,5900
AJ Brown,WR,PHI,DAL,5900
Tyrone Tracy,RB,NYG,DET,5800
Marvin Harrison,WR,ARI,JAX,5800
Jordan Love,QB,GB,MIN,5800
Aaron Jones,RB,MIN,GB,5700
Jameson Williams,WR,DET,NYG,5700
Caleb Williams,QB,CHI,PIT,5700
Rachaad White,RB,TB,LAR,5700
Jaxson Dart,QB,NYG,DET,5600
DAndre Swift,RB,CHI,PIT,5600
Woody Marks,RB,HOU,BUF,5600
DeVonta Smith,WR,PHI,DAL,5600
Tyler Warren,TE,IND,KC,5500
WanDale Robinson,WR,NYG,DET,5500
Joe Flacco,QB,CIN,NE,5500
Sean Tucker,RB,TB,LAR,5500
Kenneth Gainwell,RB,PIT,CHI,5500
Alvin Kamara,RB,NO,ATL,5500
Sam Darnold,QB,SEA,TEN,5400
Jordan Addison,WR,MIN,GB,5400
Trey Benson,RB,ARI,JAX,5400
Kenneth Walker,RB,SEA,TEN,5400
Emanuel Wilson,RB,GB,MIN,5300
David Montgomery,RB,DET,NYG,5300
DK Metcalf,WR,PIT,CHI,5300
Jake Ferguson,TE,DAL,PHI,5300
Jacoby Brissett,QB,ARI,JAX,5300
Jordan Mason,RB,MIN,GB,5200
George Kittle,TE,SF,CAR,5200
Rhamondre Stevenson,RB,NE,CIN,5200
Bryce Young,QB,CAR,SF,5200
Aaron Rodgers,QB,PIT,CHI,5200
Chris Godwin,WR,TB,LAR,5200
Parker Washington,WR,JAX,ARI,5200
Ricky Pearsall,WR,SF,CAR,5100
Tre Tucker,WR,LV,CLE,5100
Trevor Lawrence,QB,JAX,ARI,5100
