player,position,team,opponent,salary
Puka Nacua,WR,LAR,ATL,9200
Christian McCaffrey,RB,SF,CHI,8800
Bijan Robinson,RB,ATL,LAR,8700
Jaxon Smith-Njigba,WR,SEA,CAR,8600
DeVon Achane,RB,MIA,TB,8500
JaMarr Chase,WR,CIN,ARI,8300
James Cook,RB,BUF,PHI,8000
Jonathan Taylor,RB,IND,JAX,7800
Saquon Barkley,RB,PHI,BUF,7600
Trey McBride,TE,ARI,CIN,7500
Nico Collins,WR,HOU,LAC,7400
Chase Brown,RB,CIN,ARI,7400
Chris Olave,WR,NO,TEN,7200
Derrick Henry,RB,BAL,GB,7200
Travis Etienne,RB,JAX,IND,7100
Josh Allen,QB,BUF,PHI,7000
Josh Jacobs,RB,GB,BAL,7000
AJ Brown,WR,PHI,BUF,7000
Matthew Stafford,QB,LAR,ATL,6900
Rashee Rice,WR,KC,DEN,6900
Drake Maye,QB,NE,NYJ,6800
Drake London,WR,ATL,LAR,6800
Davante Adams,WR,LAR,ATL,6700
Kyren Williams,RB,LAR,ATL,6700
Jalen Hurts,QB,PHI,BUF,6600
Jaylen Warren,RB,PIT,CLE,6600
Mike Evans,WR,TB,MIA,6500
Joe Burrow,QB,CIN,ARI,6500
RJ Harvey,RB,DEN,KC,6500
Zay Flowers,WR,BAL,GB,6400
Michael Wilson,WR,ARI,CIN,6400
TreVeyon Henderson,RB,NE,NYJ,6400
Omarion Hampton,RB,LAC,HOU,6300
Lamar Jackson,QB,BAL,GB,6300
Tee Higgins,WR,CIN,ARI,6300
Brock Purdy,QB,SF,CHI,6200
Bucky Irving,RB,TB,MIA,6200
Ladd McConkey,WR,LAC,HOU,6200
Trevor Lawrence,QB,JAX,IND,6100
Ashton Jeanty,RB,LV,NYG,6100
Jaylen Waddle,WR,MIA,TB,6100
Rico Dowdle,RB,CAR,SEA,6000
George Kittle,TE,SF,CHI,6000
Courtland Sutton,WR,DEN,KC,6000
DeVonta Smith,WR,PHI,BUF,6000
Bo Nix,QB,DEN,KC,6000
Woody Marks,RB,HOU,LAC,6000
Justin Herbert,QB,LAC,HOU,6000
Sam Darnold,QB,SEA,CAR,5900
Rhamondre Stevenson,RB,NE,NYJ,5900
Tetairoa McMillan,WR,CAR,SEA,5900
Stefon Diggs,WR,NE,NYJ,5800
Kenneth Walker,RB,SEA,CAR,5800
Rome Odunze,WR,CHI,SF,5800
DAndre Swift,RB,CHI,SF,5800
Caleb Williams,QB,CHI,SF,5800
WanDale Robinson,WR,NYG,LV,5700
Jacoby Brissett,QB,ARI,CIN,5700
Breece Hall,RB,NYJ,NE,5700
Jauan Jennings,WR,SF,CHI,5600
Baker Mayfield,QB,TB,MIA,5600
DK Metcalf,WR,PIT,CLE,5600
Kenneth Gainwell,RB,PIT,CLE,5600
Emeka Egbuka,WR,TB,MIA,5500
Brock Bowers,TE,LV,NYG,5500
