player,position,team,opponent,salary
Justin Jefferson,WR,MIN,DET,8500
JaMarr Chase,WR,CIN,CLE,8400
Amon-Ra St Brown,WR,DET,MIN,8300
Saquon Barkley,RB,PHI,NYG,8200
Kyren Williams,RB,LAR,LV,8100
Derrick Henry,RB,BAL,TB,8000
Lamar Jackson,QB,BAL,TB,8000
AJ Brown,WR,PHI,NYG,8000
Cooper Kupp,WR,LAR,LV,7900
Alvin Kamara,RB,NO,DEN,7800
Christian McCaffrey,RB,SF,KC,7700
Stefon Diggs,WR,HOU,GB,7700
Jordan Mason,RB,SF,KC,7600
Jayden Daniels,QB,WAS,CAR,7600
Malik Nabers,WR,NYG,PHI,7500
Jonathan Taylor,RB,IND,MIA,7500
Josh Allen,QB,BUF,TEN,7500
Nico Collins,WR,HOU,GB,7400
Jalen Hurts,QB,PHI,NYG,7300
Tyreek Hill,WR,MIA,IND,7300
Kenneth Walker,RB,SEA,ATL,7300
Joe Mixon,RB,HOU,GB,7200
Mike Evans,WR,TB,BAL,7200
Jayden Reed,WR,GB,HOU,7200
Davante Adams,WR,LV,LAR,7100
CJ Stroud,QB,HOU,GB,7100
Bijan Robinson,RB,ATL,SEA,7100
Chris Godwin,WR,TB,BAL,7100
Marvin Harrison,WR,ARI,LAC,7000
Deebo Samuel,WR,SF,KC,7000
Patrick Mahomes,QB,KC,SF,7000
James Cook,RB,BUF,TEN,7000
DeVonta Smith,WR,PHI,NYG,6900
Jahmyr Gibbs,RB,DET,MIN,6900
Jordan Love,QB,GB,HOU,6900
Drake London,WR,ATL,SEA,6900
Breece Hall,RB,NYJ,PIT,6800
Isiah Pacheco,RB,KC,SF,6800
Terry McLaurin,WR,WAS,CAR,6800
Joe Burrow,QB,CIN,CLE,6800
DK Metcalf,WR,SEA,ATL,6800
James Conner,RB,ARI,LAC,6700
Kyler Murray,QB,ARI,LAC,6700
Puka Nacua,WR,LAR,LV,6700
DeVon Achane,RB,MIA,IND,6700
Baker Mayfield,QB,TB,BAL,6600
Garrett Wilson,WR,NYJ,PIT,6600
Isaac Guerendo,RB,SF,KC,6600
Diontae Johnson,WR,CAR,WAS,6600
Zay Flowers,WR,BAL,TB,6600
David Montgomery,RB,DET,MIN,6600
Jared Goff,QB,DET,MIN,6500
Tank Dell,WR,HOU,GB,6500
Chris Olave,WR,NO,DEN,6500
Chuba Hubbard,RB,CAR,WAS,6500
Aaron Jones,RB,MIN,DET,6500
Brian Robinson,RB,WAS,CAR,6400
Josh Jacobs,RB,GB,HOU,6400
Tee Higgins,WR,CIN,CLE,6400
Xavier Worthy,WR,KC,SF,6400
Brock Purdy,QB,SF,KC,6400
Tony Pollard,RB,TEN,BUF,6300
Kirk Cousins,QB,ATL,SEA,6300
JK Dobbins,RB,LAC,ARI,6300
