player,position,team,opponent,salary
Bo Nix,QB,DEN,SEA,5000    
Mark Andrews,TE,BAL,KC,5000    
Chase Brown,RB,CIN,NE,5000    
Michael Penix,QB,ATL,PIT,5000    
Sam Howell,QB,SEA,DEN,5000    
Jake Browning,QB,CIN,NE,5000    
Justin Fields,QB,PIT,ATL,5000    
Mac Jones,QB,JAX,MIA,4900    
Dontayvion Wicks,WR,GB,PHI,4900    
Marcus Mariota,QB,WAS,TB,4900    
Dalton Schultz,TE,HOU,IND,4900    
Justice Hill,RB,BAL,KC,4900    
Jaxon Smith-Njigba,WR,SEA,DEN,4900    
Antonio Gibson,RB,NE,CIN,4900    
JK Dobbins,RB,LAC,LV,4900    
Mason Rudolph,QB,TEN,CHI,4900    
Easton Stick,QB,LAC,LV,4900    
Curtis Samuel,WR,BUF,ARI,4900    
Mitch Trubisky,QB,BUF,ARI,4800    
Jamaal Williams,RB,NO,CAR,4800    
Dallas Goedert,TE,PHI,GB,4800    
Blake Corum,RB,LAR,DET,4800    
Andy Dalton,QB,CAR,NO,4800    
Kenny Pickett,QB,PHI,GB,4800    
Bucky Irving,RB,TB,WAS,4800    
Josh Downs,WR,IND,HOU,4800    
DOnta Foreman,RB,CLE,DAL,4800    
Alexander Mattison,RB,LV,LAC,4800    
DeMario Douglas,WR,NE,CIN,4800    
Nyheim Hines,RB,CLE,DAL,4800    
Drew Lock,QB,NYG,MIN,4800    
Brian Thomas,WR,JAX,MIA,4700    
Carson Wentz,QB,KC,BAL,4700    
Chase Edmonds,RB,TB,WAS,4700    
DErnest Johnson,RB,JAX,MIA,4700    
Kyle Trask,QB,TB,WAS,4700    
Davis Mills,QB,HOU,IND,4700    
Ladd McConkey,WR,LAC,LV,4700    
Christian Watson,WR,GB,PHI,4700    
Kimani Vidal,RB,LAC,LV,4700    
Kenneth Gainwell,RB,PHI,GB,4700    
Kyle Pitts,TE,ATL,PIT,4600    
Dameon Pierce,RB,HOU,IND,4600    
Jordan Mason,RB,SF,NYJ,4600    
Tyson Bagent,QB,CHI,TEN,4600    
Joshua Dobbs,QB,SF,NYJ,4600    
Xavier Legette,WR,CAR,NO,4600    
Zay Jones,WR,ARI,BUF,4600    
Rico Dowdle,RB,DAL,CLE,4600    
Kendre Miller,RB,NO,CAR,4600    
Ty Johnson,RB,BUF,ARI,4600    
Cooper Rush,QB,DAL,CLE,4600    
Jake Haener,QB,NO,CAR,4600    
Cordarrelle Patterson,RB,PIT,ATL,4500    
Jameson Williams,WR,DET,LAR,4500    
Gabe Davis,WR,JAX,MIA,4500    
Braelon Allen,RB,NYJ,SF,4500    
Brock Bowers,TE,LV,LAC,4500    
Trey Sermon,RB,IND,HOU,4500    
