player,position,team,opponent,salary
CeeDee Lamb,WR,DAL,BAL,8800
Justin Jefferson,WR,MIN,HOU,8600
Christian McCaffrey,RB,SF,LAR,8500
Tyreek Hill,WR,MIA,SEA,8400
Amon-Ra St Brown,WR,DET,ARI,8200
Cooper Kupp,WR,LAR,SF,8000
Josh Allen,QB,BUF,JAX,8000
AJ Brown,WR,PHI,NO,7800
Saquon Barkley,RB,PHI,NO,7700
Bijan Robinson,RB,ATL,KC,7600
Davante Adams,WR,LV,CAR,7600
JaMarr Chase,WR,CIN,WAS,7500
Lamar Jackson,QB,BAL,DAL,7500
Alvin Kamara,RB,NO,PHI,7500
Breece Hall,RB,NYJ,NE,7400
Marvin Harrison,WR,ARI,DET,7400
Jalen Hurts,QB,PHI,NO,7300
Nico Collins,WR,HOU,MIN,7300
Jonathan Taylor,RB,IND,CHI,7300
Mike Evans,WR,TB,DEN,7200
Deebo Samuel,WR,SF,LAR,7100
Kyren Williams,RB,LAR,SF,7100
CJ Stroud,QB,HOU,MIN,7100
Garrett Wilson,WR,NYJ,NE,7100
DeVon Achane,RB,MIA,SEA,7000
Travis Etienne,RB,JAX,BUF,7000
Rashee Rice,WR,KC,ATL,7000
Patrick Mahomes,QB,KC,ATL,7000
Puka Nacua,WR,LAR,SF,7000
Isiah Pacheco,RB,KC,ATL,6900
Kyler Murray,QB,ARI,DET,6900
DeVonta Smith,WR,PHI,NO,6900
Joe Mixon,RB,HOU,MIN,6900
Jahmyr Gibbs,RB,DET,ARI,6800
James Cook,RB,BUF,JAX,6800
Zay Flowers,WR,BAL,DAL,6800
DJ Moore,WR,CHI,IND,6700
Anthony Richardson,QB,IND,CHI,6700
Josh Jacobs,RB,GB,TEN,6700
Stefon Diggs,WR,HOU,MIN,6600
James Conner,RB,ARI,DET,6600
Dak Prescott,QB,DAL,BAL,6600
Chris Godwin,WR,TB,DEN,6500
Derrick Henry,RB,BAL,DAL,6500
Jared Goff,QB,DET,ARI,6500
Malik Nabers,WR,NYG,CLE,6400
JK Dobbins,RB,LAC,PIT,6400
Tua Tagovailoa,QB,MIA,SEA,6400
Kenneth Walker,RB,SEA,MIA,6300
Baker Mayfield,QB,TB,DEN,6300
Chris Olave,WR,NO,PHI,6300
Rhamondre Stevenson,RB,NE,NYJ,6300
DK Metcalf,WR,SEA,MIA,6300
Jordan Mason,RB,SF,LAR,6200
Trey McBride,TE,ARI,DET,6200
Jordan Love,QB,GB,TEN,6200
Jayden Daniels,QB,WAS,CIN,6200
Keenan Allen,WR,CHI,IND,6200
Brandon Aiyuk,WR,SF,LAR,6200
Michael Pittman,WR,IND,CHI,6100
Joe Burrow,QB,CIN,WAS,6100
Amari Cooper,WR,CLE,NYG,6100
Travis Kelce,TE,KC,ATL,6100
David Montgomery,RB,DET,ARI,6100
Rachaad White,RB,TB,DEN,6100
Aaron Rodgers,QB,NYJ,NE,6000
Jaylen Waddle,WR,MIA,SEA,6000
Zach Charbonnet,RB,SEA,MIA,6000
Xavier Worthy,WR,KC,ATL,6000
Calvin Ridley,WR,TEN,GB,6000
Brock Purdy,QB,SF,LAR,6000
Tony Pollard,RB,TEN,GB,6000
Sam LaPorta,TE,DET,ARI,6000
Jayden Reed,WR,GB,TEN,5900
Aaron Jones,RB,MIN,HOU,5900
Tee Higgins,WR,CIN,WAS,5900
Brian Robinson,RB,WAS,CIN,5900
Kirk Cousins,QB,ATL,KC,5900
Drake London,WR,ATL,KC,5800
