player,position,team,opponent,salary
CeeDee Lamb,WR,DAL,NO,8800    
Christian McCaffrey,RB,SF,MIN,8700    
Tyreek Hill,WR,MIA,BUF,8700    
Justin Jefferson,WR,MIN,SF,8300    
Amon-Ra St Brown,WR,DET,TB,8100    
Josh Allen,QB,BUF,MIA,8000    
AJ Brown,WR,PHI,ATL,7900    
JaMarr Chase,WR,CIN,KC,7800    
Bijan Robinson,RB,ATL,PHI,7800    
Jonathan Taylor,RB,IND,GB,7700    
Lamar Jackson,QB,BAL,LV,7700    
Cooper Kupp,WR,LAR,ARI,7600    
Mike Evans,WR,TB,DET,7500    
Saquon Barkley,RB,PHI,ATL,7500    
Breece Hall,RB,NYJ,TEN,7400    
CJ Stroud,QB,HOU,CHI,7300    
Davante Adams,WR,LV,BAL,7300    
Travis Etienne,RB,JAX,CLE,7200    
Jalen Hurts,QB,PHI,ATL,7200    
Joe Mixon,RB,HOU,CHI,7100    
Garrett Wilson,WR,NYJ,TEN,7100    
Patrick Mahomes,QB,KC,CIN,7000    
Nico Collins,WR,HOU,CHI,7000    
Puka Nacua,WR,LAR,ARI,7000    
Alvin Kamara,RB,NO,DAL,7000    
Marvin Harrison,WR,ARI,LAR,6900    
Isiah Pacheco,RB,KC,CIN,6900    
Stefon Diggs,WR,HOU,CHI,6800    
Deebo Samuel,WR,SF,MIN,6800    
Kyren Williams,RB,LAR,ARI,6800    
Anthony Richardson,QB,IND,GB,6800    
Rashee Rice,WR,KC,CIN,6700    
DeVonta Smith,WR,PHI,ATL,6700    
Dak Prescott,QB,DAL,NO,6700    
Derrick Henry,RB,BAL,LV,6700    
Tua Tagovailoa,QB,MIA,BUF,6600    
Kyler Murray,QB,ARI,LAR,6600    
Michael Pittman,WR,IND,GB,6600    
Jahmyr Gibbs,RB,DET,TB,6600    
James Cook,RB,BUF,MIA,6600    
DJ Moore,WR,CHI,HOU,6500    
Brandon Aiyuk,WR,SF,MIN,6500    
Josh Jacobs,RB,GB,IND,6500    
Jordan Love,QB,GB,IND,6500    
DeVon Achane,RB,MIA,BUF,6500    
Keenan Allen,WR,CHI,HOU,6400    
James Conner,RB,ARI,LAR,6400    
Jared Goff,QB,DET,TB,6400    
Chris Olave,WR,NO,DAL,6400    
Jaylen Waddle,WR,MIA,BUF,6400    
Sam LaPorta,TE,DET,TB,6300    
Rachaad White,RB,TB,DET,6300    
Zay Flowers,WR,BAL,LV,6300    
Joe Burrow,QB,CIN,KC,6300    
Kenneth Walker,RB,SEA,NE,6300    
Jayden Daniels,QB,WAS,NYG,6200    
Rhamondre Stevenson,RB,NE,SEA,6200    
Amari Cooper,WR,CLE,JAX,6200    
Travis Kelce,TE,KC,CIN,6200    
Drake London,WR,ATL,PHI,6100    
Aaron Jones,RB,MIN,SF,6100    
Brock Purdy,QB,SF,MIN,6100    
Xavier Worthy,WR,KC,CIN,6100    
Matthew Stafford,QB,LAR,ARI,6000    
Kirk Cousins,QB,ATL,PHI,6000    
Trey McBride,TE,ARI,LAR,6000    
Chris Godwin,WR,TB,DET,6000    
Jayden Reed,WR,GB,IND,6000    
David Montgomery,RB,DET,TB,6000    
Tony Pollard,RB,TEN,NYJ,5900    
Baker Mayfield,QB,TB,DET,5900    
Aaron Rodgers,QB,NYJ,TEN,5900    
Tee Higgins,WR,CIN,KC,5900    
DK Metcalf,WR,SEA,NE,5900    
Raheem Mostert,RB,MIA,BUF,5900    
Nick Chubb,RB,CLE,JAX,5900    
Malik Nabers,WR,NYG,WAS,5900    
Jerome Ford,RB,CLE,JAX,5900    
Calvin Ridley,WR,TEN,NYJ,5800    
DAndre Swift,RB,CHI,HOU,5800    
Zach Charbonnet,RB,SEA,NE,5800    
Caleb Williams,QB,CHI,HOU,5800    
TJ Hockenson,TE,MIN,SF,5800    
George Pickens,WR,PIT,DEN,5800    
Justin Herbert,QB,LAC,CAR,5800    
Brian Robinson,RB,WAS,NYG,5800    
Terry McLaurin,WR,WAS,NYG,5700    
Austin Ekeler,RB,WAS,NYG,5700    
Devin Singletary,RB,NYG,WAS,5700    
Trevor Lawrence,QB,JAX,CLE,5700    
Romeo Doubs,WR,GB,IND,5700    
Ezekiel Elliott,RB,DAL,NO,5700    
Zamir White,RB,LV,BAL,5600    
Mike Williams,WR,NYJ,TEN,5600    
Hollywood Brown,WR,KC,CIN,5600    
Deshaun Watson,QB,CLE,JAX,5600    
Zack Moss,RB,CIN,KC,5600    
Brandin Cooks,WR,DAL,NO,5600    
Christian Kirk,WR,JAX,CLE,5500    
Javonte Williams,RB,DEN,PIT,5500    
Dalton Kincaid,TE,BUF,MIA,5500    
Najee Harris,RB,PIT,DEN,5500    
Geno Smith,QB,SEA,NE,5500    
George Kittle,TE,SF,MIN,5500    
Tank Dell,WR,HOU,CHI,5500    
Russell Wilson,QB,PIT,DEN,5400    
Evan Engram,TE,JAX,CLE,5400    
Courtland Sutton,WR,DEN,PIT,5400    
DeAndre Hopkins,WR,TEN,NYJ,5400    
Jaylen Warren,RB,PIT,DEN,5400    
JK Dobbins,RB,LAC,CAR,5400    
Justin Fields,QB,PIT,DEN,5400    
David Njoku,TE,CLE,JAX,5300    
Alexander Mattison,RB,LV,BAL,5300    
Khalil Shakir,WR,BUF,MIA,5300    
Chuba Hubbard,RB,CAR,LAC,5300    
Derek Carr,QB,NO,DAL,5300    
Tyler Lockett,WR,SEA,NE,5300    
Jameson Williams,WR,DET,TB,5300    
Daniel Jones,QB,NYG,WAS,5300    
Ty Chandler,RB,MIN,SF,5300    
Adam Thielen,WR,CAR,LAC,5200    
Jordan Mason,RB,SF,MIN,5200    
Miles Sanders,RB,CAR,LAC,5200    
Sam Darnold,QB,MIN,SF,5200    
Justice Hill,RB,BAL,LV,5200    
Will Levis,QB,TEN,NYJ,5200    
Gus Edwards,RB,LAC,CAR,5200    
Tyrod Taylor,QB,NYJ,TEN,5200    
Jordan Addison,WR,MIN,SF,5200    
Aidan OConnell,QB,LV,BAL,5100    
Tank Bigsby,RB,JAX,CLE,5100    
Gardner Minshew,QB,LV,BAL,5100    
Diontae Johnson,WR,CAR,LAC,5100    
Khalil Herbert,RB,CHI,HOU,5100    
Bryce Young,QB,CAR,LAC,5100    
Trey Benson,RB,ARI,LAR,5100    
Jakobi Meyers,WR,LV,BAL,5100    
Jerry Jeudy,WR,CLE,JAX,5100    
Christian Watson,WR,GB,IND,5000    
Mark Andrews,TE,BAL,LV,5000    
Drake Maye,QB,NE,SEA,5000    
Malik Willis,QB,GB,IND,5000    
Michael Penix,QB,ATL,PHI,5000    
Keon Coleman,WR,BUF,MIA,5000    
Jacoby Brissett,QB,NE,SEA,5000    
Joe Flacco,QB,IND,GB,5000    
Bo Nix,QB,DEN,PIT,5000    
Sam Howell,QB,SEA,NE,5000    
Joshua Palmer,WR,LAC,CAR,5000    
Tyjae Spears,RB,TEN,NYJ,5000    
Jameis Winston,QB,CLE,JAX,5000    
Jonathon Brooks,RB,CAR,LAC,5000    
Braelon Allen,RB,NYJ,TEN,5000    
Ladd McConkey,WR,LAC,CAR,4900    
Jaxon Smith-Njigba,WR,SEA,NE,4900    
Mac Jones,QB,JAX,CLE,4900    
MarShawn Lloyd,RB,GB,IND,4900    
Bucky Irving,RB,TB,DET,4900    
Kyle Pitts,TE,ATL,PHI,4900    
Easton Stick,QB,LAC,CAR,4800    
Brian Thomas,WR,JAX,CLE,4800    
Andy Dalton,QB,CAR,LAC,4800    
Josh Downs,WR,IND,GB,4800    
Isaiah Likely,TE,BAL,LV,4800    
Kenny Pickett,QB,PHI,ATL,4800    
Rico Dowdle,RB,DAL,NO,4800    
Jake Browning,QB,CIN,KC,4800    
Drew Lock,QB,NYG,WAS,4800    
Jamaal Williams,RB,NO,DAL,4800    
Antonio Gibson,RB,NE,SEA,4800    
Mason Rudolph,QB,TEN,NYJ,4700    
Carson Wentz,QB,KC,CIN,4700    
Dontayvion Wicks,WR,GB,IND,4700    
Mitchell Trubisky,QB,BUF,MIA,4700    
Tyler Allgeier,RB,ATL,PHI,4700    
Jake Ferguson,TE,DAL,NO,4700    
Davis Mills,QB,HOU,CHI,4700    
Xavier Legette,WR,CAR,LAC,4700    
Blake Corum,RB,LAR,ARI,4700    
Chase Brown,RB,CIN,KC,4700    
Greg Dortch,WR,ARI,LAR,4600    
Curtis Samuel,WR,BUF,MIA,4600    
Tyson Bagent,QB,CHI,HOU,4600    
DErnest Johnson,RB,JAX,CLE,4600    
Zay Jones,WR,ARI,LAR,4600    
Rashid Shaheed,WR,NO,DAL,4600    
Jarrett Stidham,QB,DEN,PIT,4600    
Cooper Rush,QB,DAL,NO,4600    
Isaac Guerendo,RB,SF,MIN,4600    
Jake Haener,QB,NO,DAL,4600    
Dalton Schultz,TE,HOU,CHI,4600    
Emanuel Wilson,RB,GB,IND,4500    
Dallas Goedert,TE,PHI,ATL,4500    
DeMario Douglas,WR,NE,SEA,4500    
Trey Sermon,RB,IND,GB,4500    
Kenneth Gainwell,RB,PHI,ATL,4500    
Nick Mullens,QB,MIN,SF,4500    
Taylor Heinicke,QB,LAC,CAR,4500    
Jaleel McLaughlin,RB,DEN,PIT,4500    
Joshua Dobbs,QB,SF,MIN,4500    
Samaje Perine,RB,KC,CIN,4500    
Jeff Driskel,QB,WAS,NYG,4500    
Alec Pierce,WR,IND,GB,4500    
Isaiah Davis,RB,NYJ,TEN,4500    
Israel Abanikanda,RB,NYJ,TEN,4400    
Gabe Davis,WR,JAX,CLE,4400    
Cordarrelle Patterson,RB,PIT,DEN,4400    
DOnta Foreman,RB,CLE,JAX,4400    
Emari Demercado,RB,ARI,LAR,4400    
Brock Bowers,TE,LV,BAL,4400    
Tyler Boyd,WR,TEN,NYJ,4400    
Ray Davis,RB,BUF,MIA,4400    
