player,position,team,opponent,salary
CeeDee Lamb,WR,DAL,NYG,8800
Justin Jefferson,WR,MIN,GB,8700
Amon-Ra St Brown,WR,DET,SEA,8300
Tyreek Hill,WR,MIA,TEN,8100
Cooper Kupp,WR,LAR,CHI,8000
Saquon Barkley,RB,PHI,TB,8000
Josh Allen,QB,BUF,BAL,7800
AJ Brown,WR,PHI,TB,7800
Breece Hall,RB,NYJ,DEN,7800
Jonathan Taylor,RB,IND,PIT,7700
JaMarr Chase,WR,CIN,CAR,7700
Alvin Kamara,RB,NO,ATL,7600
Christian McCaffrey,RB,SF,NE,7500
Marvin Harrison,WR,ARI,WAS,7500
Lamar Jackson,QB,BAL,BUF,7500
Davante Adams,WR,LV,CLE,7400
Bijan Robinson,RB,ATL,NO,7400
Kyren Williams,RB,LAR,CHI,7300
Rashee Rice,WR,KC,LAC,7300
DeVon Achane,RB,MIA,TEN,7200
Jalen Hurts,QB,PHI,TB,7200
Nico Collins,WR,HOU,JAX,7200
DeVonta Smith,WR,PHI,TB,7100
Patrick Mahomes,QB,KC,LAC,7100
Mike Evans,WR,TB,PHI,7000
Travis Etienne,RB,JAX,HOU,7000
CJ Stroud,QB,HOU,JAX,7000
Deebo Samuel,WR,SF,NE,7000
Isiah Pacheco,RB,KC,LAC,6900
Garrett Wilson,WR,NYJ,DEN,6900
Puka Nacua,WR,LAR,CHI,6900
Dak Prescott,QB,DAL,NYG,6900
James Cook,RB,BUF,BAL,6900
Chris Godwin,WR,TB,PHI,6800
Joe Mixon,RB,HOU,JAX,6800
Malik Nabers,WR,NYG,DAL,6800
Derrick Henry,RB,BAL,BUF,6800
Kyler Murray,QB,ARI,WAS,6800
Jordan Mason,RB,SF,NE,6700
Jared Goff,QB,DET,SEA,6700
DJ Moore,WR,CHI,LAR,6700
Jahmyr Gibbs,RB,DET,SEA,6700
Stefon Diggs,WR,HOU,JAX,6600
Zay Flowers,WR,BAL,BUF,6600
Josh Jacobs,RB,GB,MIN,6600
Joe Burrow,QB,CIN,CAR,6600
DK Metcalf,WR,SEA,DET,6500
James Conner,RB,ARI,WAS,6500
Jayden Daniels,QB,WAS,ARI,6500
Chris Olave,WR,NO,ATL,6500
David Montgomery,RB,DET,SEA,6400
Brandon Aiyuk,WR,SF,NE,6400
Baker Mayfield,QB,TB,PHI,6400
Aaron Jones,RB,MIN,GB,6400
Anthony Richardson,QB,IND,PIT,6300
Kenneth Walker,RB,SEA,DET,6300
Tua Tagovailoa,QB,MIA,TEN,6300
Amari Cooper,WR,CLE,LV,6300
JK Dobbins,RB,LAC,KC,6300
Zach Charbonnet,RB,SEA,DET,6200
Rhamondre Stevenson,RB,NE,SF,6200
Aaron Rodgers,QB,NYJ,DEN,6200
Drake London,WR,ATL,NO,6200
Keenan Allen,WR,CHI,LAR,6100
Brock Purdy,QB,SF,NE,6100
Brian Robinson,RB,WAS,ARI,6100
Jayden Reed,WR,GB,MIN,6000
Jordan Love,QB,GB,MIN,6000
Tony Pollard,RB,TEN,MIA,6000
Trey McBride,TE,ARI,WAS,6000
Rachaad White,RB,TB,PHI,6000
Derek Carr,QB,NO,ATL,5900
Devin Singletary,RB,NYG,DAL,5900
Jaylen Waddle,WR,MIA,TEN,5900
Tee Higgins,WR,CIN,CAR,5900
Zack Moss,RB,CIN,CAR,5900
Michael Pittman,WR,IND,PIT,5800
Nick Chubb,RB,CLE,LV,5800
Kirk Cousins,QB,ATL,NO,5800
Travis Kelce,TE,KC,LAC,5800
Terry McLaurin,WR,WAS,ARI,5800
Geno Smith,QB,SEA,DET,5800
Austin Ekeler,RB,WAS,ARI,5800
Calvin Ridley,WR,TEN,MIA,5800
Trevor Lawrence,QB,JAX,HOU,5700
Raheem Mostert,RB,MIA,TEN,5700
Sam Darnold,QB,MIN,GB,5700
