year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2024,4,Kyler Murray,QB,ARI,WAS,A+,1,19.5,21.8,6800
2024,4,Josh Allen,QB,BUF,BAL,A,2,24.0,21.3,7800
2024,4,Jayden Daniels,QB,WAS,ARI,A,3,23.2,21.1,6500
2024,4,Lamar Jackson,QB,BAL,BUF,A,4,22.8,20.5,7500
2024,4,CJ Stroud,QB,HOU,JAX,A-,5,14.9,20.0,7000
2024,4,Joe Burrow,QB,CIN,CAR,B+,6,16.9,19.5,6600
2024,4,Jalen Hurts,QB,PHI,TB,B+,7,18.4,18.9,7200
2024,4,Dak Prescott,QB,DAL,NYG,B,8,18.8,18.2,6900
2024,4,Patrick Mahomes,QB,KC,LAC,B,9,16.1,17.7,7100
2024,4,Justin Fields,QB,PIT,IND,B-,10,14.2,17.3,5500
2024,4,Geno Smith,QB,SEA,DET,B-,11,16.7,16.9,5800
2024,4,Brock Purdy,QB,SF,NE,B-,12,17.0,16.7,6100
2024,4,Baker Mayfield,QB,TB,PHI,C+,13,19.7,16.5,6400
2024,4,Caleb Williams,QB,CHI,LAR,C,14,12.0,16.4,5600
2024,4,Jared Goff,QB,DET,SEA,C,15,12.9,16.3,6700
2024,4,Anthony Richardson,QB,IND,PIT,C,16,15.7,16.1,6300
2024,4,Sam Darnold,QB,MIN,GB,C,17,19.9,15.9,5700
2024,4,Jordan Love,QB,GB,MIN,C-,18,17.4,15.7,6000
2024,4,Saquon Barkley,RB,PHI,TB,A+,1,28.1,19.8,8000
2024,4,Breece Hall,RB,NYJ,DEN,A+,2,20.3,19.3,7800
2024,4,Bijan Robinson,RB,ATL,NO,A+,3,15.2,18.5,7400
2024,4,Alvin Kamara,RB,NO,ATL,A,4,27.2,18.5,7600
2024,4,Jordan Mason,RB,SF,NE,A,5,16.8,18.1,6700
2024,4,Kyren Williams,RB,LAR,CHI,A,6,20.4,17.9,7300
2024,4,James Conner,RB,ARI,WAS,A,7,14.1,16.5,6500
2024,4,Aaron Jones,RB,MIN,GB,A,8,18.2,16.0,6400
2024,4,Jonathan Taylor,RB,IND,PIT,A,9,17.6,15.8,7700
2024,4,Jahmyr Gibbs,RB,DET,SEA,A-,10,17.1,15.6,6700
2024,4,DeVon Achane,RB,MIA,TEN,A-,11,20.4,15.4,7200
2024,4,Brian Robinson,RB,WAS,ARI,A-,12,14.4,15.2,6100
2024,4,James Cook,RB,BUF,BAL,B+,13,20.2,15.0,6900
2024,4,Derrick Henry,RB,BAL,BUF,B+,14,19.2,14.6,6800
2024,4,Josh Jacobs,RB,GB,MIN,B,15,10.4,14.2,6600
2024,4,Najee Harris,RB,PIT,IND,B,16,10.3,14.2,5600
2024,4,David Montgomery,RB,DET,SEA,B,17,18.2,14.2,6400
2024,4,Chuba Hubbard,RB,CAR,CIN,B,18,13.6,14.0,5700
2024,4,Zack Moss,RB,CIN,CAR,B,19,13.5,14.0,5900
2024,4,Travis Etienne,RB,JAX,HOU,B,20,13.1,14.0,7000
2024,4,Devin Singletary,RB,NYG,DAL,B-,21,14.2,13.8,5900
2024,4,Tony Pollard,RB,TEN,MIA,B-,22,13.2,13.8,6000
2024,4,Rhamondre Stevenson,RB,NE,SF,B-,23,13.0,13.2,6200
2024,4,JK Dobbins,RB,LAC,KC,C+,24,17.1,13.0,6300
2024,4,Cam Akers,RB,HOU,JAX,C+,25,6.2,12.7,5300
2024,4,Jerome Ford,RB,CLE,LV,C+,26,12.1,12.7,5700
2024,4,Kenneth Walker,RB,SEA,DET,C+,27,18.9,12.7,6300
2024,4,Rachaad White,RB,TB,PHI,C+,28,9.5,11.5,6000
2024,4,Carson Steele,RB,KC,LAC,C,29,3.0,10.5,5500
2024,4,Rico Dowdle,RB,DAL,NYG,C,30,7.6,10.1,5300
2024,4,Roschon Johnson,RB,CHI,LAR,C,32,10.2,9.4,4100
2024,4,DAndre Swift,RB,CHI,LAR,C,33,6.5,8.9,5500
2024,4,Zamir White,RB,LV,CLE,C-,34,4.9,8.9,5300
2024,4,Braelon Allen,RB,NYJ,DEN,C,35,10.7,8.5,5400
2024,4,Javonte Williams,RB,DEN,NYJ,C-,36,7.0,8.2,5200
2024,4,Tyjae Spears,RB,TEN,MIA,C-,37,7.5,8.0,4800
2024,4,Chase Brown,RB,CIN,CAR,C-,38,5.8,7.9,5100
2024,4,CeeDee Lamb,WR,DAL,NYG,A+,1,13.8,18.7,8800
2024,4,Justin Jefferson,WR,MIN,GB,A+,2,19.8,18.3,8700
2024,4,Rashee Rice,WR,KC,LAC,A+,3,21.6,18.2,7300
2024,4,JaMarr Chase,WR,CIN,CAR,A+,4,16.5,18.1,7700
2024,4,Nico Collins,WR,HOU,JAX,A+,5,19.3,17.9,7200
2024,4,Malik Nabers,WR,NYG,DAL,A+,6,22.8,17.1,6800
2024,4,Amon-Ra St Brown,WR,DET,SEA,A+,7,15.9,17.0,8300
2024,4,Marvin Harrison,WR,ARI,WAS,A,8,15.9,16.9,7500
2024,4,Chris Godwin,WR,TB,PHI,A,9,21.4,15.4,6800
2024,4,Stefon Diggs,WR,HOU,JAX,A,10,16.5,15.0,6600
2024,4,Diontae Johnson,WR,CAR,CIN,A,11,11.5,15.0,5600
2024,4,DK Metcalf,WR,SEA,DET,A,12,18.4,14.8,6500
2024,4,Garrett Wilson,WR,NYJ,DEN,A,13,12.2,14.7,6900
2024,4,Mike Evans,WR,TB,PHI,A,14,11.3,14.7,7000
2024,4,Drake London,WR,ATL,NO,A,15,13.2,14.3,6200
2024,4,DJ Moore,WR,CHI,LAR,A,16,12.2,14.3,6700
2024,4,Brandon Aiyuk,WR,SF,NE,A,17,7.6,14.1,6400
2024,4,Zay Flowers,WR,BAL,BUF,A-,18,12.8,14.0,6600
2024,4,Jayden Reed,WR,GB,MIN,A-,19,16.9,13.9,6000
2024,4,Amari Cooper,WR,CLE,LV,A-,20,11.8,13.8,6300
2024,4,Terry McLaurin,WR,WAS,ARI,A-,21,10.6,13.6,5800
2024,4,Chris Olave,WR,NO,ATL,A-,22,12.2,13.2,6500
2024,4,Tyreek Hill,WR,MIA,TEN,B+,23,13.2,13.0,8100
2024,4,Jaxon Smith-Njigba,WR,SEA,DET,B+,24,11.5,13.0,5500
2024,4,George Pickens,WR,PIT,IND,B,25,9.7,12.5,5700
2024,4,Tee Higgins,WR,CIN,CAR,B,26,6.9,12.2,5900
2024,4,Christian Kirk,WR,JAX,HOU,B,27,6.9,12.2,5200
2024,4,Jameson Williams,WR,DET,SEA,C+,28,13.3,12.0,5700
2024,4,Khalil Shakir,WR,BUF,BAL,B-,29,14.3,12.0,5600
2024,4,Rashid Shaheed,WR,NO,ATL,C+,30,12.4,11.7,5500
2024,4,Jakobi Meyers,WR,LV,CLE,B-,31,12.5,11.5,5500
2024,4,Brian Thomas,WR,JAX,HOU,C+,32,12.0,11.5,5400
2024,4,Deebo Samuel,WR,SF,NE,B,33,18.4,11.2,7000
2024,4,Michael Pittman,WR,IND,PIT,C+,34,6.6,11.2,5800
2024,4,Rome Odunze,WR,CHI,LAR,C+,35,10.3,11.2,5200
2024,4,Xavier Worthy,WR,KC,LAC,C,36,10.0,11.1,5700
2024,4,Calvin Ridley,WR,TEN,MIA,C,37,11.5,11.0,5800
2024,4,Tyler Lockett,WR,SEA,DET,C,38,8.9,10.7,5000
2024,4,Darnell Mooney,WR,ATL,NO,C,39,11.6,10.7,4400
2024,4,WanDale Robinson,WR,NYG,DAL,C,40,11.6,10.6,4600
2024,4,Keenan Allen,WR,CHI,LAR,C,41,6.9,10.6,6100
2024,4,Ladd McConkey,WR,LAC,KC,C,42,9.0,10.4,4800
2024,4,Romeo Doubs,WR,GB,MIN,C,43,7.0,10.4,5500
2024,4,Jerry Jeudy,WR,CLE,LV,C,44,10.8,10.4,5200
2024,4,Michael Wilson,WR,ARI,WAS,C,45,9.0,10.4,4200
2024,4,Jaylen Waddle,WR,MIA,TEN,C,46,10.4,10.3,5900
2024,4,Greg Dortch,WR,ARI,WAS,C,47,6.9,10.3,4300
2024,4,Courtland Sutton,WR,DEN,NYJ,C,48,8.4,10.2,5300
2024,4,Jauan Jennings,WR,SF,NE,C,49,21.2,10.0,5600
2024,4,DeAndre Hopkins,WR,TEN,MIA,C,50,7.7,10.0,5400
2024,4,Demarcus Robinson,WR,LAR,CHI,C-,51,6.5,9.9,5100
2024,4,Brandin Cooks,WR,DAL,NYG,C-,52,7.2,9.9,5300
2024,4,Jordan Addison,WR,MIN,GB,C-,54,6.5,9.8,5100
2024,4,Tutu Atwell,WR,LAR,CHI,C-,55,7.0,9.7,4800
2024,4,Dallas Goedert,TE,PHI,TB,A+,1,13.6,12.8,5100
2024,4,Brock Bowers,TE,LV,CLE,A+,2,12.6,12.7,5600
2024,4,Jake Ferguson,TE,DAL,NYG,A,3,10.0,12.3,4700
2024,4,Travis Kelce,TE,KC,LAC,A,4,5.0,11.8,5800
2024,4,Dalton Kincaid,TE,BUF,BAL,A-,5,7.5,11.5,5200
2024,4,Sam LaPorta,TE,DET,SEA,B,6,5.8,10.9,5700
2024,4,George Kittle,TE,SF,NE,B+,7,14.3,10.7,5500
2024,4,Kyle Pitts,TE,ATL,NO,B-,8,8.2,10.5,4800
2024,4,Mark Andrews,TE,BAL,BUF,C+,9,4.2,9.1,4500
2024,4,Pat Freiermuth,TE,PIT,IND,C+,10,7.3,9.1,3900
2024,4,Dalton Schultz,TE,HOU,JAX,C,11,3.9,8.8,4100
2024,4,Cole Kmet,TE,CHI,LAR,C,12,11.3,8.6,4400
2024,4,Zach Ertz,TE,WAS,ARI,C,13,8.3,8.4,4000
2024,4,Mike Gesicki,TE,CIN,CAR,C-,14,9.9,8.0,3500
2024,4,Jets,DST,NYJ,DEN,A+,1,9.7,8.0,3700
2024,4,49ers,DST,SF,NE,A,2,5.7,7.8,3800
2024,4,Steelers,DST,PIT,IND,B+,3,11.3,7.6,3300
2024,4,Cowboys,DST,DAL,NYG,A-,4,5.7,7.2,3900
2024,4,Chiefs,DST,KC,LAC,B+,5,6.7,7.1,3600
2024,4,Dolphins,DST,MIA,TEN,B+,6,4.3,7.0,3200
2024,4,Browns,DST,CLE,LV,B,7,6.0,6.9,3500
2024,4,Texans,DST,HOU,JAX,B,8,7.3,6.9,3000
2024,4,Bears,DST,CHI,LAR,B-,9,11.7,6.9,3100
2024,4,Titans,DST,TEN,MIA,B-,10,4.3,6.8,3000
2024,4,Raiders,DST,LV,CLE,B-,11,1.0,6.7,3200
2024,4,Packers,DST,GB,MIN,C+,12,13.0,6.6,3000
2024,4,Vikings,DST,MIN,GB,C,13,16.0,6.4,2900
2024,4,Saints,DST,NO,ATL,C,14,11.0,6.2,3100
2024,4,Rams,DST,LAR,CHI,C,15,2.0,6.1,2800
2024,4,Eagles,DST,PHI,TB,C-,16,3.7,6.1,2900
