year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2025,14,Josh Allen,QB,BUF,CIN,A+,1,23.2,24.5,7700
2025,14,Dak Prescott,QB,DAL,DET,A,2,24.7,21.3,6300
2025,14,Matthew Stafford,QB,LAR,ARI,A,3,19.2,20.4,6900
2025,14,Jalen Hurts,QB,PHI,LAC,A,4,18.7,19.2,6600
2025,14,Jared Goff,QB,DET,DAL,B+,5,19.2,18.9,5800
2025,14,Joe Burrow,QB,CIN,BUF,B+,6,19.2,18.6,6500
2025,14,Patrick Mahomes,QB,KC,HOU,B+,7,20.6,18.2,6800
2025,14,Lamar Jackson,QB,BAL,PIT,B,8,9.5,17.9,6700
2025,14,Baker Mayfield,QB,TB,NO,B,9,15.2,17.6,5800
2025,14,Bo Nix,QB,DEN,LV,B-,10,12.6,17.3,6100
2025,14,Jacoby Brissett,QB,ARI,LAR,B-,11,20.7,17.1,5700
2025,14,Jordan Love,QB,GB,CHI,B-,12,14.6,16.9,5900
2025,14,Daniel Jones,QB,IND,JAX,C+,13,16.5,16.7,6200
2025,14,Trevor Lawrence,QB,JAX,IND,C+,14,17.2,16.6,5400
2025,14,Sam Darnold,QB,SEA,ATL,C,15,8.8,16.4,5500
2025,14,Justin Herbert,QB,LAC,PHI,C,16,10.9,16.1,6400
2025,14,Marcus Mariota,QB,WAS,MIN,C-,17,19.8,15.9,5000
2025,14,Caleb Williams,QB,CHI,GB,C-,18,16.9,15.7,5600
2025,14,DeVon Achane,RB,MIA,NYJ,A+,1,27.1,22.2,8800
2025,14,Jahmyr Gibbs,RB,DET,DAL,A+,2,31.2,21.3,8600
2025,14,Jonathan Taylor,RB,IND,JAX,A,3,24.4,21.1,9300
2025,14,James Cook,RB,BUF,CIN,A,4,17.9,19.3,7800
2025,14,Bijan Robinson,RB,ATL,SEA,A,5,21.5,18.9,8500
2025,14,Chase Brown,RB,CIN,BUF,A,6,17.3,18.7,6700
2025,14,Breece Hall,RB,NYJ,MIA,A,7,14.4,16.0,6500
2025,14,Josh Jacobs,RB,GB,CHI,A,9,11.3,15.6,6800
2025,14,Quinshon Judkins,RB,CLE,TEN,A-,10,12.3,15.5,6400
2025,14,Kyren Williams,RB,LAR,ARI,A-,11,14.5,14.8,6600
2025,14,Derrick Henry,RB,BAL,PIT,A-,12,18.0,14.8,7500
2025,14,Javonte Williams,RB,DAL,DET,B+,13,13.1,14.6,6500
2025,14,Saquon Barkley,RB,PHI,LAC,B+,14,10.3,14.1,6900
2025,14,RJ Harvey,RB,DEN,LV,B,15,11.0,14.0,5700
2025,14,Ashton Jeanty,RB,LV,DEN,B,16,15.4,12.7,6100
2025,14,Jaylen Warren,RB,PIT,BAL,B,17,11.3,13.7,6000
2025,14,Travis Etienne,RB,JAX,IND,B,18,15.2,12.6,6300
2025,14,Kenneth Walker,RB,SEA,ATL,B,19,12.9,12.5,5600
2025,14,DAndre Swift,RB,CHI,GB,B-,20,11.6,11.4,5900
2025,14,Woody Marks,RB,HOU,KC,B-,21,9.5,11.0,5600
2025,14,Kyle Monangai,RB,CHI,GB,C+,22,12.3,11.0,5400
2025,14,Kareem Hunt,RB,KC,HOU,C+,23,14.1,10.9,5300
2025,14,Devin Neal,RB,NO,TB,C+,24,9.0,10.5,5100
2025,14,Zonovan Knight,RB,ARI,LAR,C+,25,12.2,10.5,5200
2025,14,David Montgomery,RB,DET,DAL,C,26,8.6,10.1,5000
2025,14,Jordan Mason,RB,MIN,WAS,C,27,6.2,9.9,5800
2025,14,Kenneth Gainwell,RB,PIT,BAL,C,28,14.2,9.7,5000
2025,14,Kimani Vidal,RB,LAC,PHI,C,29,13.9,9.1,5800
2025,14,Zach Charbonnet,RB,SEA,ATL,C,30,10.4,9.6,5100
2025,14,Chris Rodriguez,RB,WAS,MIN,C,31,9.1,9.0,4700
2025,14,Omarion Hampton,RB,LAC,PHI,C,32,0.0,8.7,5900
2025,14,Blake Corum,RB,LAR,ARI,C-,33,5.9,8.7,4600
2025,14,Tony Pollard,RB,TEN,CLE,C-,34,6.3,8.2,4900
2025,14,Tyjae Spears,RB,TEN,CLE,C-,35,7.8,7.6,4900
2025,14,Bhayshul Tuten,RB,JAX,IND,C-,36,6.5,7.1,4800
2025,14,Samaje Perine,RB,CIN,BUF,C-,37,5.4,7.0,4200
2025,14,Aaron Jones,RB,MIN,WAS,C-,38,10.1,6.8,5300
2025,14,Jaxon Smith-Njigba,WR,SEA,ATL,A+,1,20.6,20.1,9000
2025,14,JaMarr Chase,WR,CIN,BUF,A+,2,12.0,19.7,8200
2025,14,CeeDee Lamb,WR,DAL,DET,A+,3,17.8,19.5,7500
2025,14,Puka Nacua,WR,LAR,ARI,A+,4,15.4,18.2,8700
2025,14,Rashee Rice,WR,KC,HOU,A+,5,21.1,18.0,7900
2025,14,George Pickens,WR,DAL,DET,A+,6,25.3,17.2,7400
2025,14,Davante Adams,WR,LAR,ARI,A,7,18.0,17.1,7700
2025,14,Jameson Williams,WR,DET,DAL,A,8,17.6,17.0,5800
2025,14,Chris Olave,WR,NO,TB,A,9,17.4,15.0,6500
2025,14,Nico Collins,WR,HOU,KC,A,10,19.2,15.7,6700
2025,14,Jaylen Waddle,WR,MIA,NYJ,A,11,11.5,15.0,6800
2025,14,AJ Brown,WR,PHI,LAC,A,12,18.9,14.4,6600
2025,14,Emeka Egbuka,WR,TB,NO,A,13,11.7,13.4,6300
2025,14,Justin Jefferson,WR,MIN,WAS,A,14,7.5,13.4,6900
2025,14,DeVonta Smith,WR,PHI,LAC,A,15,10.9,13.2,5900
2025,14,Ladd McConkey,WR,LAC,PHI,A,16,13.0,13.1,6400
2025,14,Zay Flowers,WR,BAL,PIT,A-,17,9.0,12.9,6100
2025,14,Michael Pittman,WR,IND,JAX,A-,18,6.6,12.9,5400
2025,14,Michael Wilson,WR,ARI,LAR,A-,19,17.3,12.8,5600
2025,14,Christian Watson,WR,GB,CHI,A-,20,13.8,12.6,5200
2025,14,Jakobi Meyers,WR,JAX,IND,A-,21,13.7,12.5,5700
2025,14,Terry McLaurin,WR,WAS,MIN,A-,22,22.6,12.4,5200
2025,14,Khalil Shakir,WR,BUF,CIN,B+,23,8.0,12.3,5300
2025,14,Courtland Sutton,WR,DEN,LV,B+,24,10.8,11.8,5600
2025,14,DK Metcalf,WR,PIT,BAL,B,25,9.3,11.8,5400
2025,14,Deebo Samuel,WR,WAS,MIN,B,26,14.9,11.8,5500
2025,14,Rome Odunze,WR,CHI,GB,B,27,9.5,11.7,5700
2025,14,Adonai Mitchell,WR,NYJ,MIA,B,28,10.8,11.6,4600
2025,14,Alec Pierce,WR,IND,JAX,C+,29,13.3,11.6,5100
2025,14,Chris Godwin,WR,TB,NO,C+,30,6.9,11.6,5300
2025,14,Brian Thomas,WR,JAX,IND,C+,31,4.8,11.1,5900
2025,14,Troy Franklin,WR,DEN,LV,B-,32,10.5,10.7,5500
2025,14,Romeo Doubs,WR,GB,CHI,C+,33,6.8,10.7,4900
2025,14,Keenan Allen,WR,LAC,PHI,C+,34,6.7,10.6,5000
2025,14,Jayden Higgins,WR,HOU,KC,C+,35,12.5,10.3,4300
2025,14,Quentin Johnston,WR,LAC,PHI,C+,36,6.8,10.0,5100
2025,14,Xavier Worthy,WR,KC,HOU,C,37,8.9,9.9,4700
2025,14,Jordan Addison,WR,MIN,WAS,C,38,6.3,9.8,4900
2025,14,John Metchie,WR,NYJ,MIA,C,39,9.6,9.5,4500
2025,14,Darnell Mooney,WR,ATL,SEA,C,40,7.5,9.4,4800
2025,14,Isaac TeSlaa,WR,DET,DAL,C,41,3.4,9.4,3400
2025,14,DJ Moore,WR,CHI,GB,C,42,7.8,9.4,4800
2025,14,Tre Tucker,WR,LV,DEN,C,43,7.8,9.3,4700
2025,14,Devaughn Vele,WR,NO,TB,C,44,10.8,9.0,3700
2025,14,Luther Burden,WR,CHI,GB,C,45,7.6,9.0,3800
2025,14,Josh Downs,WR,IND,JAX,C,46,3.6,9.0,4400
2025,14,Jerry Jeudy,WR,CLE,TEN,C,47,8.4,8.8,4200
2025,14,Dontayvion Wicks,WR,GB,CHI,C-,48,10.7,8.7,3900
2025,14,Pat Bryant,WR,DEN,LV,C-,49,8.6,8.1,3400
2025,14,Cooper Kupp,WR,SEA,ATL,C-,50,6.1,8.1,4100
2025,14,Malik Washington,WR,MIA,NYJ,C-,51,7.8,8.0,4100
2025,14,Chimere Dike,WR,TEN,CLE,C-,52,8.2,7.9,4500
2025,14,Greg Dortch,WR,ARI,LAR,C-,53,11.3,7.8,4300
2025,14,Tee Higgins,WR,CIN,BUF,C,61,11.7,6.9,6200
2025,14,Marvin Harrison,WR,ARI,LAR,C-,70,13.6,5.5,5800
2025,14,Trey McBride,TE,ARI,LAR,A+,1,23.6,16.0,8000
2025,14,Brock Bowers,TE,LV,DEN,A,2,12.9,13.7,6000
2025,14,Tyler Warren,TE,IND,JAX,A,3,12.9,12.7,5000
2025,14,Travis Kelce,TE,KC,HOU,A-,4,16.0,11.7,5400
2025,14,Brenton Strange,TE,JAX,IND,B+,5,13.9,11.2,3900
2025,14,Jake Ferguson,TE,DAL,DET,B+,6,10.4,10.4,4900
2025,14,Kyle Pitts,TE,ATL,SEA,B,7,7.2,10.3,4200
2025,14,Harold Fannin,TE,CLE,TEN,B-,8,8.2,10.3,3700
2025,14,Juwan Johnson,TE,NO,TB,B-,9,12.9,10.2,4000
2025,14,Mark Andrews,TE,BAL,PIT,C+,10,9.2,10.1,4100
2025,14,Zach Ertz,TE,WAS,MIN,C,11,12.7,9.9,4500
2025,14,Oronde Gadsden,TE,LAC,PHI,C,12,4.7,9.9,4400
2025,14,Dalton Schultz,TE,HOU,KC,C,13,10.9,9.5,4000
2025,14,Darren Waller,TE,MIA,NYJ,C-,14,6.7,9.3,3800
