year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2024,16,Josh Allen,QB,BUF,NE,A+,1,40.5,25.1,8700
2024,16,Jalen Hurts,QB,PHI,WAS,A,2,21.3,23.2,7800
2024,16,Lamar Jackson,QB,BAL,PIT,A,3,28.0,22.1,8200
2024,16,Joe Burrow,QB,CIN,CLE,A,4,21.6,21.0,7500
2024,16,Jayden Daniels,QB,WAS,PHI,B+,5,28.2,20.0,7300
2024,16,Baker Mayfield,QB,TB,DAL,B+,6,20.2,19.6,6600
2024,16,Sam Darnold,QB,MIN,SEA,B,7,21.9,19.2,6500
2024,16,Kyler Murray,QB,ARI,CAR,B,8,14.7,18.7,6100
2024,16,Jordan Love,QB,GB,NO,B,9,16.5,18.2,6200
2024,16,Brock Purdy,QB,SF,MIA,B,10,9.8,17.9,6300
2024,16,Jared Goff,QB,DET,CHI,B-,11,23.0,17.5,6800
2024,16,Bo Nix,QB,DEN,LAC,B-,12,16.7,17.1,6100
2024,16,Tua Tagovailoa,QB,MIA,SF,C,13,21.0,16.9,6000
2024,16,Anthony Richardson,QB,IND,TEN,C+,14,17.5,16.8,5400
2024,16,Matthew Stafford,QB,LAR,NYJ,C,15,16.0,16.6,5900
2024,16,Aaron Rodgers,QB,NYJ,LAR,C,16,20.9,16.5,5600
2024,16,Justin Herbert,QB,LAC,DEN,C-,17,13.5,16.4,5800
2024,16,Saquon Barkley,RB,PHI,WAS,A+,1,22.4,21.6,8300
2024,16,Jahmyr Gibbs,RB,DET,CHI,A+,2,20.8,20.9,7500
2024,16,Bijan Robinson,RB,ATL,NYG,A+,3,20.0,19.9,8100
2024,16,Josh Jacobs,RB,GB,NO,A,4,24.1,19.9,7600
2024,16,James Conner,RB,ARI,CAR,A,5,18.5,19.6,7100
2024,16,Chase Brown,RB,CIN,CLE,A,6,23.2,19.2,7700
2024,16,DeVon Achane,RB,MIA,SF,A,7,18.8,18.5,7400
2024,16,Derrick Henry,RB,BAL,PIT,A-,8,11.6,18.2,8000
2024,16,Chuba Hubbard,RB,CAR,ARI,A,9,11.7,18.0,6800
2024,16,James Cook,RB,BUF,NE,A-,10,16.7,17.6,7000
2024,16,Kyren Williams,RB,LAR,NYJ,A-,11,16.6,17.0,7200
2024,16,Rico Dowdle,RB,DAL,TB,B+,12,15.5,15.8,6300
2024,16,Zach Charbonnet,RB,SEA,MIN,B+,13,16.6,15.6,6000
