year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2024,15,Josh Allen,QB,BUF,DET,A+,1,35.1,23.3,8500
2024,15,Lamar Jackson,QB,BAL,NYG,A,2,21.3,22.3,8300
2024,15,Jayden Daniels,QB,WAS,NO,A,3,25.1,21.5,7500
2024,15,Joe Burrow,QB,CIN,TEN,A,4,25.0,20.7,7300
2024,15,Jalen Hurts,QB,PHI,PIT,A,5,18.9,19.9,8000
2024,15,Brock Purdy,QB,SF,LAR,B+,6,14.6,19.5,6300
2024,15,Sam Darnold,QB,MIN,CHI,B+,7,24.7,19.0,6600
2024,15,Kyler Murray,QB,ARI,NE,B+,8,16.2,18.6,6000
2024,15,Tua Tagovailoa,QB,MIA,HOU,B,9,25.2,18.1,6100
2024,15,Justin Herbert,QB,LAC,TB,B,10,15.9,17.8,5900
2024,15,Bo Nix,QB,DEN,IND,B-,11,20.8,17.4,6300
2024,15,Jared Goff,QB,DET,BUF,B-,12,21.3,17.1,6500
2024,15,Patrick Mahomes,QB,KC,CLE,C+,13,19.3,16.8,6700
2024,15,CJ Stroud,QB,HOU,MIA,C,14,14.7,16.6,6200
2024,15,Jordan Love,QB,GB,SEA,C,15,17.4,16.4,6200
2024,15,Baker Mayfield,QB,TB,LAC,C,16,17.3,16.3,6400
2024,15,Anthony Richardson,QB,IND,DEN,C-,17,21.4,16.2,5800
2024,15,Derrick Henry,RB,BAL,NYG,A+,1,12.9,20.3,8300
2024,15,Bijan Robinson,RB,ATL,LV,A+,2,18.6,19.8,7600
2024,15,Saquon Barkley,RB,PHI,PIT,A+,3,28.5,19.5,8600
2024,15,Joe Mixon,RB,HOU,MIA,A,4,22.2,18.8,7800
2024,15,Chase Brown,RB,CIN,TEN,A,5,20.9,18.2,7200
2024,15,Chuba Hubbard,RB,CAR,DAL,A,6,12.7,18.2,6500
2024,15,Josh Jacobs,RB,GB,SEA,A,7,24.6,18.1,7400
2024,15,DeVon Achane,RB,MIA,HOU,A,8,20.3,18.1,7900
2024,15,Jahmyr Gibbs,RB,DET,BUF,A-,9,18.5,17.9,7500
2024,15,Alvin Kamara,RB,NO,WAS,A,10,13.9,17.1,7700
2024,15,Zach Charbonnet,RB,SEA,GB,A,11,13.8,17.0,6000
2024,15,James Conner,RB,ARI,NE,A-,12,14.4,16.9,6600
2024,15,Kyren Williams,RB,LAR,SF,B+,13,15.5,16.1,7300
2024,15,Rico Dowdle,RB,DAL,CAR,B+,14,13.2,15.2,6100
2024,15,Brian Robinson,RB,WAS,NO,B,15,11.8,15.1,6200
2024,15,Tony Pollard,RB,TEN,CIN,B,16,12.5,14.9,6700
2024,15,Aaron Jones,RB,MIN,CHI,B,17,12.9,14.6,6500
2024,15,David Montgomery,RB,DET,BUF,B,18,18.9,14.6,7000
2024,15,Jonathan Taylor,RB,IND,DEN,B,19,9.3,14.4,6900
2024,15,Rhamondre Stevenson,RB,NE,ARI,B,20,9.5,14.3,5900
2024,15,James Cook,RB,BUF,DET,B,21,14.5,14.0,6800
2024,15,Rachaad White,RB,TB,LAC,B-,22,15.1,13.8,5800
2024,15,Isiah Pacheco,RB,KC,CLE,B-,23,7.0,13.7,6000
2024,15,Breece Hall,RB,NYJ,JAX,B-,24,18.6,13.3,6400
2024,15,Isaac Guerendo,RB,SF,LAR,C+,25,8.9,13.1,6400
2024,15,Sincere McCormick,RB,LV,ATL,C+,26,7.6,13.0,4700
2024,15,Tyrone Tracy,RB,NYG,BAL,C+,27,14.3,12.9,5700
2024,15,DAndre Swift,RB,CHI,MIN,C+,28,10.1,12.5,5600
2024,15,Najee Harris,RB,PIT,PHI,C,29,14.2,10.4,5900
2024,15,Jaylen Warren,RB,PIT,PHI,C,30,11.5,10.3,5400
2024,15,Tank Bigsby,RB,JAX,NYJ,C,31,8.9,9.7,5100
2024,15,Travis Etienne,RB,JAX,NYJ,C,33,8.7,9.5,5600
2024,15,Jerome Ford,RB,CLE,KC,C,34,6.6,8.9,4900
2024,15,Jaleel McLaughlin,RB,DEN,IND,C-,35,5.2,8.8,4700
2024,15,Javonte Williams,RB,DEN,IND,C-,36,9.5,8.8,5200
2024,15,Gus Edwards,RB,LAC,TB,C-,37,5.9,8.4,5300
2024,15,Nick Chubb,RB,CLE,KC,C-,38,10.3,8.0,5500
2024,15,JaMarr Chase,WR,CIN,TEN,A+,1,30.7,20.7,8400
2024,15,Puka Nacua,WR,LAR,SF,A+,2,26.3,18.9,8000
2024,15,Amon-Ra St Brown,WR,DET,BUF,A+,3,18.4,18.6,7600
2024,15,Justin Jefferson,WR,MIN,CHI,A+,4,17.0,18.1,8200
2024,15,Nico Collins,WR,HOU,MIA,A+,5,16.5,18.0,8100
2024,15,Tyreek Hill,WR,MIA,HOU,A,6,19.3,16.3,7400
2024,15,AJ Brown,WR,PHI,PIT,A,7,13.6,16.2,8000
2024,15,Tee Higgins,WR,CIN,TEN,A,8,17.3,16.0,6800
2024,15,Davante Adams,WR,NYJ,JAX,A,9,18.9,16.0,6900
2024,15,Drake London,WR,ATL,LV,A,10,12.8,15.5,6400
2024,15,Terry McLaurin,WR,WAS,NO,A,11,16.8,15.4,7200
2024,15,Mike Evans,WR,TB,LAC,A,12,16.2,15.3,7100
2024,15,Courtland Sutton,WR,DEN,IND,A,13,20.2,15.2,6600
2024,15,Cooper Kupp,WR,LAR,SF,A,14,18.4,15.1,7000
2024,15,CeeDee Lamb,WR,DAL,CAR,A,15,15.7,15.1,7300
2024,15,Jauan Jennings,WR,SF,LAR,A,16,17.7,15.1,6200
2024,15,Jaxon Smith-Njigba,WR,SEA,GB,A,17,18.3,15.1,6300
2024,15,Garrett Wilson,WR,NYJ,JAX,A-,18,11.1,15.0,6500
2024,15,Ladd McConkey,WR,LAC,TB,A-,19,17.8,15.0,6300
2024,15,Jerry Jeudy,WR,CLE,KC,A-,20,24.7,14.8,6200
2024,15,Malik Nabers,WR,NYG,BAL,B+,21,14.2,14.7,6400
2024,15,Zay Flowers,WR,BAL,NYG,B+,22,11.1,14.6,6000
2024,15,Brian Thomas,WR,JAX,NYJ,B+,23,16.3,14.5,5800
2024,15,Calvin Ridley,WR,TEN,CIN,B,24,10.9,14.2,5900
2024,15,Jakobi Meyers,WR,LV,ATL,B,25,15.1,14.2,5700
2024,15,DJ Moore,WR,CHI,MIN,B,26,18.8,14.1,5800
2024,15,Jordan Addison,WR,MIN,CHI,B-,27,23.5,13.8,5900
2024,15,DK Metcalf,WR,SEA,GB,B-,28,10.9,13.6,6000
2024,15,Khalil Shakir,WR,BUF,DET,B-,29,14.5,13.2,6100
2024,15,Adam Thielen,WR,CAR,DAL,B,30,17.3,12.8,5400
2024,15,Jaylen Waddle,WR,MIA,HOU,C+,31,16.6,12.7,5700
2024,15,Marvin Harrison,WR,ARI,NE,C+,32,11.2,12.3,5500
2024,15,Deebo Samuel,WR,SF,LAR,C+,33,4.7,12.3,5700
2024,15,Darnell Mooney,WR,ATL,LV,C+,34,10.0,12.2,5600
2024,15,Jameson Williams,WR,DET,BUF,C+,35,14.3,12.1,5600
2024,15,Keenan Allen,WR,CHI,MIN,C+,36,15.5,12.1,5500
2024,15,Jayden Reed,WR,GB,SEA,C+,37,8.8,11.7,6100
2024,15,DeAndre Hopkins,WR,KC,CLE,C,38,11.7,11.5,5300
2024,15,DeVonta Smith,WR,PHI,PIT,C,39,10.3,11.3,5500
2024,15,Elijah Moore,WR,CLE,KC,C,40,12.3,11.3,5000
2024,15,Amari Cooper,WR,BUF,DET,C,41,9.1,11.3,5300
2024,15,Michael Pittman,WR,IND,DEN,C,42,11.5,11.0,5200
2024,15,Tank Dell,WR,HOU,MIA,C,43,7.8,10.9,5400
2024,15,Rome Odunze,WR,CHI,MIN,C,44,11.5,10.7,5300
2024,15,Quentin Johnston,WR,LAC,TB,C,45,8.0,10.6,5000
2024,15,Josh Downs,WR,IND,DEN,C,46,12.6,10.6,5100
2024,15,DeMario Douglas,WR,NE,ARI,C-,47,9.1,10.5,4500
2024,15,Christian Watson,WR,GB,SEA,C-,48,10.4,10.0,5200
2024,15,Xavier Legette,WR,CAR,DAL,C-,49,8.3,9.5,4700
2024,15,Nick Westbrook-Ikhine,WR,TEN,CIN,C-,50,14.1,9.5,4900
2024,15,Xavier Worthy,WR,KC,CLE,C-,51,11.5,9.5,5100
2024,15,Ray-Ray McCloud,WR,ATL,LV,C-,52,13.3,9.3,4500
2024,15,Romeo Doubs,WR,GB,SEA,C-,56,5.6,9.0,4600
2024,15,Brock Bowers,TE,LV,ATL,A+,1,19.4,16.1,6600
2024,15,Trey McBride,TE,ARI,NE,A,2,20.3,15.2,6000
2024,15,George Kittle,TE,SF,LAR,A,3,14.3,13.9,6100
2024,15,Travis Kelce,TE,KC,CLE,A,4,9.6,13.7,5700
2024,15,TJ Hockenson,TE,MIN,CHI,A-,5,9.0,11.8,4800
2024,15,Jonnu Smith,TE,MIA,HOU,B+,6,21.6,11.1,5400
2024,15,Sam LaPorta,TE,DET,BUF,B,7,10.3,11.0,4400
2024,15,Tucker Kraft,TE,GB,SEA,B,8,9.4,10.8,4000
2024,15,Hunter Henry,TE,NE,ARI,B-,9,12.1,9.9,4300
2024,15,Mark Andrews,TE,BAL,NYG,C+,10,12.9,9.7,4100
2024,15,Zach Ertz,TE,WAS,NO,C+,11,15.7,9.7,4000
2024,15,Cade Otton,TE,TB,LAC,C,12,6.7,9.6,4500
2024,15,Jake Ferguson,TE,DAL,CAR,C,13,4.2,9.6,3800
2024,15,Pat Freiermuth,TE,PIT,PHI,C-,14,11.5,9.6,3900
2024,15,Ravens,DST,BAL,NYG,A+,1,4.3,8.9,3900
2024,15,Vikings,DST,MIN,CHI,A,2,7.5,7.7,3300
2024,15,Chiefs,DST,KC,CLE,A-,3,3.3,7.4,3700
2024,15,Commanders,DST,WAS,NO,B+,4,4.3,7.4,3400
2024,15,Broncos,DST,DEN,IND,B+,5,14.3,7.3,3200
2024,15,Eagles,DST,PHI,PIT,B+,6,5.5,7.1,3100
2024,15,Cardinals,DST,ARI,NE,B,7,5.7,7.0,3000
2024,15,Jets,DST,NYJ,JAX,B,8,6.0,6.9,3000
2024,15,Bengals,DST,CIN,TEN,B,9,6.3,6.7,3500
2024,15,Chargers,DST,LAC,TB,B-,10,6.5,6.7,2900
2024,15,Falcons,DST,ATL,LV,B-,11,2.7,6.6,3200
2024,15,Packers,DST,GB,SEA,C+,12,7.0,6.4,3100
