year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2024,2,Josh Allen,QB,BUF,MIA,A+,1,31.2,22.1,8000
2024,2,Jalen Hurts,QB,PHI,ATL,A,2,18.4,22.0,7200
2024,2,Lamar Jackson,QB,BAL,LV,A,3,25.1,21.5,7700
2024,2,Patrick Mahomes,QB,KC,CIN,A,4,16.1,21.1,7000
2024,2,Anthony Richardson,QB,IND,GB,A-,5,27.1,20.5,6800
2024,2,Kyler Murray,QB,ARI,LAR,B+,6,14.2,19.8,6600
2024,2,Jayden Daniels,QB,WAS,NYG,B+,7,28.2,19.1,6200
2024,2,CJ Stroud,QB,HOU,CHI,B,8,18.7,18.6,7300
2024,2,Jared Goff,QB,DET,TB,B,9,12.4,18.2,6400
2024,2,Dak Prescott,QB,DAL,NO,B,10,11.5,17.9,6700
2024,2,Tua Tagovailoa,QB,MIA,BUF,B-,11,18.6,17.7,6600
2024,2,Brock Purdy,QB,SF,MIN,B-,12,10.3,17.6,6100
2024,2,Baker Mayfield,QB,TB,DET,C+,13,29.7,17.5,5900
2024,2,Matthew Stafford,QB,LAR,ARI,C+,14,15.7,17.4,6000
2024,2,Joe Burrow,QB,CIN,KC,C,15,8.1,17.2,6300
2024,2,Justin Fields,QB,PIT,DEN,C,16,11.9,17.0,5400
2024,2,Trevor Lawrence,QB,JAX,CLE,C-,17,11.3,16.8,5700
2024,2,Breece Hall,RB,NYJ,TEN,A+,1,18.3,20.5,7400
2024,2,Bijan Robinson,RB,ATL,PHI,A+,2,16.1,20.0,7800
2024,2,Saquon Barkley,RB,PHI,ATL,A+,3,33.2,17.4,7500
2024,2,Jonathan Taylor,RB,IND,GB,A,4,10.8,17.0,7700
2024,2,Kyren Williams,RB,LAR,ARI,A,5,14.4,16.9,6800
2024,2,Isiah Pacheco,RB,KC,CIN,A,6,15.8,16.6,6900
2024,2,Jahmyr Gibbs,RB,DET,TB,A,7,17.4,16.4,6600
2024,2,Joe Mixon,RB,HOU,CHI,A,8,26.8,16.0,7100
2024,2,Alvin Kamara,RB,NO,DAL,A,9,22.0,15.9,7000
2024,2,Derrick Henry,RB,BAL,LV,A-,10,10.6,15.8,6700
2024,2,James Cook,RB,BUF,MIA,A-,11,13.3,15.7,6600
2024,2,DeVon Achane,RB,MIA,BUF,A-,12,23.0,15.4,6500
2024,2,James Conner,RB,ARI,LAR,B+,13,19.3,15.1,6400
2024,2,Jordan Mason,RB,SF,MIN,B+,14,22.2,15.0,5200
2024,2,Josh Jacobs,RB,GB,IND,B,15,12.4,14.9,6500
2024,2,Rhamondre Stevenson,RB,NE,SEA,B,16,21.6,14.8,6200
2024,2,Rachaad White,RB,TB,DET,B,17,16.6,14.8,6300
2024,2,Travis Etienne,RB,JAX,CLE,B,18,11.9,14.7,7200
2024,2,JK Dobbins,RB,LAC,CAR,B,19,22.9,14.3,5400
2024,2,Aaron Jones,RB,MIN,SF,B,20,18.9,14.0,6100
2024,2,Zach Charbonnet,RB,SEA,NE,B,21,12.1,13.6,5800
2024,2,Jerome Ford,RB,CLE,JAX,B,22,18.9,13.0,5900
2024,2,Brian Robinson,RB,WAS,NYG,B-,23,17.9,12.8,5800
2024,2,David Montgomery,RB,DET,TB,B-,24,16.3,12.7,6000
2024,2,Najee Harris,RB,PIT,DEN,B-,25,8.9,12.4,5500
2024,2,Tony Pollard,RB,TEN,NYJ,C+,26,18.4,12.4,5900
2024,2,DAndre Swift,RB,CHI,HOU,C+,27,5.0,12.3,5800
2024,2,Devin Singletary,RB,NYG,WAS,C+,28,9.2,12.3,5700
2024,2,Zack Moss,RB,CIN,KC,C,29,14.1,11.8,5600
2024,2,Javonte Williams,RB,DEN,PIT,C,30,3.3,11.3,5500
2024,2,Ezekiel Elliott,RB,DAL,NO,C,31,12.9,11.0,5700
2024,2,Austin Ekeler,RB,WAS,NYG,C,32,10.2,10.7,5700
2024,2,Tyjae Spears,RB,TEN,NYJ,C,33,7.2,10.7,5000
2024,2,Jaleel McLaughlin,RB,DEN,PIT,C,34,5.8,10.6,4500
2024,2,Zamir White,RB,LV,BAL,C,35,4.6,9.9,5600
2024,2,Chuba Hubbard,RB,CAR,LAC,C-,36,1.4,9.1,5300
2024,2,Gus Edwards,RB,LAC,CAR,C-,37,3.8,9.0,5200
2024,2,Chase Brown,RB,CIN,KC,C-,38,5.3,8.8,4700
2024,2,Tyreek Hill,WR,MIA,BUF,A+,1,26.0,21.5,8700
2024,2,CeeDee Lamb,WR,DAL,NO,A+,2,13.6,20.4,8800
2024,2,Cooper Kupp,WR,LAR,ARI,A+,3,32.0,20.2,7600
2024,2,Amon-Ra St Brown,WR,DET,TB,A+,4,4.3,18.5,8100
2024,2,Justin Jefferson,WR,MIN,SF,A+,5,15.9,17.8,8300
2024,2,JaMarr Chase,WR,CIN,KC,A,6,12.2,17.8,7800
2024,2,Rashee Rice,WR,KC,CIN,A,7,17.3,17.7,6700
2024,2,Garrett Wilson,WR,NYJ,TEN,A,8,12.0,17.4,7100
2024,2,Mike Evans,WR,TB,DET,A,9,23.1,16.4,7500
2024,2,DeVonta Smith,WR,PHI,ATL,A,10,15.4,16.4,6700
2024,2,Deebo Samuel,WR,SF,MIN,A,11,18.7,15.9,6800
2024,2,Jaylen Waddle,WR,MIA,BUF,A,12,16.2,15.5,6400
2024,2,Nico Collins,WR,HOU,CHI,A,13,17.7,15.1,7000
2024,2,Malik Nabers,WR,NYG,WAS,A,14,11.6,15.1,5900
2024,2,Chris Godwin,WR,TB,DET,A,15,22.3,14.9,6000
2024,2,Michael Pittman,WR,IND,GB,A-,16,7.1,14.8,6600
2024,2,Brandon Aiyuk,WR,SF,MIN,A-,17,4.8,14.8,6500
2024,2,DJ Moore,WR,CHI,HOU,A-,18,10.0,14.8,6500
2024,2,Chris Olave,WR,NO,DAL,A-,19,3.1,14.5,6400
2024,2,Davante Adams,WR,LV,BAL,A-,20,10.9,14.3,7300
2024,2,Drake London,WR,ATL,PHI,A-,21,3.5,14.0,6100
2024,2,Marvin Harrison,WR,ARI,LAR,A-,22,1.4,13.9,6900
2024,2,Stefon Diggs,WR,HOU,CHI,B+,23,21.9,13.9,6800
