year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2024,3,Josh Allen,QB,BUF,JAX,A+,1,20.5,22.0,8000
2024,3,Jalen Hurts,QB,PHI,NO,A,2,21.6,21.5,7300
2024,3,Lamar Jackson,QB,BAL,DAL,A,3,21.3,21.0,7500
2024,3,Kyler Murray,QB,ARI,DET,A,4,21.4,20.5,6900
2024,3,Patrick Mahomes,QB,KC,ATL,A-,5,15.5,19.9,7000
2024,3,Joe Burrow,QB,CIN,WAS,A-,6,12.7,19.3,6100
2024,3,CJ Stroud,QB,HOU,MIN,B+,7,16.5,18.9,7100
2024,3,Jayden Daniels,QB,WAS,CIN,B+,8,20.8,18.4,6200
2024,3,Anthony Richardson,QB,IND,CHI,B,9,20.0,18.0,6700
2024,3,Dak Prescott,QB,DAL,BAL,B,10,13.2,17.7,6600
2024,3,Jared Goff,QB,DET,ARI,B-,11,11.6,17.5,6500
2024,3,Derek Carr,QB,NO,PHI,B-,12,22.1,17.2,5800
2024,3,Baker Mayfield,QB,TB,DEN,C+,13,24.8,17.0,6300
2024,3,Geno Smith,QB,SEA,MIA,C+,14,18.4,16.8,5600
2024,3,Brock Purdy,QB,SF,LAR,C,15,12.7,16.6,6000
2024,3,Sam Darnold,QB,MIN,HOU,C,16,18.3,16.3,5500
2024,3,Deshaun Watson,QB,CLE,NYG,C-,17,14.1,16.1,5500
2024,3,Justin Fields,QB,PIT,LAC,C-,18,11.7,16.0,5400
2024,3,Bijan Robinson,RB,ATL,KC,A+,1,16.2,20.3,7600
2024,3,Alvin Kamara,RB,NO,PHI,A+,2,33.0,19.6,7500
2024,3,Breece Hall,RB,NYJ,NE,A+,3,21.4,19.1,7400
2024,3,Jordan Mason,RB,SF,LAR,A,4,19.8,18.7,6200
2024,3,Saquon Barkley,RB,PHI,NO,A,5,25.4,17.8,7700
2024,3,DeVon Achane,RB,MIA,SEA,A,6,26.3,17.5,7000
2024,3,Jahmyr Gibbs,RB,DET,ARI,A,7,17.5,17.3,6800
2024,3,Jonathan Taylor,RB,IND,CHI,A,8,13.2,16.1,7300
2024,3,Zach Charbonnet,RB,SEA,MIA,A-,9,15.0,16.0,6000
2024,3,James Cook,RB,BUF,JAX,A-,10,20.9,15.7,6800
2024,3,Josh Jacobs,RB,GB,TEN,A-,11,12.8,15.3,6700
2024,3,Rhamondre Stevenson,RB,NE,NYJ,B+,12,19.3,15.2,6300
2024,3,Kyren Williams,RB,LAR,SF,B+,13,14.8,15.2,7100
2024,3,James Conner,RB,ARI,DET,B+,14,19.4,14.8,6600
2024,3,Tony Pollard,RB,TEN,GB,B+,15,16.8,14.7,6000
2024,3,Derrick Henry,RB,BAL,DAL,B,16,13.6,14.6,6500
2024,3,Travis Etienne,RB,JAX,BUF,B,17,13.4,14.5,7000
2024,3,Rachaad White,RB,TB,DEN,B,18,10.0,13.7,6100
2024,3,Aaron Jones,RB,MIN,HOU,B,19,14.4,13.5,5900
2024,3,Zack Moss,RB,CIN,WAS,B-,20,9.9,13.5,5600
2024,3,David Montgomery,RB,DET,ARI,B-,21,16.7,13.5,6100
2024,3,Brian Robinson,RB,WAS,CIN,B-,22,16.3,12.8,5900
2024,3,DAndre Swift,RB,CHI,IND,B-,23,6.6,12.7,5600
2024,3,Zamir White,RB,LV,CAR,C+,24,5.7,12.7,5500
2024,3,Jerome Ford,RB,CLE,NYG,C+,25,13.2,12.5,5800
2024,3,JK Dobbins,RB,LAC,PIT,C+,26,21.5,12.4,6400
2024,3,Cam Akers,RB,HOU,MIN,C+,27,2.5,12.3,4700
2024,3,Devin Singletary,RB,NYG,CLE,C,28,11.9,11.7,5700
2024,3,Chuba Hubbard,RB,CAR,LV,C,29,6.5,11.7,5200
2024,3,Javonte Williams,RB,DEN,TB,C,30,7.4,11.5,5400
2024,3,Najee Harris,RB,PIT,LAC,C,31,8.7,11.4,5600
2024,3,Austin Ekeler,RB,WAS,CIN,C,32,10.9,10.2,5700
2024,3,Samaje Perine,RB,KC,ATL,C,33,1.7,10.0,5500
2024,3,Carson Steele,RB,KC,ATL,C,34,0.4,9.4,5400
2024,3,Jaylen Warren,RB,PIT,LAC,C,35,6.1,9.3,5300
2024,3,DOnta Foreman,RB,CLE,NYG,C-,36,3.1,9.2,4400
2024,3,Ezekiel Elliott,RB,DAL,BAL,C-,37,9.1,9.0,5500
2024,3,Rico Dowdle,RB,DAL,BAL,C-,38,7.1,8.7,4800
2024,3,CeeDee Lamb,WR,DAL,BAL,A+,1,16.3,19.4,8800
2024,3,JaMarr Chase,WR,CIN,WAS,A+,2,9.9,19.1,7500
2024,3,Amon-Ra St Brown,WR,DET,ARI,A+,3,13.6,18.7,8200
2024,3,Justin Jefferson,WR,MIN,HOU,A+,4,19.6,18.7,8600
2024,3,Rashee Rice,WR,KC,ATL,A+,5,17.9,17.6,7000
2024,3,Nico Collins,WR,HOU,MIN,A,6,22.6,17.4,7300
2024,3,DeVonta Smith,WR,PHI,NO,A,7,18.0,17.3,6900
2024,3,Davante Adams,WR,LV,CAR,A,8,18.5,16.8,7600
2024,3,Brandon Aiyuk,WR,SF,LAR,A,9,6.6,16.0,6200
2024,3,Garrett Wilson,WR,NYJ,NE,A,10,11.1,15.9,7100
2024,3,Chris Godwin,WR,TB,DEN,A,11,23.5,15.7,6500
2024,3,Chris Olave,WR,NO,PHI,A,12,8.0,15.7,6300
2024,3,Marvin Harrison,WR,ARI,DET,A,13,15.2,15.6,7400
2024,3,Tyreek Hill,WR,MIA,SEA,A,14,16.3,15.3,8400
2024,3,Malik Nabers,WR,NYG,CLE,A,15,20.2,15.0,6400
2024,3,Mike Evans,WR,TB,DEN,A,16,15.2,14.9,7200
2024,3,Zay Flowers,WR,BAL,DAL,A,17,16.6,14.8,6800
2024,3,DK Metcalf,WR,SEA,MIA,A-,18,17.4,14.5,6300
2024,3,DJ Moore,WR,CHI,IND,A-,19,10.7,14.3,6700
2024,3,Drake London,WR,ATL,KC,A-,20,10.5,13.2,5800
2024,3,Jaxon Smith-Njigba,WR,SEA,MIA,A-,21,13.8,13.2,5400
2024,3,Stefon Diggs,WR,HOU,MIN,B+,22,14.8,13.1,6600
2024,3,Jameson Williams,WR,DET,ARI,B+,23,19.4,13.1,5800
2024,3,Rashid Shaheed,WR,NO,PHI,B,24,18.6,12.9,5300
2024,3,Tank Dell,WR,HOU,MIN,B,25,5.6,12.8,5200
2024,3,Michael Pittman,WR,IND,CHI,B,26,6.1,12.7,6100
2024,3,Amari Cooper,WR,CLE,NYG,B-,27,3.9,12.5,6100
2024,3,George Pickens,WR,PIT,LAC,C+,28,9.2,11.7,5700
2024,3,Xavier Worthy,WR,KC,ATL,C+,29,12.5,11.7,6000
2024,3,Calvin Ridley,WR,TEN,GB,B-,30,16.4,11.7,6000
2024,3,Terry McLaurin,WR,WAS,CIN,C+,31,6.0,11.6,5600
2024,3,Tee Higgins,WR,CIN,WAS,C+,32,0.0,11.4,5900
2024,3,Jaylen Waddle,WR,MIA,SEA,C+,33,12.4,11.4,6000
2024,3,Diontae Johnson,WR,CAR,LV,C+,34,4.2,11.3,4900
2024,3,Brian Thomas,WR,JAX,BUF,C+,35,13.1,11.3,4900
2024,3,Christian Kirk,WR,JAX,BUF,C+,36,2.5,11.3,5200
2024,3,Demarcus Robinson,WR,LAR,SF,C,37,7.6,11.0,5000
2024,3,Khalil Shakir,WR,BUF,JAX,C,38,11.9,10.9,5500
2024,3,Jerry Jeudy,WR,CLE,NYG,C,39,11.9,10.5,5200
2024,3,Courtland Sutton,WR,DEN,TB,C,40,5.7,10.4,5400
2024,3,Tyler Lockett,WR,SEA,MIA,C,41,8.6,10.2,5100
2024,3,Ladd McConkey,WR,LAC,PIT,C,42,9.8,10.2,5000
2024,3,Brandin Cooks,WR,DAL,BAL,C,43,9.1,10.1,5500
2024,3,Gabe Davis,WR,JAX,BUF,C,44,8.3,10.1,4200
2024,3,Rome Odunze,WR,CHI,IND,C,45,3.7,10.0,4200
2024,3,Adam Thielen,WR,CAR,LV,C,46,6.0,10.0,5000
2024,3,Jauan Jennings,WR,SF,LAR,C-,47,8.6,9.7,4100
2024,3,Jakobi Meyers,WR,LV,CAR,C-,48,8.2,9.5,5100
2024,3,Jayden Reed,WR,GB,TEN,C-,49,19.9,9.4,5900
2024,3,Keon Coleman,WR,BUF,JAX,C-,50,4.6,9.4,4800
2024,3,Darnell Mooney,WR,ATL,KC,C-,51,10.2,9.3,4100
2024,3,Quentin Johnston,WR,LAC,PIT,C-,52,14.5,9.2,4600
2024,3,Trey McBride,TE,ARI,DET,A+,1,13.4,13.7,6200
2024,3,Brock Bowers,TE,LV,CAR,A,2,15.3,13.7,5400
2024,3,Travis Kelce,TE,KC,ATL,A,3,4.0,12.9,6100
2024,3,Sam LaPorta,TE,DET,ARI,A-,4,5.9,12.4,6000
2024,3,Dalton Kincaid,TE,BUF,JAX,B+,5,4.7,11.3,5300
2024,3,Mark Andrews,TE,BAL,DAL,B,6,6.3,11.3,4800
2024,3,Dallas Goedert,TE,PHI,NO,B,7,7.0,11.2,4600
2024,3,Kyle Pitts,TE,ATL,KC,B,8,8.3,10.9,5000
2024,3,Jake Ferguson,TE,DAL,BAL,B-,9,4.5,10.3,4500
2024,3,Isaiah Likely,TE,BAL,DAL,C+,10,15.4,9.5,4700
2024,3,Hunter Henry,TE,NE,NYJ,C,11,11.4,8.9,4300
2024,3,Zach Ertz,TE,WAS,CIN,C,12,8.0,8.7,3700
2024,3,Dalton Schultz,TE,HOU,MIN,C,13,4.4,8.0,4300
2024,3,Mike Gesicki,TE,CIN,WAS,C,14,10.5,8.0,3600
2024,3,Pat Freiermuth,TE,PIT,LAC,C-,15,7.3,7.9,4000
2024,3,Colby Parkinson,TE,LAR,SF,C-,16,5.5,7.9,3600
2024,3,Browns,DST,CLE,NYG,A+,1,6.0,8.4,3800
2024,3,Jets,DST,NYJ,NE,A,2,6.5,7.8,3500
2024,3,49ers,DST,SF,LAR,A,3,7.0,7.5,3500
2024,3,Buccaneers,DST,TB,DEN,A,4,4.0,7.4,3000
2024,3,Steelers,DST,PIT,LAC,B+,5,12.5,7.2,3300
2024,3,Seahawks,DST,SEA,MIA,B+,6,7.5,7.2,3500
2024,3,Raiders,DST,LV,CAR,B+,7,2.5,7.1,3700
2024,3,Packers,DST,GB,TEN,B,8,9.0,7.1,3300
2024,3,Chargers,DST,LAC,PIT,B-,9,12.5,7.0,3600
2024,3,Bills,DST,BUF,JAX,B-,10,11.5,7.0,2900
2024,3,Chiefs,DST,KC,ATL,B-,11,7.5,7.0,3400
2024,3,Titans,DST,TEN,GB,C+,12,5.0,6.9,2700
2024,3,Bears,DST,CHI,IND,C+,13,15.0,6.5,2600
2024,3,Colts,DST,IND,CHI,C,14,4.0,6.5,3200
2024,3,Bengals,DST,CIN,WAS,C,15,5.5,6.3,3100
2024,3,Texans,DST,HOU,MIN,C-,16,9.5,6.3,3000
2024,3,Ravens,DST,BAL,DAL,C-,17,5.5,6.2,3100
