year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2025,8,Patrick Mahomes,QB,KC,WAS,A+,1,28.2,23.6,7000
2025,8,Josh Allen,QB,BUF,CAR,A,2,21.2,22.9,7500
2025,8,Jalen Hurts,QB,PHI,NYG,A,3,21.1,22.0,6600
2025,8,Bo Nix,QB,DEN,DAL,A,4,24.5,21.2,6000
2025,8,Baker Mayfield,QB,TB,NO,A,5,19.6,20.5,6400
2025,8,Daniel Jones,QB,IND,TEN,B+,6,18.7,19.7,6100
2025,8,Drake Maye,QB,NE,CLE,B+,7,21.4,19.2,6200
2025,8,Dak Prescott,QB,DAL,DEN,B,8,26.2,18.7,6500
2025,8,Justin Herbert,QB,LAC,MIN,B,9,19.7,18.3,6300
2025,8,Caleb Williams,QB,CHI,BAL,B,10,12.8,17.9,5600
2025,8,Jordan Love,QB,GB,PIT,B,11,18.6,17.5,5900
2025,8,Jaxson Dart,QB,NYG,PHI,B-,12,22.6,17.3,5500
2025,8,Joe Flacco,QB,CIN,NYJ,B-,13,16.0,17.0,5400
2025,8,Justin Fields,QB,NYJ,CIN,C+,14,15.5,16.7,5000
2025,8,Aaron Rodgers,QB,PIT,GB,C,15,18.3,16.4,5700
2025,8,CJ Stroud,QB,HOU,SF,C,16,20.6,16.1,5100
2025,8,Marcus Mariota,QB,WAS,KC,C,17,11.1,15.8,5200
2025,8,Spencer Rattler,QB,NO,TB,C-,18,13.7,15.6,4700
2025,8,Bijan Robinson,RB,ATL,MIA,A+,1,28.4,25.2,8800
2025,8,Christian McCaffrey,RB,SF,HOU,A+,2,29.3,23.3,9000
2025,8,Jonathan Taylor,RB,IND,TEN,A+,3,26.0,21.5,9500
2025,8,DeVon Achane,RB,MIA,ATL,A,4,19.4,19.2,7300
2025,8,Rachaad White,RB,TB,NO,A,5,14.4,18.3,6400
2025,8,Josh Jacobs,RB,GB,PIT,A,6,27.5,16.4,7500
2025,8,Saquon Barkley,RB,PHI,NYG,A,7,12.3,16.1,7600
2025,8,Javonte Williams,RB,DAL,DEN,A,8,18.3,16.0,6800
2025,8,James Cook,RB,BUF,CAR,A,9,12.0,15.3,6700
2025,8,Derrick Henry,RB,BAL,CHI,A-,10,10.4,14.9,6000
2025,8,Breece Hall,RB,NYJ,CIN,A-,11,11.7,14.9,6100
2025,8,Jaylen Warren,RB,PIT,GB,A-,12,14.1,14.8,5500
2025,8,Quinshon Judkins,RB,CLE,NE,B+,13,16.3,14.6,6500
2025,8,Cam Skattebo,RB,NYG,PHI,B+,14,19.2,14.1,6600
2025,8,JK Dobbins,RB,DEN,DAL,B,15,10.0,13.6,5800
2025,8,Chase Brown,RB,CIN,NYJ,B,16,10.7,13.4,5400
2025,8,Alvin Kamara,RB,NO,TB,B,17,9.8,12.4,5700
2025,8,DAndre Swift,RB,CHI,BAL,B,18,20.8,12.2,5900
2025,8,Kimani Vidal,RB,LAC,MIN,B,19,8.3,12.0,5300
2025,8,Rico Dowdle,RB,CAR,BUF,B,20,20.2,11.9,6300
2025,8,Isiah Pacheco,RB,KC,WAS,B-,21,10.0,11.7,5100
2025,8,Rhamondre Stevenson,RB,NE,CLE,B-,22,9.6,11.7,5500
2025,8,Jordan Mason,RB,MIN,LAC,B-,23,11.5,10.8,6200
2025,8,Jacory Croskey-Merritt,RB,WAS,KC,C+,24,11.2,10.6,5600
2025,8,Woody Marks,RB,HOU,SF,C+,25,14.3,10.4,5100
2025,8,Chuba Hubbard,RB,CAR,BUF,C+,26,8.7,10.4,5300
2025,8,Tony Pollard,RB,TEN,IND,C+,27,11.1,9.8,5200
2025,8,Tyler Allgeier,RB,ATL,MIA,C+,28,7.8,8.7,4800
2025,8,Tyjae Spears,RB,TEN,IND,C,29,5.8,8.7,4700
2025,8,Aaron Jones,RB,MIN,LAC,C,30,0.0,7.6,5200
2025,8,Nick Chubb,RB,HOU,SF,C,31,7.5,7.3,5000
2025,8,RJ Harvey,RB,DEN,DAL,C,32,9.9,7.2,4800
2025,8,Brashard Smith,RB,KC,WAS,C,33,7.9,6.9,4100
2025,8,Kyle Monangai,RB,CHI,BAL,C,34,8.2,6.8,4900
2025,8,Kenneth Gainwell,RB,PIT,GB,C,35,14.8,6.7,5000
2025,8,Justice Hill,RB,BAL,CHI,C,36,13.4,6.4,4500
2025,8,Samaje Perine,RB,CIN,NYJ,C-,37,3.4,6.3,4400
2025,8,Tyrone Tracy,RB,NYG,PHI,C-,38,5.6,5.8,4600
2025,8,TreVeyon Henderson,RB,NE,CLE,C-,39,5.6,5.3,4500
2025,8,Isaiah Davis,RB,NYJ,CIN,C-,40,4.3,5.1,4100
2025,8,JaMarr Chase,WR,CIN,NYJ,A+,1,24.9,20.0,8100
2025,8,CeeDee Lamb,WR,DAL,DEN,A+,2,22.0,17.3,7800
2025,8,Rashee Rice,WR,KC,WAS,A+,3,23.2,17.1,6600
2025,8,Justin Jefferson,WR,MIN,LAC,A+,4,18.3,16.8,7700
2025,8,Emeka Egbuka,WR,TB,NO,A+,5,16.4,16.7,7000
2025,8,Drake London,WR,ATL,MIA,A,6,21.7,16.5,6400
2025,8,Chris Olave,WR,NO,TB,A,7,16.4,15.9,5800
2025,8,DeVonta Smith,WR,PHI,NYG,A,8,16.6,15.2,5900
2025,8,Courtland Sutton,WR,DEN,DAL,A,9,14.1,15.5,6200
2025,8,Rome Odunze,WR,CHI,BAL,A,10,9.1,14.9,6300
2025,8,Ladd McConkey,WR,LAC,MIN,A,11,13.9,14.9,5700
2025,8,George Pickens,WR,DAL,DEN,A,12,22.8,14.6,7100
