year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2024,10,Lamar Jackson,QB,BAL,CIN,A+,1,25.5,23.2,8000
2024,10,Jalen Hurts,QB,PHI,DAL,A,2,27.4,22.1,7800
2024,10,Josh Allen,QB,BUF,IND,A,3,22.3,21.3,7700
2024,10,Brock Purdy,QB,SF,TB,A,4,23.4,20.6,6500
2024,10,Jayden Daniels,QB,WAS,PIT,A,5,17.1,19.9,7500
2024,10,Joe Burrow,QB,CIN,BAL,A,6,19.7,19.2,7000
2024,10,Sam Darnold,QB,MIN,JAX,B+,7,18.8,18.4,6200
2024,10,Patrick Mahomes,QB,KC,DEN,B,8,19.3,17.9,6600
2024,10,Matthew Stafford,QB,LAR,MIA,B,9,16.6,17.3,5600
2024,10,Kirk Cousins,QB,ATL,NO,B,10,17.0,17.0,6700
2024,10,Baker Mayfield,QB,TB,SF,B-,11,25.1,16.8,6400
2024,10,Aaron Rodgers,QB,NYJ,ARI,C+,12,17.9,16.6,5700
2024,10,Tua Tagovailoa,QB,MIA,LAR,C,13,16.1,16.5,6300
2024,10,CJ Stroud,QB,HOU,DET,C,14,12.2,16.3,6800
2024,10,Jared Goff,QB,DET,HOU,C,15,17.3,16.1,6200
2024,10,Daniel Jones,QB,NYG,CAR,C,16,12.7,16.0,5300
2024,10,Kyler Murray,QB,ARI,NYJ,C,17,15.1,15.8,6300
2024,10,Justin Herbert,QB,LAC,TEN,C-,18,18.0,15.7,5200
2024,10,Saquon Barkley,RB,PHI,DAL,A+,1,19.8,21.0,8300
2024,10,Bijan Robinson,RB,ATL,NO,A+,2,23.5,19.9,7700
2024,10,Derrick Henry,RB,BAL,CIN,A+,3,22.9,19.2,8200
2024,10,Alvin Kamara,RB,NO,ATL,A,4,17.9,19.0,8100
2024,10,DeVon Achane,RB,MIA,LAR,A,5,23.1,18.9,7100
2024,10,Breece Hall,RB,NYJ,ARI,A,6,17.1,18.7,7600
2024,10,Kyren Williams,RB,LAR,MIA,A,7,17.6,18.4,7800
2024,10,Christian McCaffrey,RB,SF,TB,A,8,0.0,18.3,8000
2024,10,Aaron Jones,RB,MIN,JAX,A-,9,14.8,18.0,6700
2024,10,Joe Mixon,RB,HOU,DET,A-,10,23.4,17.9,7900
2024,10,Jonathan Taylor,RB,IND,BUF,A-,11,13.8,16.9,7500
2024,10,DAndre Swift,RB,CHI,NE,B+,12,18.3,16.6,6500
2024,10,Jahmyr Gibbs,RB,DET,HOU,B+,13,19.8,16.2,7300
2024,10,Tyrone Tracy,RB,NYG,CAR,B+,14,15.0,16.1,6000
2024,10,James Conner,RB,ARI,NYJ,B,15,13.4,15.8,6500
2024,10,James Cook,RB,BUF,IND,B,16,16.5,15.5,7000
2024,10,Chase Brown,RB,CIN,BAL,B,17,15.0,15.5,6000
2024,10,Kareem Hunt,RB,KC,DEN,B,18,18.1,15.2,6600
2024,10,JK Dobbins,RB,LAC,TEN,B,19,17.3,14.6,7200
2024,10,Chuba Hubbard,RB,CAR,NYG,B,20,14.2,14.1,6700
2024,10,Austin Ekeler,RB,WAS,PIT,B,21,10.0,14.1,5800
2024,10,Rhamondre Stevenson,RB,NE,CHI,B-,22,16.8,13.9,6400
2024,10,Tony Pollard,RB,TEN,LAC,B-,23,14.9,13.3,6900
2024,10,Najee Harris,RB,PIT,WAS,B-,24,17.5,13.1,6200
2024,10,David Montgomery,RB,DET,HOU,C+,25,14.1,12.8,6600
2024,10,Rachaad White,RB,TB,SF,C+,26,19.1,12.4,5900
2024,10,Rico Dowdle,RB,DAL,PHI,C+,27,16.1,11.7,6100
2024,10,Javonte Williams,RB,DEN,KC,C,28,12.6,11.3,6000
2024,10,Jaylen Warren,RB,PIT,WAS,C,30,6.9,9.4,5300
2024,10,Raheem Mostert,RB,MIA,LAR,C,31,9.3,8.6,5900
2024,10,Travis Etienne,RB,JAX,MIN,C,32,2.5,8.3,5800
2024,10,Tank Bigsby,RB,JAX,MIN,C,33,9.8,7.8,5700
2024,10,Tyler Allgeier,RB,ATL,NO,C,34,9.1,7.5,5200
2024,10,Justice Hill,RB,BAL,CIN,C-,35,6.7,7.0,5200
2024,10,Ray Davis,RB,BUF,IND,C-,36,12.5,6.3,5500
2024,10,Roschon Johnson,RB,CHI,NE,C-,37,5.3,6.2,4600
2024,10,Devin Singletary,RB,NYG,CAR,C-,38,2.7,6.0,5600
2024,10,Justin Jefferson,WR,MIN,JAX,A+,1,20.8,20.8,8800
2024,10,JaMarr Chase,WR,CIN,BAL,A+,2,15.4,20.4,8400
2024,10,Malik Nabers,WR,NYG,CAR,A+,3,12.4,17.6,7600
