year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2025,3,Lamar Jackson,QB,BAL,DET,A+,1,27.9,24.0,7300
2025,3,Josh Allen,QB,BUF,MIA,A+,2,25.3,22.8,7400
2025,3,Jalen Hurts,QB,PHI,LAR,A,3,17.9,21.6,6800
2025,3,Dak Prescott,QB,DAL,CHI,A-,4,15.5,20.7,5900
2025,3,Patrick Mahomes,QB,KC,NYG,A-,5,24.6,19.8,6500
2025,3,Baker Mayfield,QB,TB,NYJ,B+,6,21.3,19.3,6600
2025,3,Justin Herbert,QB,LAC,DEN,B,7,23.4,18.9,6200
2025,3,Drake Maye,QB,NE,PIT,B,8,21.6,18.5,5300
2025,3,Caleb Williams,QB,CHI,DAL,B,9,21.1,18.3,5600
2025,3,Kyler Murray,QB,ARI,SF,B,10,16.7,18.1,6100
2025,3,Daniel Jones,QB,IND,TEN,B-,11,26.2,17.8,5400
2025,3,Bo Nix,QB,DEN,LAC,B-,12,15.0,17.5,5800
2025,3,Jordan Love,QB,GB,CLE,C+,13,18.4,17.2,6300
2025,3,Jared Goff,QB,DET,BAL,C+,14,23.0,16.9,6400
2025,3,Jayden Daniels,QB,WAS,LV,C,15,19.9,16.5,7000
2025,3,Trevor Lawrence,QB,JAX,HOU,C,16,16.3,16.3,5400
2025,3,Michael Penix,QB,ATL,CAR,C-,17,14.7,16.1,5600
2025,3,Christian McCaffrey,RB,SF,ARI,A+,1,23.0,21.3,8200
2025,3,Bijan Robinson,RB,ATL,CAR,A+,2,22.1,20.5,7900
2025,3,Saquon Barkley,RB,PHI,LAR,A,3,17.9,19.2,7800
2025,3,Jonathan Taylor,RB,IND,TEN,A,4,21.2,19.0,7200
2025,3,DeVon Achane,RB,MIA,BUF,A,5,21.4,18.0,6800
2025,3,Jahmyr Gibbs,RB,DET,BAL,A,6,17.2,17.7,7600
2025,3,Derrick Henry,RB,BAL,DET,A,7,15.8,17.4,7500
2025,3,James Cook,RB,BUF,MIA,A,9,23.9,16.3,6600
2025,3,Josh Jacobs,RB,GB,CLE,A-,10,14.2,15.8,7000
2025,3,Chase Brown,RB,CIN,MIN,A-,11,10.8,15.5,6900
2025,3,Alvin Kamara,RB,NO,SEA,B+,12,14.9,15.1,6300
2025,3,Travis Etienne,RB,JAX,HOU,B+,13,17.8,15.0,5900
2025,3,Jordan Mason,RB,MIN,CIN,B+,14,7.2,14.9,5400
2025,3,Javonte Williams,RB,DAL,CHI,B+,15,22.7,14.8,6100
2025,3,Ashton Jeanty,RB,LV,WAS,B,16,9.7,14.6,6700
2025,3,Breece Hall,RB,NYJ,TB,B,17,11.2,14.5,6000
2025,3,Kenneth Walker,RB,SEA,NO,B,18,12.1,13.9,5800
2025,3,James Conner,RB,ARI,SF,B,19,13.3,13.9,6500
2025,3,Kyren Williams,RB,LAR,PHI,B,20,12.0,13.6,6400
2025,3,Jaylen Warren,RB,PIT,NE,B-,21,15.7,13.1,5500
2025,3,Tony Pollard,RB,TEN,IND,B-,22,8.6,12.9,5700
2025,3,Chuba Hubbard,RB,CAR,ATL,B-,23,18.3,12.8,6200
2025,3,DAndre Swift,RB,CHI,DAL,B-,24,11.7,12.0,5600
2025,3,JK Dobbins,RB,DEN,LAC,C+,25,15.2,12.0,5700
2025,3,Omarion Hampton,RB,LAC,DEN,C+,26,5.8,11.5,5600
2025,3,Jacory Croskey-Merritt,RB,WAS,LV,C,27,8.0,10.8,5500
2025,3,David Montgomery,RB,DET,BAL,C,28,10.7,10.6,5600
2025,3,Rhamondre Stevenson,RB,NE,PIT,C,29,13.0,10.4,5300
2025,3,Isiah Pacheco,RB,KC,NYG,C,30,4.4,10.4,5200
2025,3,Nick Chubb,RB,HOU,JAX,C,31,10.6,10.1,5200
2025,3,Zach Charbonnet,RB,SEA,NO,C,32,5.9,9.9,4800
2025,3,Quinshon Judkins,RB,CLE,GB,C,33,10.1,9.7,5000
2025,3,Cam Skattebo,RB,NYG,KC,C,34,8.4,9.7,5000
2025,3,TreVeyon Henderson,RB,NE,PIT,C,35,8.6,9.4,5400
2025,3,Bhayshul Tuten,RB,JAX,HOU,C-,36,8.3,9.3,4900
2025,3,Tyrone Tracy,RB,NYG,KC,C-,37,7.3,8.2,5100
2025,3,Tyler Allgeier,RB,ATL,CAR,C-,38,8.7,9.2,4700
2025,3,CeeDee Lamb,WR,DAL,CHI,A+,1,19.1,19.9,8000
2025,3,Malik Nabers,WR,NYG,KC,A+,2,24.9,19.1,7200
2025,3,Puka Nacua,WR,LAR,PHI,A+,3,25.4,18.8,7700
2025,3,JaMarr Chase,WR,CIN,MIN,A+,4,20.6,18.3,8100
2025,3,Amon-Ra St Brown,WR,DET,BAL,A+,5,23.9,18.3,7400
2025,3,Justin Jefferson,WR,MIN,CIN,A+,6,13.0,17.9,7500
2025,3,Jaxon Smith-Njigba,WR,SEA,NO,A+,7,18.9,16.6,6500
2025,3,Nico Collins,WR,HOU,JAX,A,8,9.9,16.3,7300
2025,3,Drake London,WR,ATL,CAR,A,9,9.7,16.3,6000
2025,3,Zay Flowers,WR,BAL,DET,A,10,21.5,16.2,6400
2025,3,Brian Thomas,WR,JAX,HOU,A,11,9.0,15.6,6400
2025,3,Davante Adams,WR,LAR,PHI,A,12,15.9,15.5,6200
2025,3,Garrett Wilson,WR,NYJ,TB,A,13,15.8,15.1,6200
2025,3,Ladd McConkey,WR,LAC,DEN,A,14,11.6,15.0,6800
2025,3,Rome Odunze,WR,CHI,DAL,A,15,23.8,14.9,5300
2025,3,Mike Evans,WR,TB,NYJ,A,16,10.4,14.8,6600
2025,3,AJ Brown,WR,PHI,LAR,A-,17,4.8,14.8,6300
2025,3,DK Metcalf,WR,PIT,NE,A-,18,11.7,14.8,5700
2025,3,Tetairoa McMillan,WR,CAR,ATL,A-,19,13.9,14.7,5900
2025,3,Emeka Egbuka,WR,TB,NYJ,A-,20,18.3,14.7,6300
2025,3,Tyreek Hill,WR,MIA,BUF,A-,21,12.5,14.2,6700
2025,3,Deebo Samuel,WR,WAS,LV,B+,22,20.0,14.1,6100
2025,3,Marvin Harrison,WR,ARI,SF,B+,23,11.4,13.7,5600
2025,3,Jakobi Meyers,WR,LV,WAS,B+,24,15.3,13.6,5600
2025,3,George Pickens,WR,DAL,CHI,B,25,11.9,13.5,5900
2025,3,Tee Higgins,WR,CIN,MIN,B,26,10.5,13.4,6100
2025,3,Courtland Sutton,WR,DEN,LAC,B,27,9.9,13.3,6000
2025,3,Terry McLaurin,WR,WAS,LV,B,28,7.3,13.3,5800
2025,3,DJ Moore,WR,CHI,DAL,B-,29,9.1,13.2,5400
2025,3,DeVonta Smith,WR,PHI,LAR,C+,30,7.0,13.0,5300
2025,3,Keenan Allen,WR,LAC,DEN,B-,31,18.5,13.0,4700
2025,3,Jauan Jennings,WR,SF,ARI,C+,32,11.8,12.9,5000
2025,3,Jameson Williams,WR,DET,BAL,C+,33,12.7,12.9,5900
2025,3,Chris Olave,WR,NO,SEA,C+,34,11.9,12.8,5200
2025,3,Ricky Pearsall,WR,SF,ARI,C+,36,12.0,12.8,5500
2025,3,Michael Pittman,WR,IND,TEN,C+,37,14.0,12.5,4900
2025,3,Jaylen Waddle,WR,MIA,BUF,C+,38,12.4,12.8,5700
2025,3,Calvin Ridley,WR,TEN,IND,C,39,7.7,12.4,5100
2025,3,WanDale Robinson,WR,NYG,KC,C,40,19.9,12.3,4700
2025,3,Khalil Shakir,WR,BUF,MIA,C,41,7.3,12.1,5400
2025,3,Stefon Diggs,WR,NE,PIT,C,42,9.5,11.8,4800
2025,3,Travis Hunter,WR,JAX,HOU,C,43,7.3,11.6,4900
2025,3,Quentin Johnston,WR,LAC,DEN,C,44,20.4,11.6,5400
2025,3,Jerry Jeudy,WR,CLE,GB,C,45,10.4,11.4,5200
2025,3,Keon Coleman,WR,BUF,MIA,C,46,15.4,11.2,5300
2025,3,Cedric Tillman,WR,CLE,GB,C,47,13.2,11.0,4500
2025,3,Cooper Kupp,WR,SEA,NO,C,48,9.8,10.7,5000
2025,3,Romeo Doubs,WR,GB,CLE,C-,49,10.3,10.7,4800
2025,3,Kayshon Boutte,WR,NE,PIT,C-,50,12.5,10.6,4600
2025,3,Darnell Mooney,WR,ATL,CAR,C-,51,4.0,10.6,4500
2025,3,Troy Franklin,WR,DEN,LAC,C-,52,16.2,10.5,4000
2025,3,Rashid Shaheed,WR,NO,SEA,C-,53,12.3,9.8,4600
2025,3,Josh Downs,WR,IND,TEN,C-,54,7.2,9.8,4400
2025,3,Trey McBride,TE,ARI,SF,A+,1,13.0,16.2,5700
2025,3,Brock Bowers,TE,LV,WAS,A,2,12.1,15.0,6000
2025,3,Tucker Kraft,TE,GB,CLE,A,3,17.2,12.2,4700
2025,3,Tyler Warren,TE,IND,TEN,A,4,13.4,12.0,4400
2025,3,Travis Kelce,TE,KC,NYG,B+,5,11.4,11.8,5000
2025,3,Sam LaPorta,TE,DET,BAL,A-,6,9.8,11.7,4500
2025,3,Juwan Johnson,TE,NO,SEA,B,7,15.8,11.2,3900
2025,3,Jake Ferguson,TE,DAL,CHI,B,8,12.1,11.0,4000
2025,3,Zach Ertz,TE,WAS,LV,B,9,15.0,10.9,4200
2025,3,TJ Hockenson,TE,MIN,CIN,B-,10,3.4,10.5,3800
2025,3,Kyle Pitts,TE,ATL,CAR,C+,11,10.3,10.5,3900
2025,3,Harold Fannin,TE,CLE,GB,C+,12,11.7,9.5,3600
2025,3,David Njoku,TE,CLE,GB,C,13,7.4,9.4,4100
2025,3,Hunter Henry,TE,NE,PIT,C-,14,6.3,9.3,3800
2025,3,Dalton Kincaid,TE,BUF,MIA,C,15,11.3,9.3,4000
2025,3,Mark Andrews,TE,BAL,DET,C-,16,1.5,9.1,4300
2025,3,Packers,DST,GB,CLE,A+,1,7.5,7.7,3700
2025,3,Bills,DST,BUF,MIA,A,2,5.0,7.6,3800
2025,3,Vikings,DST,MIN,CIN,A-,3,5.0,7.6,3400
2025,3,Seahawks,DST,SEA,NO,B+,4,11.0,7.3,3600
2025,3,Buccaneers,DST,TB,NYJ,B+,5,3.0,7.3,3500
2025,3,Falcons,DST,ATL,CAR,B+,6,11.0,7.2,3200
2025,3,Chiefs,DST,KC,NYG,B,7,3.0,7.2,3300
2025,3,Colts,DST,IND,TEN,B,8,7.0,6.8,3300
2025,3,Texans,DST,HOU,JAX,B-,9,6.5,6.7,2700
2025,3,49ers,DST,SF,ARI,B-,10,7.0,6.5,3100
2025,3,Steelers,DST,PIT,NE,C+,11,3.5,6.4,2800
2025,3,Eagles,DST,PHI,LAR,C+,12,4.0,6.0,3100
2025,3,Broncos,DST,DEN,LAC,C,13,7.0,5.9,3000
2025,3,Commanders,DST,WAS,LV,C,14,5.5,5.9,3000
2025,3,Chargers,DST,LAC,DEN,C,15,7.5,5.9,2900
2025,3,Bengals,DST,CIN,MIN,C-,16,6.0,5.8,2400
2025,3,Jaguars,DST,JAX,HOU,C-,17,9.5,5.6,2800
