year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2025,1,Lamar Jackson,QB,BAL,BUF,A+,1,25.1,23.9,7300
2025,1,Josh Allen,QB,BUF,BAL,A,2,31.2,23.1,7200
2025,1,Jalen Hurts,QB,PHI,DAL,A,3,18.4,22.4,7100
2025,1,Jayden Daniels,QB,WAS,NYG,A-,4,28.2,21.6,7000
2025,1,Joe Burrow,QB,CIN,CLE,A-,5,8.1,21.0,6900
2025,1,Baker Mayfield,QB,TB,ATL,B+,6,29.7,20.4,6600
2025,1,Patrick Mahomes,QB,KC,LAC,B,7,16.1,19.9,5900
2025,1,Bo Nix,QB,DEN,TEN,B,8,13.0,19.2,6300
2025,1,Kyler Murray,QB,ARI,NO,B,9,14.2,18.8,6400
2025,1,Drake Maye,QB,NE,LV,B-,10,0.0,18.2,5500
2025,1,Trevor Lawrence,QB,JAX,CAR,B-,11,11.3,17.7,5300
2025,1,Brock Purdy,QB,SF,SEA,B-,12,10.3,17.1,6200
2025,1,Jordan Love,QB,GB,DET,C+,13,17.4,16.8,6100
2025,1,Justin Fields,QB,NYJ,PIT,C,14,11.9,16.5,5400
2025,1,Dak Prescott,QB,DAL,PHI,C,15,11.5,16.4,6000
2025,1,Justin Herbert,QB,LAC,KC,C,16,10.4,16.3,5800
2025,1,Jared Goff,QB,DET,GB,C,17,12.4,16.2,6500
2025,1,Caleb Williams,QB,CHI,MIN,C-,18,7.2,16.1,5700
2025,1,Bijan Robinson,RB,ATL,TB,A+,1,16.1,20.2,8000
2025,1,Christian McCaffrey,RB,SF,SEA,A+,2,0.0,18.8,7300
2025,1,Saquon Barkley,RB,PHI,DAL,A+,3,33.2,18.1,8200
2025,1,Jahmyr Gibbs,RB,DET,GB,A,4,17.4,17.9,7700
2025,1,Chase Brown,RB,CIN,CLE,A,5,5.3,17.4,6600
2025,1,DeVon Achane,RB,MIA,IND,A,6,23.0,17.2,6900
2025,1,Jonathan Taylor,RB,IND,MIA,A,7,10.8,16.8,6800
2025,1,Derrick Henry,RB,BAL,BUF,A,9,10.6,16.5,7200
2025,1,Ashton Jeanty,RB,LV,NE,A-,10,0.0,16.2,7000
2025,1,Josh Jacobs,RB,GB,DET,A-,11,12.4,16.2,6700
2025,1,James Conner,RB,ARI,NO,A-,12,19.3,15.3,6100
2025,1,Alvin Kamara,RB,NO,ARI,B+,13,22.0,15.1,6300
2025,1,Kyren Williams,RB,LAR,HOU,B+,14,14.4,15.1,6500
2025,1,Kenneth Walker,RB,SEA,SF,B,15,18.9,14.3,5900
2025,1,Chuba Hubbard,RB,CAR,JAX,B,16,1.4,13.8,6000
2025,1,James Cook,RB,BUF,BAL,B,17,13.3,13.7,6200
2025,1,Omarion Hampton,RB,LAC,KC,B,18,0.0,13.6,6000
2025,1,Tony Pollard,RB,TEN,DEN,B,19,18.4,13.3,5700
2025,1,Breece Hall,RB,NYJ,PIT,B,20,18.3,13.0,6400
2025,1,TreVeyon Henderson,RB,NE,LV,B,21,0.0,13.0,5500
2025,1,Aaron Jones,RB,MIN,CHI,B-,22,18.9,12.8,5500
2025,1,Isiah Pacheco,RB,KC,LAC,B-,23,15.8,12.7,5700
2025,1,DAndre Swift,RB,CHI,MIN,B-,24,5.0,12.7,5900
2025,1,David Montgomery,RB,DET,GB,C+,25,16.3,12.5,5700
2025,1,Tyrone Tracy,RB,NYG,WAS,C+,26,1.7,12.4,5600
2025,1,Jaylen Warren,RB,PIT,NYJ,C+,27,4.0,11.3,5200
