year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2025,12,Drake Maye,QB,NE,CIN,A+,1,19.8,23.5,6900
2025,12,Lamar Jackson,QB,BAL,NYJ,A,2,16.3,22.1,6700
2025,12,Josh Allen,QB,BUF,HOU,A,3,29.3,21.6,7400
2025,12,Jalen Hurts,QB,PHI,DAL,A,4,17.3,20.8,6600
2025,12,Patrick Mahomes,QB,KC,IND,A,5,16.9,20.4,6800
2025,12,Matthew Stafford,QB,LAR,TB,A-,6,22.3,19.9,6300
2025,12,Jared Goff,QB,DET,NYG,B+,7,19.1,19.4,6000
2025,12,Brock Purdy,QB,SF,CAR,B+,8,19.3,18.9,5900
2025,12,Jacoby Brissett,QB,ARI,JAX,B,9,22.7,18.6,5300
2025,12,Dak Prescott,QB,DAL,PHI,B,10,16.4,18.1,6400
2025,12,Jaxson Dart,QB,NYG,DET,B-,11,24.3,17.7,5600
2025,12,Caleb Williams,QB,CHI,PIT,B-,12,21.7,17.4,5700
2025,12,Daniel Jones,QB,IND,KC,B-,13,18.9,17.1,6200
2025,12,Baker Mayfield,QB,TB,LAR,C+,14,14.9,16.8,6100
2025,12,Sam Darnold,QB,SEA,TEN,C+,15,14.1,16.6,5400
2025,12,Jordan Love,QB,GB,MIN,C,16,16.0,16.3,5800
2025,12,Trevor Lawrence,QB,JAX,ARI,C,17,16.3,16.0,5100
2025,12,Joe Flacco,QB,CIN,NE,C-,18,22.6,15.8,5500
2025,12,Christian McCaffrey,RB,SF,CAR,A+,1,24.2,25.1,9500
2025,12,Jahmyr Gibbs,RB,DET,NYG,A+,2,21.2,21.8,8300
2025,12,Jonathan Taylor,RB,IND,KC,A+,3,31.6,21.0,10000
2025,12,Bijan Robinson,RB,ATL,NO,A,4,16.1,20.8,8500
2025,12,Rico Dowdle,RB,CAR,SF,A,5,16.0,16.5,7100
2025,12,Saquon Barkley,RB,PHI,DAL,A,6,18.8,16.3,7500
2025,12,Javonte Williams,RB,DAL,PHI,A,7,11.8,15.9,6500
2025,12,TreVeyon Henderson,RB,NE,CIN,A,8,19.6,15.9,6700
2025,12,Derrick Henry,RB,BAL,NYJ,A-,9,16.0,15.4,7600
2025,12,Chase Brown,RB,CIN,NE,A-,10,21.1,15.3,6200
2025,12,James Cook,RB,BUF,HOU,A-,11,19.6,14.4,7200
2025,12,Kyren Williams,RB,LAR,TB,A-,12,18.8,14.3,6800
2025,12,Travis Etienne,RB,JAX,ARI,B+,13,17.2,14.2,5900
2025,12,Woody Marks,RB,HOU,BUF,B+,14,10.0,14.1,5600
2025,12,Ashton Jeanty,RB,LV,CLE,B,15,14.9,13.5,6300
2025,12,Quinshon Judkins,RB,CLE,LV,B+,16,7.0,13.3,6000
2025,12,Breece Hall,RB,NYJ,BAL,B,17,20.3,13.3,6100
2025,12,DAndre Swift,RB,CHI,PIT,B,18,13.0,13.1,5600
2025,12,Aaron Jones,RB,MIN,GB,B,19,11.0,13.1,5700
2025,12,Emanuel Wilson,RB,GB,MIN,B,20,7.4,12.3,5300
2025,12,Kenneth Walker,RB,SEA,TEN,B,21,12.1,11.8,5400
2025,12,Jaylen Warren,RB,PIT,CHI,B-,22,11.5,11.7,6600
2025,12,Alvin Kamara,RB,NO,ATL,B-,23,7.2,11.4,5500
2025,12,David Montgomery,RB,DET,NYG,B-,24,8.6,11.2,5300
2025,12,Kareem Hunt,RB,KC,IND,C+,25,14.3,11.0,5100
2025,12,Tyrone Tracy,RB,NYG,DET,C+,26,10.0,10.6,5800
2025,12,Zach Charbonnet,RB,SEA,TEN,C+,27,8.9,10.4,4900
2025,12,Zonovan Knight,RB,ARI,JAX,C+,28,8.5,9.9,4900
2025,12,Kenneth Gainwell,RB,PIT,CHI,C,29,10.7,9.1,5500
2025,12,Sean Tucker,RB,TB,LAR,C,30,16.8,9.0,5500
2025,12,Tyjae Spears,RB,TEN,SEA,C,31,11.6,8.9,4700
2025,12,Rachaad White,RB,TB,LAR,C,32,8.9,8.5,5700
2025,12,Tony Pollard,RB,TEN,SEA,C,33,6.6,8.3,5000
2025,12,Devin Singletary,RB,NYG,DET,C,34,9.7,7.6,4800
2025,12,Kyle Monangai,RB,CHI,PIT,C,35,11.2,7.6,5100
2025,12,Bhayshul Tuten,RB,JAX,ARI,C-,36,8.3,7.2,4600
2025,12,Rhamondre Stevenson,RB,NE,CIN,C-,37,5.9,7.1,5200
2025,12,Tyler Allgeier,RB,ATL,NO,C-,38,9.3,7.1,4500
2025,12,Blake Corum,RB,LAR,TB,C-,39,4.3,6.6,4300
2025,12,Puka Nacua,WR,LAR,TB,A+,1,18.2,21.0,8800
2025,12,Jaxon Smith-Njigba,WR,SEA,TEN,A+,2,21.0,19.9,9000
2025,12,Amon-Ra St Brown,WR,DET,NYG,A+,3,13.9,19.9,8000
2025,12,Rashee Rice,WR,KC,IND,A+,4,18.0,17.5,7700
2025,12,CeeDee Lamb,WR,DAL,PHI,A+,5,15.9,16.7,7900
2025,12,Emeka Egbuka,WR,TB,LAR,A,6,13.0,16.4,6700
2025,12,Nico Collins,WR,HOU,BUF,A,7,20.4,16.2,7200
2025,12,Davante Adams,WR,LAR,TB,A,8,16.6,16.1,7000
2025,12,Stefon Diggs,WR,NE,CIN,A,9,14.6,15.7,6500
2025,12,Tee Higgins,WR,CIN,NE,A,10,19.9,15.6,7100
2025,12,Chris Olave,WR,NO,ATL,A,11,14.7,15.5,6400
2025,12,Justin Jefferson,WR,MIN,GB,A,12,12.5,15.4,7400
2025,12,Tetairoa McMillan,WR,CAR,SF,A,13,17.4,14.6,5900
2025,12,DeVonta Smith,WR,PHI,DAL,A,14,11.0,14.5,5600
2025,12,George Pickens,WR,DAL,PHI,A,15,19.4,14.2,6900
2025,12,WanDale Robinson,WR,NYG,DET,A,16,10.3,14.2,5500
2025,12,AJ Brown,WR,PHI,DAL,A,17,7.6,14.1,5900
2025,12,Michael Pittman,WR,IND,KC,A-,18,16.0,13.5,6000
2025,12,Jameson Williams,WR,DET,NYG,A-,19,20.1,13.4,5700
2025,12,Rome Odunze,WR,CHI,PIT,A-,20,11.3,13.3,6100
2025,12,Zay Flowers,WR,BAL,NYJ,A-,21,12.2,12.8,6300
2025,12,Michael Wilson,WR,ARI,JAX,A-,22,16.7,12.6,4800
2025,12,DK Metcalf,WR,PIT,CHI,B+,23,8.9,12.5,5300
2025,12,Jauan Jennings,WR,SF,CAR,B+,24,12.3,11.9,4900
2025,12,Khalil Shakir,WR,BUF,HOU,B,25,11.4,11.8,5000
2025,12,Romeo Doubs,WR,GB,MIN,B,26,9.1,11.2,4900
2025,12,Alec Pierce,WR,IND,KC,B-,27,14.9,10.9,5000
2025,12,Jordan Addison,WR,MIN,GB,C+,28,9.1,10.6,5400
2025,12,Christian Watson,WR,GB,MIN,C+,29,11.9,10.5,4600
2025,12,Ricky Pearsall,WR,SF,CAR,C+,30,0.5,10.3,5100
2025,12,Xavier Worthy,WR,KC,IND,C+,31,7.3,10.2,4700
2025,12,Darnell Mooney,WR,ATL,NO,C+,32,3.4,10.1,4800
2025,12,Tez Johnson,WR,TB,LAR,C+,33,10.4,10.0,4300
2025,12,Jakobi Meyers,WR,JAX,ARI,C+,34,8.3,10.0,4700
2025,12,Tre Tucker,WR,LV,CLE,C+,35,9.0,9.6,5100
2025,12,Parker Washington,WR,JAX,ARI,C,36,13.0,9.5,5200
2025,12,DJ Moore,WR,CHI,PIT,C+,37,9.4,9.4,4900
2025,12,Jerry Jeudy,WR,CLE,LV,C,38,8.3,9.3,4100
2025,12,Mack Hollins,WR,NE,CIN,C,39,11.5,9.2,4200
2025,12,Josh Downs,WR,IND,KC,C,40,10.0,9.2,4500
2025,12,Rashid Shaheed,WR,SEA,TEN,C,41,8.6,9.0,4600
2025,12,Luther Burden,WR,CHI,PIT,C,42,4.9,8.9,3600
2025,12,Greg Dortch,WR,ARI,JAX,C,43,8.6,8.7,4300
2025,12,Cooper Kupp,WR,SEA,TEN,C,45,7.4,8.4,4000
2025,12,Jayden Higgins,WR,HOU,BUF,C,46,9.9,8.3,3700
2025,12,Xavier Legette,WR,CAR,SF,C,47,6.3,8.2,3900
2025,12,Jalen Coker,WR,CAR,SF,C-,48,6.2,8.1,3500
2025,12,Brian Thomas,WR,JAX,ARI,C-,49,8.5,8.0,6200
2025,12,Cedric Tillman,WR,CLE,LV,C-,50,5.7,7.7,3700
2025,12,Tyler Lockett,WR,LV,CLE,C-,51,5.2,7.6,3500
2025,12,Elic Ayomanor,WR,TEN,SEA,C-,52,6.6,7.5,3900
2025,12,Kayshon Boutte,WR,NE,CIN,C-,55,8.3,6.9,5000
2025,12,Trey McBride,TE,ARI,JAX,A+,1,23.9,18.3,6800
2025,12,George Kittle,TE,SF,CAR,A,2,17.3,15.1,5200
2025,12,Brock Bowers,TE,LV,CLE,A,3,20.4,15.1,6000
2025,12,Tyler Warren,TE,IND,KC,A-,4,11.6,13.0,5500
2025,12,Travis Kelce,TE,KC,IND,A-,5,19.5,12.9,5000
2025,12,Hunter Henry,TE,NE,CIN,B+,6,6.8,11.7,3900
2025,12,Dallas Goedert,TE,PHI,DAL,B+,7,10.2,11.2,4200
2025,12,Kyle Pitts,TE,ATL,NO,B,8,8.0,10.8,4300
2025,12,Jake Ferguson,TE,DAL,PHI,B-,9,6.5,10.6,5300
2025,12,Theo Johnson,TE,NYG,DET,C+,10,9.5,10.2,4100
2025,12,Mark Andrews,TE,BAL,NYJ,C+,11,12.3,10.0,3800
2025,12,Cade Otton,TE,TB,LAR,C,12,10.0,10.0,4400
2025,12,Dalton Schultz,TE,HOU,BUF,C,13,11.9,9.6,4000
2025,12,Juwan Johnson,TE,NO,ATL,C,14,13.9,9.6,4000
2025,12,Colston Loveland,TE,CHI,PIT,C,15,13.3,9.5,3500
2025,12,Harold Fannin,TE,CLE,LV,C-,16,10.5,8.6,3600
2025,12,Seahawks,DST,SEA,TEN,A+,1,10.7,9.6,4000
2025,12,Browns,DST,CLE,LV,A,2,10.3,9.4,2900
2025,12,Ravens,DST,BAL,NYJ,A,3,9.0,8.3,3900
2025,12,Packers,DST,GB,MIN,A,4,5.5,7.9,3600
2025,12,Lions,DST,DET,NYG,A-,5,3.7,7.2,3700
2025,12,Raiders,DST,LV,CLE,B+,6,4.7,7.1,3500
2025,12,Patriots,DST,NE,CIN,B,7,4.8,6.8,3800
2025,12,Falcons,DST,ATL,NO,B,8,6.0,6.7,3400
2025,12,Bills,DST,BUF,HOU,B,9,7.3,6.4,2900
2025,12,Rams,DST,LAR,TB,B-,10,8.0,6.2,2800
2025,12,Bears,DST,CHI,PIT,C+,11,4.5,6.2,3300
2025,12,Steelers,DST,PIT,CHI,C,12,10.0,6.2,2800
2025,12,Jaguars,DST,JAX,ARI,C,13,8.7,6.2,3200
2025,12,Saints,DST,NO,ATL,C,14,6.3,6.1,2500
2025,12,Chiefs,DST,KC,IND,C,15,4.7,6.1,3100
2025,12,49ers,DST,SF,CAR,C-,16,1.8,5.9,3500
2025,12,Eagles,DST,PHI,DAL,C-,17,8.3,5.9,3000
