year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2024,14,Josh Allen,QB,BUF,LAR,A+,1,24.5,22.6,8000
2024,14,Jalen Hurts,QB,PHI,CAR,A+,2,20.5,21.9,7800
2024,14,Joe Burrow,QB,CIN,DAL,A,3,27.7,20.4,7300
2024,14,Sam Darnold,QB,MIN,ATL,A,4,18.4,19.5,6100
2024,14,Baker Mayfield,QB,TB,LV,A,5,13.3,18.6,6400
2024,14,Kyler Murray,QB,ARI,SEA,A-,6,19.1,17.9,6000
2024,14,Patrick Mahomes,QB,KC,LAC,B+,7,19.9,17.7,6800
2024,14,Jordan Love,QB,GB,DET,B+,8,18.3,17.4,6300
2024,14,Tua Tagovailoa,QB,MIA,NYJ,B,9,21.6,17.2,6300
2024,14,Jared Goff,QB,DET,GB,B,10,18.8,16.9,6500
2024,14,Brock Purdy,QB,SF,CHI,B-,11,15.1,16.7,6200
2024,14,Caleb Williams,QB,CHI,SF,B-,12,18.9,16.5,5600
2024,14,Justin Herbert,QB,LAC,KC,C+,13,17.5,16.4,5800
2024,14,Geno Smith,QB,SEA,ARI,C,14,14.2,16.2,5800
2024,14,Russell Wilson,QB,PIT,CLE,C,15,17.0,16.2,5900
2024,14,Will Levis,QB,TEN,JAX,C,16,17.3,15.9,5000
2024,14,Matthew Stafford,QB,LAR,BUF,C-,17,18.3,15.7,5700
2024,14,Jameis Winston,QB,CLE,PIT,C-,18,25.7,15.4,5400
2024,14,Saquon Barkley,RB,PHI,CAR,A+,1,27.1,22.2,9000
2024,14,Alvin Kamara,RB,NO,NYG,A+,2,14.9,21.1,8000
2024,14,Chase Brown,RB,CIN,DAL,A+,3,20.2,18.3,6700
2024,14,Bijan Robinson,RB,ATL,MIN,A,4,21.7,18.1,7500
2024,14,DeVon Achane,RB,MIA,NYJ,A,5,18.1,18.1,8200
2024,14,Jahmyr Gibbs,RB,DET,GB,A,6,16.9,17.1,7100
2024,14,Josh Jacobs,RB,GB,DET,A,7,24.6,16.5,7200
2024,14,Zach Charbonnet,RB,SEA,ARI,A,9,5.6,15.9,4800
2024,14,Tony Pollard,RB,TEN,JAX,A-,10,11.5,15.9,6400
2024,14,James Cook,RB,BUF,LAR,A-,11,18.1,15.5,7400
2024,14,Kyren Williams,RB,LAR,BUF,A-,12,12.3,15.2,7300
2024,14,James Conner,RB,ARI,SEA,B+,13,14.4,14.9,6700
2024,14,Isaac Guerendo,RB,SF,CHI,B+,14,2.2,14.7,5400
2024,14,Rico Dowdle,RB,DAL,CIN,B+,15,11.5,14.6,6000
2024,14,Aaron Jones,RB,MIN,ATL,B+,16,11.8,14.3,6500
2024,14,David Montgomery,RB,DET,GB,B,17,17.2,14.2,6800
2024,14,Najee Harris,RB,PIT,CLE,B,18,14.2,14.0,6000
2024,14,Tyrone Tracy,RB,NYG,NO,B,19,13.0,13.7,5800
2024,14,DAndre Swift,RB,CHI,SF,B,20,10.7,13.2,5700
2024,14,Rachaad White,RB,TB,LV,B,21,13.2,13.2,5300
2024,14,Chuba Hubbard,RB,CAR,PHI,B-,22,14.1,12.0,6200
2024,14,Jaylen Warren,RB,PIT,CLE,B-,23,11.5,11.6,5500
2024,14,Braelon Allen,RB,NYJ,MIA,B-,24,3.2,11.3,5000
2024,14,Isiah Pacheco,RB,KC,LAC,B-,25,5.9,11.0,6100
2024,14,Travis Etienne,RB,JAX,TEN,C+,26,6.8,9.6,5600
2024,14,Ameer Abdullah,RB,LV,TB,C+,27,11.8,9.0,4700
2024,14,Nick Chubb,RB,CLE,PIT,C,28,12.2,8.9,5900
2024,14,Sincere McCormick,RB,LV,TB,C,29,5.9,8.1,4600
2024,14,Kareem Hunt,RB,KC,LAC,C,30,9.6,8.1,5500
2024,14,Tank Bigsby,RB,JAX,TEN,C,31,2.5,7.7,5100
2024,14,Jerome Ford,RB,CLE,PIT,C,32,6.3,7.5,4900
2024,14,Gus Edwards,RB,LAC,KC,C,33,4.9,7.0,5300
2024,14,Tyjae Spears,RB,TEN,JAX,C,34,3.7,6.9,4400
2024,14,Jonathon Brooks,RB,CAR,PHI,C,35,3.9,6.7,4700
2024,14,Devin Singletary,RB,NYG,NO,C-,36,5.6,6.3,4800
2024,14,Ray Davis,RB,BUF,LAR,C-,37,5.1,6.1,5200
2024,14,Cam Akers,RB,MIN,ATL,C-,38,5.8,6.0,4600
2024,14,JaMarr Chase,WR,CIN,DAL,A+,1,34.2,19.6,8500
2024,14,Justin Jefferson,WR,MIN,ATL,A+,2,11.4,18.2,7800
2024,14,Amon-Ra St Brown,WR,DET,GB,A+,3,20.3,18.1,7600
2024,14,Puka Nacua,WR,LAR,BUF,A+,4,20.5,17.8,7700
2024,14,AJ Brown,WR,PHI,CAR,A+,5,15.5,17.2,8100
2024,14,Mike Evans,WR,TB,LV,A+,6,18.8,16.2,7200
