year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2025,5,Josh Allen,QB,BUF,NE,A+,1,24.9,23.7,8000
2025,5,Jalen Hurts,QB,PHI,DEN,A,2,21.1,22.0,6800
2025,5,Patrick Mahomes,QB,KC,JAX,A,3,22.4,21.1,6600
2025,5,Justin Fields,QB,NYJ,DAL,A,4,20.2,20.3,5600
2025,5,Justin Herbert,QB,LAC,WAS,A,5,19.2,19.9,6100
2025,5,Jayden Daniels,QB,WAS,LAC,A,6,19.9,19.6,7000
2025,5,Drake Maye,QB,NE,BUF,B+,7,21.6,19.3,6000
2025,5,Daniel Jones,QB,IND,LV,B,8,20.1,19.0,5800
2025,5,Kyler Murray,QB,ARI,TEN,B,9,16.4,18.5,5900
2025,5,Jared Goff,QB,DET,CIN,B,10,18.1,18.0,6500
2025,5,Dak Prescott,QB,DAL,NYJ,B-,11,19.0,17.4,6000
2025,5,Baker Mayfield,QB,TB,SEA,B-,12,20.0,16.9,6300
2025,5,Bo Nix,QB,DEN,PHI,C+,13,17.5,16.5,5700
2025,5,Jaxson Dart,QB,NYG,NO,C+,14,6.6,16.3,5300
2025,5,Matthew Stafford,QB,LAR,SF,C,15,18.5,16.1,6400
2025,5,Sam Darnold,QB,SEA,TB,C,16,14.0,15.9,5100
2025,5,Geno Smith,QB,LV,IND,C-,17,15.9,15.7,5400
2025,5,CJ Stroud,QB,HOU,BAL,C-,18,13.9,15.5,5200
2025,5,Christian McCaffrey,RB,SF,LAR,A+,1,24.0,21.2,8600
2025,5,Jahmyr Gibbs,RB,DET,CIN,A+,2,19.8,20.4,7700
2025,5,Jonathan Taylor,RB,IND,LV,A+,3,22.4,20.1,8000
2025,5,DeVon Achane,RB,MIA,CAR,A,4,19.0,19.8,7300
2025,5,James Cook,RB,BUF,NE,A,5,22.8,17.9,7400
2025,5,Breece Hall,RB,NYJ,DAL,A,6,11.9,17.7,5600
2025,5,Saquon Barkley,RB,PHI,DEN,A,7,15.7,16.9,7500
2025,5,Omarion Hampton,RB,LAC,WAS,A,8,16.0,16.4,6500
2025,5,Javonte Williams,RB,DAL,NYJ,A,9,19.2,16.0,6200
2025,5,Ashton Jeanty,RB,LV,IND,A-,10,14.8,15.3,6700
2025,5,Kyren Williams,RB,LAR,SF,A-,11,13.4,15.1,6000
2025,5,Derrick Henry,RB,BAL,HOU,A-,12,12.5,14.7,7000
2025,5,Cam Skattebo,RB,NYG,NO,B+,13,13.5,14.5,6000
2025,5,Travis Etienne,RB,JAX,KC,B+,14,16.7,14.2,5900
2025,5,Quinshon Judkins,RB,CLE,MIN,B+,15,16.0,13.9,5800
2025,5,Alvin Kamara,RB,NO,NYG,B+,16,11.9,13.4,5900
2025,5,Kenneth Walker,RB,SEA,TB,B,17,13.6,13.4,6300
2025,5,David Montgomery,RB,DET,CIN,B,18,13.0,13.0,5200
2025,5,Jordan Mason,RB,MIN,CLE,B,19,12.0,12.8,6400
2025,5,Woody Marks,RB,HOU,BAL,B,20,9.7,12.2,5400
2025,5,Rachaad White,RB,TB,SEA,B,21,7.1,12.1,4700
2025,5,JK Dobbins,RB,DEN,PHI,B-,22,14.3,12.0,5500
2025,5,Tony Pollard,RB,TEN,ARI,B-,23,10.4,11.8,5400
2025,5,Chase Brown,RB,CIN,DET,B-,24,9.4,11.1,6100
2025,5,TreVeyon Henderson,RB,NE,BUF,C+,25,9.4,11.1,5300
2025,5,Rhamondre Stevenson,RB,NE,BUF,C+,26,8.9,10.7,4800
2025,5,Zach Charbonnet,RB,SEA,TB,C+,27,8.0,9.7,5300
2025,5,Chuba Hubbard,RB,CAR,MIA,C+,28,14.0,9.3,5800
2025,5,RJ Harvey,RB,DEN,PHI,C,29,8.9,9.1,4500
2025,5,Emari Demercado,RB,ARI,TEN,C,30,2.5,9.0,4700
2025,5,Jacory Croskey-Merritt,RB,WAS,LAC,C,31,8.4,9.0,5100
2025,5,Isiah Pacheco,RB,KC,JAX,C,32,6.8,8.8,5200
2025,5,Nick Chubb,RB,HOU,BAL,C,33,9.1,8.2,5200
2025,5,Kareem Hunt,RB,KC,JAX,C,34,6.5,7.7,4700
2025,5,Justice Hill,RB,BAL,HOU,C,35,10.4,7.3,5000
2025,5,Michael Carter,RB,ARI,TEN,C,36,0.1,7.1,4000
2025,5,Rico Dowdle,RB,CAR,MIA,C-,37,5.3,6.8,4300
2025,5,Kendre Miller,RB,NO,NYG,C-,38,5.6,6.1,4400
2025,5,Puka Nacua,WR,LAR,SF,A+,1,27.4,21.5,8400
2025,5,Amon-Ra St Brown,WR,DET,CIN,A+,2,23.6,19.4,7900
2025,5,Jaxon Smith-Njigba,WR,SEA,TB,A+,3,17.8,17.0,7100
2025,5,Garrett Wilson,WR,NYJ,DAL,A+,4,19.0,16.5,6100
2025,5,Justin Jefferson,WR,MIN,CLE,A+,5,15.3,16.2,7300
2025,5,Nico Collins,WR,HOU,BAL,A+,6,13.5,16.1,6800
2025,5,George Pickens,WR,DAL,NYJ,A,7,18.8,16.1,6600
2025,5,Davante Adams,WR,LAR,SF,A,8,15.5,16.1,6200
2025,5,Emeka Egbuka,WR,TB,SEA,A,9,17.8,16.0,6900
2025,5,JaMarr Chase,WR,CIN,DET,A,10,14.3,15.2,7800
2025,5,Quentin Johnston,WR,LAC,WAS,A,11,19.9,14.7,5700
2025,5,Xavier Worthy,WR,KC,JAX,A,12,8.6,14.6,5800
2025,5,Deebo Samuel,WR,WAS,LAC,A,13,16.3,14.5,6300
2025,5,Michael Pittman,WR,IND,LV,A,14,15.6,14.1,5100
2025,5,Tetairoa McMillan,WR,CAR,MIA,A,15,11.5,14.1,5700
2025,5,Jaylen Waddle,WR,MIA,CAR,A,16,11.9,14.0,5400
2025,5,Courtland Sutton,WR,DEN,PHI,A,17,15.7,13.7,6000
2025,5,Jakobi Meyers,WR,LV,IND,A-,18,11.7,13.4,5600
2025,5,Keenan Allen,WR,LAC,WAS,A-,19,16.3,13.4,5600
2025,5,Zay Flowers,WR,BAL,HOU,A-,20,15.2,13.3,6200
2025,5,AJ Brown,WR,PHI,DEN,A-,21,8.8,12.8,6000
2025,5,Chris Olave,WR,NO,NYG,A-,22,12.4,12.8,5200
2025,5,WanDale Robinson,WR,NYG,NO,B+,23,11.9,12.8,5300
2025,5,Marvin Harrison,WR,ARI,TEN,B+,24,12.2,12.8,5400
2025,5,Brian Thomas,WR,JAX,KC,B,25,9.0,12.6,6100
2025,5,Ladd McConkey,WR,LAC,WAS,B,26,8.4,12.1,5500
2025,5,Chris Godwin,WR,TB,SEA,B,27,5.6,12.1,5900
2025,5,DeVonta Smith,WR,PHI,DEN,B-,28,9.7,11.9,5000
2025,5,Stefon Diggs,WR,NE,BUF,B-,29,10.1,11.9,4800
2025,5,Jameson Williams,WR,DET,CIN,B-,30,9.4,11.6,4900
2025,5,Jordan Addison,WR,MIN,CLE,C+,31,15.4,11.0,5300
2025,5,Tee Higgins,WR,CIN,DET,C+,32,7.4,10.9,5900
2025,5,Khalil Shakir,WR,BUF,NE,C+,33,11.8,10.9,5200
2025,5,Jerry Jeudy,WR,CLE,MIN,C+,34,7.8,10.7,4700
2025,5,Tre Tucker,WR,LV,IND,C+,35,15.9,10.4,4700
2025,5,Elic Ayomanor,WR,TEN,ARI,C,36,9.8,10.2,4100
2025,5,Keon Coleman,WR,BUF,NE,C,37,10.8,10.1,5100
2025,5,Troy Franklin,WR,DEN,PHI,C,38,11.2,9.9,4000
2025,5,Cooper Kupp,WR,SEA,TB,C,39,7.8,9.9,4600
2025,5,Rashid Shaheed,WR,NO,NYG,C,41,10.5,9.6,4500
2025,5,Malik Washington,WR,MIA,CAR,C,42,6.2,9.5,3900
2025,5,Darius Slayton,WR,NYG,NO,C,43,5.6,9.4,4300
2025,5,Travis Hunter,WR,JAX,KC,C,44,6.2,8.9,4600
2025,5,Josh Downs,WR,IND,LV,C,45,6.5,8.9,4100
2025,5,Christian Kirk,WR,HOU,BAL,C,46,5.3,8.6,4300
2025,5,Calvin Ridley,WR,TEN,ARI,C,47,6.0,8.5,4800
2025,5,Kendrick Bourne,WR,SF,LAR,C,48,5.6,8.5,3500
2025,5,Jalen Tolbert,WR,DAL,NYJ,C-,49,5.5,8.3,3600
2025,5,Kayshon Boutte,WR,NE,BUF,C-,50,8.1,8.1,4000
2025,5,Marvin Mims,WR,DEN,PHI,C-,51,8.6,8.1,3800
2025,5,KaVontae Turpin,WR,DAL,NYJ,C-,57,8.8,7.4,3500
2025,5,Trey McBride,TE,ARI,TEN,A+,1,13.4,16.0,5800
2025,5,Tyler Warren,TE,IND,LV,A,2,13.0,13.3,4700
2025,5,Brock Bowers,TE,LV,IND,A,3,10.9,12.4,5500
2025,5,Jake Ferguson,TE,DAL,NYJ,A-,4,15.6,12.2,4800
2025,5,Hunter Henry,TE,NE,BUF,B+,5,13.4,11.0,4500
2025,5,Sam LaPorta,TE,DET,CIN,B+,6,8.4,11.0,4200
