year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2024,8,Lamar Jackson,QB,BAL,CLE,A+,1,27.8,21.8,8000
2024,8,Josh Allen,QB,BUF,SEA,A,2,16.8,20.7,7800
2024,8,Jalen Hurts,QB,PHI,CIN,A,3,20.3,19.9,7500
2024,8,Jordan Love,QB,GB,JAX,A,4,23.4,19.2,7100
2024,8,Joe Burrow,QB,CIN,PHI,A-,5,21.7,18.6,7000
2024,8,Sam Darnold,QB,MIN,LAR,B+,6,14.7,18.4,6200
2024,8,CJ Stroud,QB,HOU,IND,B,7,16.3,18.1,6900
2024,8,Caleb Williams,QB,CHI,WAS,B+,8,21.6,17.8,6000
2024,8,Kyler Murray,QB,ARI,MIA,B,9,17.1,17.6,6400
2024,8,Brock Purdy,QB,SF,DAL,B,10,18.8,17.4,6300
2024,8,Patrick Mahomes,QB,KC,LV,B-,11,14.2,17.1,6800
2024,8,Bo Nix,QB,DEN,CAR,C+,12,16.4,17.1,5600
2024,8,Kirk Cousins,QB,ATL,TB,C,13,16.4,16.9,6200
2024,8,Tua Tagovailoa,QB,MIA,ARI,C,14,0.0,16.7,6100
2024,8,Jared Goff,QB,DET,TEN,C,15,23.7,16.5,6600
2024,8,Jayden Daniels,QB,WAS,CHI,C,16,18.0,16.3,7300
2024,8,Geno Smith,QB,SEA,BUF,C-,17,19.4,16.1,5900
2024,8,Baker Mayfield,QB,TB,ATL,C-,18,27.6,16.0,6700
2024,8,Breece Hall,RB,NYJ,NE,A+,1,14.6,20.0,7300
2024,8,Saquon Barkley,RB,PHI,CIN,A+,2,15.9,18.5,8300
2024,8,Derrick Henry,RB,BAL,CLE,A+,3,25.7,18.3,8100
2024,8,Joe Mixon,RB,HOU,IND,A+,4,26.8,17.9,7700
2024,8,Bijan Robinson,RB,ATL,TB,A,5,17.7,17.7,7200
2024,8,Jahmyr Gibbs,RB,DET,TEN,A,6,21.3,17.0,7400
2024,8,Jordan Mason,RB,SF,DAL,A,7,12.7,16.8,7900
2024,8,Kenneth Walker,RB,SEA,BUF,A,8,23.1,16.6,7800
2024,8,Aaron Jones,RB,MIN,LAR,A,9,14.9,16.6,6600
2024,8,Kyren Williams,RB,LAR,MIN,A-,10,18.5,16.3,8200
2024,8,JK Dobbins,RB,LAC,NO,A-,11,12.3,15.9,6900
2024,8,DeVon Achane,RB,MIA,ARI,A-,12,6.4,15.7,6200
2024,8,Kareem Hunt,RB,KC,LV,B+,13,17.2,15.5,6300
2024,8,Javonte Williams,RB,DEN,CAR,B+,14,14.2,15.5,6000
2024,8,DAndre Swift,RB,CHI,WAS,B,15,23.8,15.3,6200
2024,8,Alvin Kamara,RB,NO,LAC,B+,16,15.8,15.3,7600
2024,8,Josh Jacobs,RB,GB,JAX,B,17,15.1,15.0,6600
2024,8,James Conner,RB,ARI,MIA,B,18,14.0,15.0,6500
2024,8,Jonathan Taylor,RB,IND,HOU,B,19,19.8,14.8,7500
2024,8,James Cook,RB,BUF,SEA,B,20,11.0,14.5,7000
2024,8,Tony Pollard,RB,TEN,DET,B,21,15.0,14.5,6500
2024,8,Chuba Hubbard,RB,CAR,DEN,B-,22,16.5,14.1,6700
2024,8,Chase Brown,RB,CIN,PHI,B-,23,15.3,13.7,5800
2024,8,Brian Robinson,RB,WAS,CHI,B-,24,15.7,13.4,6400
2024,8,David Montgomery,RB,DET,TEN,B-,25,14.7,13.0,6400
2024,8,Najee Harris,RB,PIT,NYG,C+,26,14.1,12.0,6100
2024,8,Rachaad White,RB,TB,ATL,C+,27,16.4,11.7,5700
2024,8,Tank Bigsby,RB,JAX,GB,C+,28,15.3,11.5,6300
2024,8,Rhamondre Stevenson,RB,NE,NYJ,C,29,10.6,11.5,6000
2024,8,Rico Dowdle,RB,DAL,SF,C,30,14.3,11.3,6000
2024,8,Alexander Mattison,RB,LV,KC,C,31,12.2,11.3,5600
2024,8,Jaylen Warren,RB,PIT,NYG,C,32,6.4,10.3,5300
2024,8,Raheem Mostert,RB,MIA,ARI,C,33,7.4,10.1,5900
2024,8,Nick Chubb,RB,CLE,BAL,C,35,10.2,9.7,6100
2024,8,Tyrone Tracy,RB,NYG,PIT,C,36,11.5,9.6,5700
2024,8,Austin Ekeler,RB,WAS,CHI,C-,37,8.8,9.5,5600
2024,8,Zack Moss,RB,CIN,PHI,C-,38,8.4,8.5,5700
2024,8,Justin Jefferson,WR,MIN,LAR,A+,1,19.0,19.4,8800
2024,8,JaMarr Chase,WR,CIN,PHI,A+,2,22.2,18.6,8500
2024,8,Amon-Ra St Brown,WR,DET,TEN,A+,3,19.9,18.3,8400
2024,8,CeeDee Lamb,WR,DAL,SF,A+,4,17.0,18.0,8600
2024,8,AJ Brown,WR,PHI,CIN,A+,5,21.8,17.6,8200
2024,8,Tyreek Hill,WR,MIA,ARI,A+,6,7.8,16.8,7000
2024,8,Drake London,WR,ATL,TB,A,7,20.9,16.6,7200
2024,8,Cooper Kupp,WR,LAR,MIN,A,8,0.0,16.1,8000
2024,8,Malik Nabers,WR,NYG,PIT,A,9,15.6,15.9,7000
2024,8,Davante Adams,WR,NYJ,NE,A,10,6.0,15.3,7100
2024,8,Jayden Reed,WR,GB,JAX,A,11,14.7,15.1,6700
2024,8,Garrett Wilson,WR,NYJ,NE,A,12,18.5,15.0,6700
2024,8,DJ Moore,WR,CHI,WAS,A,13,14.9,14.9,6600
2024,8,Brian Thomas,WR,JAX,GB,A,14,18.2,14.5,6400
2024,8,George Pickens,WR,PIT,NYG,A,15,13.1,14.4,6300
2024,8,Jaylen Waddle,WR,MIA,ARI,A-,16,6.1,14.3,5400
2024,8,DeVonta Smith,WR,PHI,CIN,A-,17,8.1,14.0,6600
2024,8,Terry McLaurin,WR,WAS,CHI,A-,18,17.7,13.9,6900
2024,8,Jaxon Smith-Njigba,WR,SEA,BUF,A-,19,10.5,13.9,6100
2024,8,Zay Flowers,WR,BAL,CLE,B+,20,11.9,13.5,6800
2024,8,Amari Cooper,WR,BUF,SEA,B+,21,10.6,13.0,6000
2024,8,Tank Dell,WR,HOU,IND,B+,22,8.7,12.7,6300
2024,8,Marvin Harrison,WR,ARI,MIA,B,23,6.6,12.6,6800
2024,8,Deebo Samuel,WR,SF,DAL,B+,24,8.5,12.6,6900
2024,8,Darnell Mooney,WR,ATL,TB,B,25,14.1,12.5,5800
2024,8,Tyler Lockett,WR,SEA,BUF,B,26,11.9,12.3,5600
2024,8,Chris Olave,WR,NO,LAC,B,27,6.4,12.0,6400
2024,8,Romeo Doubs,WR,GB,JAX,B-,28,15.1,12.0,5700
2024,8,Jordan Addison,WR,MIN,LAR,B-,29,13.0,11.8,5700
2024,8,Ladd McConkey,WR,LAC,NO,C+,30,11.9,11.4,5100
2024,8,Xavier Worthy,WR,KC,LV,C+,31,11.2,11.3,6200
2024,8,Keenan Allen,WR,CHI,WAS,C+,32,10.8,11.1,5800
2024,8,Calvin Ridley,WR,TEN,DET,C+,33,3.5,11.0,5200
2024,8,Courtland Sutton,WR,DEN,CAR,C,34,8.9,11.0,5300
2024,8,Jakobi Meyers,WR,LV,KC,C,35,11.6,10.9,5400
2024,8,Michael Pittman,WR,IND,HOU,C,36,13.5,10.6,6000
2024,8,Khalil Shakir,WR,BUF,SEA,C,37,9.2,10.5,5900
2024,8,WanDale Robinson,WR,NYG,PIT,C,38,13.1,10.4,5900
2024,8,Jerry Jeudy,WR,CLE,BAL,C,39,5.8,10.1,4800
2024,8,Jalen McMillan,WR,TB,ATL,C,40,2.8,10.0,3700
2024,8,DeAndre Hopkins,WR,TEN,DET,C,41,5.1,9.9,4900
2024,8,DeMario Douglas,WR,NE,NYJ,C,42,10.2,9.9,4700
2024,8,Rome Odunze,WR,CHI,WAS,C,43,5.7,9.8,5100
2024,8,Josh Downs,WR,IND,HOU,C-,44,14.7,9.7,5500
