year,week,player,position,team,opponent,grade,rank,avg_fpts,proj_fpts,salary
2024,13,Jalen Hurts,QB,PHI,BAL,A+,1,23.6,21.8,7700
2024,13,Lamar Jackson,QB,BAL,PHI,A,2,23.8,20.9,8000
2024,13,Josh Allen,QB,BUF,SF,A,3,22.8,21.7,7800
2024,13,Jayden Daniels,QB,WAS,TEN,A-,4,18.8,20.4,7200
2024,13,Patrick Mahomes,QB,KC,LV,A-,5,21.9,19.8,6800
2024,13,Justin Herbert,QB,LAC,ATL,B+,6,20.3,19.2,5600
2024,13,Joe Burrow,QB,CIN,PIT,B,7,30.9,18.9,7000
2024,13,Baker Mayfield,QB,TB,CAR,B,8,15.2,18.6,6600
2024,13,Bo Nix,QB,DEN,CLE,B,9,20.8,18.4,6300
2024,13,CJ Stroud,QB,HOU,JAX,B,10,13.2,18.2,6400
2024,13,Anthony Richardson,QB,IND,NE,B-,11,20.6,18.0,5500
2024,13,Kyler Murray,QB,ARI,MIN,C+,12,14.9,17.7,6100
2024,13,Sam Darnold,QB,MIN,ARI,C,13,18.8,17.5,5900
2024,13,Matthew Stafford,QB,LAR,NO,C,14,19.2,17.3,5800
2024,13,Drake Maye,QB,NE,IND,C-,17,16.0,16.5,5600
2024,13,Joe Mixon,RB,HOU,JAX,A+,1,19.6,21.0,8000
2024,13,Saquon Barkley,RB,PHI,BAL,A+,2,30.4,20.5,8500
2024,13,Alvin Kamara,RB,NO,LAR,A+,3,18.8,20.0,7700
2024,13,Bijan Robinson,RB,ATL,LAC,A,5,20.4,19.4,7300
2024,13,Christian McCaffrey,RB,SF,BUF,A,6,13.0,18.1,8200
2024,13,Chase Brown,RB,CIN,PIT,A,8,22.8,17.7,6200
2024,13,Kyren Williams,RB,LAR,NO,A,9,10.4,17.5,7200
2024,13,Derrick Henry,RB,BAL,PHI,A-,11,16.2,16.6,7800
2024,13,Breece Hall,RB,NYJ,SEA,A-,12,18.0,16.4,7500
2024,13,Jonathan Taylor,RB,IND,NE,A-,13,8.4,16.5,6900
2024,13,Chuba Hubbard,RB,CAR,TB,B+,14,20.4,15.6,6700
2024,13,Kenneth Walker,RB,SEA,NYJ,B,15,13.6,15.5,7000
2024,13,Aaron Jones,RB,MIN,ARI,B,17,12.4,15.3,6500
2024,13,James Cook,RB,BUF,SF,B,18,15.7,15.2,7100
2024,13,Tony Pollard,RB,TEN,WAS,B,21,13.9,14.5,6300
2024,13,James Conner,RB,ARI,MIN,B-,22,15.7,14.2,6600
2024,13,Rhamondre Stevenson,RB,NE,IND,B-,24,11.8,13.5,5900
2024,13,Rachaad White,RB,TB,CAR,C+,26,14.4,12.8,5300
2024,13,Najee Harris,RB,PIT,CIN,C+,27,10.7,12.6,6000
2024,13,Ameer Abdullah,RB,LV,KC,C+,28,11.3,12.2,4800
2024,13,Jaylen Warren,RB,PIT,CIN,C,29,11.9,11.2,5500
2024,13,Isiah Pacheco,RB,KC,LV,C,30,0.0,11.2,6200
2024,13,Kareem Hunt,RB,KC,LV,C,31,13.4,10.9,6000
2024,13,Brian Robinson,RB,WAS,TEN,C,32,8.8,10.2,6100
2024,13,Nick Chubb,RB,CLE,DEN,C,33,9.5,10.3,6400
2024,13,Javonte Williams,RB,DEN,CLE,C,34,8.6,10.0,4700
2024,13,Travis Etienne,RB,JAX,HOU,C,35,5.5,9.7,5700
2024,13,Gus Edwards,RB,LAC,ATL,C,36,5.1,9.0,4300
2024,13,Jeremy McNichols,RB,WAS,TEN,C-,37,3.1,7.3,5400
2024,13,Tank Bigsby,RB,JAX,HOU,C-,38,1.3,6.8,5200
2024,13,JaMarr Chase,WR,CIN,PIT,A+,1,31.1,19.3,8600
2024,13,AJ Brown,WR,PHI,BAL,A+,2,14.0,18.2,8300
2024,13,Nico Collins,WR,HOU,JAX,A+,3,14.8,17.9,7900
2024,13,Puka Nacua,WR,LAR,NO,A+,4,16.7,17.9,7600
2024,13,Justin Jefferson,WR,MIN,ARI,A+,5,12.6,17.8,8100
2024,13,Cooper Kupp,WR,LAR,NO,A+,6,21.3,17.2,7400
2024,13,Drake London,WR,ATL,LAC,A,9,12.5,16.5,6500
2024,13,Mike Evans,WR,TB,CAR,A,10,11.8,15.6,6700
2024,13,Courtland Sutton,WR,DEN,CLE,A,12,21.7,15.2,6300
2024,13,George Pickens,WR,PIT,CIN,A,13,15.4,15.1,6800
2024,13,Ladd McConkey,WR,LAC,ATL,A,14,12.8,15.0,6100
2024,13,Tee Higgins,WR,CIN,PIT,A,15,29.8,14.7,6600
2024,13,Garrett Wilson,WR,NYJ,SEA,A,17,15.0,14.6,6900
2024,13,Davante Adams,WR,NYJ,SEA,A-,18,14.8,14.4,7000
2024,13,Jaxon Smith-Njigba,WR,SEA,NYJ,A-,19,26.2,14.3,6300
2024,13,Terry McLaurin,WR,WAS,TEN,A-,20,13.9,14.2,7100
2024,13,Calvin Ridley,WR,TEN,WAS,A-,21,15.5,14.0,5700
2024,13,Zay Flowers,WR,BAL,PHI,A-,22,15.1,14.0,6200
2024,13,Brian Thomas,WR,JAX,HOU,B+,23,7.7,13.8,5500
2024,13,DK Metcalf,WR,SEA,NYJ,B+,24,12.0,13.5,6400
2024,13,Jakobi Meyers,WR,LV,KC,B,27,16.5,12.8,5300
2024,13,Marvin Harrison,WR,ARI,MIN,B,28,9.2,12.8,6000
2024,13,Khalil Shakir,WR,BUF,SF,B-,29,12.6,12.7,6100
2024,13,Tank Dell,WR,HOU,JAX,C+,31,11.7,12.3,5900
2024,13,Darnell Mooney,WR,ATL,LAC,C+,32,13.0,12.3,5600
2024,13,Jauan Jennings,WR,SF,BUF,C+,34,16.8,12.0,5400
2024,13,Michael Pittman,WR,IND,NE,C+,35,9.2,12.0,5200
2024,13,Jordan Addison,WR,MIN,ARI,C+,36,16.6,12.0,5300
2024,13,Deebo Samuel,WR,SF,BUF,C+,38,7.3,11.6,6200
2024,13,Jerry Jeudy,WR,CLE,DEN,C,39,18.3,11.6,5900
2024,13,DeAndre Hopkins,WR,KC,LV,C,40,14.7,11.3,5500
2024,13,Xavier Legette,WR,CAR,TB,C,42,10.2,10.9,5100
2024,13,Quentin Johnston,WR,LAC,ATL,C,44,11.3,10.6,5000
2024,13,Amari Cooper,WR,BUF,SF,C-,45,7.5,10.3,5200
2024,13,Elijah Moore,WR,CLE,DEN,C-,46,9.8,10.3,4800
2024,13,DeMario Douglas,WR,NE,IND,C-,47,10.2,10.3,4700
2024,13,Xavier Worthy,WR,KC,LV,C-,49,6.8,10.1,4900
2024,13,Noah Brown,WR,WAS,TEN,C-,50,8.0,9.9,4400
2024,13,Adam Thielen,WR,CAR,TB,C-,51,8.7,9.9,4800
2024,13,Travis Kelce,TE,KC,LV,A+,1,14.4,14.9,5600
2024,13,Brock Bowers,TE,LV,KC,A,2,18.2,14.1,6000
2024,13,Trey McBride,TE,ARI,MIN,A,3,16.4,13.9,5800
